song_gn_dtl_gnr_basket,issue_date,album_name,album_id,artist_id_basket,song_name,song_gn_gnr_basket,artist_name_basket,id
"['GN2402', 'GN2401']",20120509,신수용 작곡집 Vol. 1 (그대에게 가는 길),2138759,[8993],나그네,GN2400,['오정해'],692
['GN2401'],20001012,허허바다,6898,[8553],나그네,GN2400,['장사익'],1473
"['GN2402', 'GN2401']",20100531,김광석류 비타산조 구름 위에서 놀다,898954,[1380],은하수 (Galaxy),GN2400,['김광석'],1499
['GN2401'],20070611,황병기 가야금 작품집 Vol.5 - 달하 노피곰,352581,[423],시계탑 IV.♩.=120~132,GN2400,['황병기'],1940
"['GN2402', 'GN2401']",20090701,화음,616553,"[271, 1380]",섬집아기,GN2400,"['이생강', '김광석']",2013
"['GN2402', 'GN2401']",20200122,새타령,10379077,[1202726],새타령,GN2400,['토리스'],2277
"['GN2403', 'GN2401']",20100402,천상의 소리꾼,852755,[465960],빈한시,GN2400,['권미희'],2616
"['GN2402', 'GN2401']",19970601,그저녁 무렵부터 새벽이 오기까지,312900,[101518],신푸리,GN2400,['슬기둥'],2928
"['GN2402', 'GN2401']",20080101,웰빙단소,842555,[464380],오나라 (대장금),GN2400,['박희덕'],3079
"['GN2402', 'GN2401']",20080612,Blossom,386715,[22236],뱃노래,GN2400,['이슬기'],3337
"['GN2402', 'GN2401']",20121009,홍주희의 가야금 크로스오버 (Harmonized),2152279,[699234],Transborder (1장),GN2400,['홍주희'],3894
"['GN2402', 'GN2401']",20180321,모던민요,10149547,"[672059, 109157]",매화타령,GN2400,"['송소희', '두번째달']",3945
"['GN2402', 'GN2401']",20150408,국악과 오케스트라의 어울림,2312892,[716546],쇼스타코비치 재즈 왈츠 2번:Jazz Suite No.2 `Waltz` (Live Ver.),GN2400,['케이페라 린 (K-pera Lin)'],4021
"['GN2402', 'GN2401']",20170614,노스탈지아 鄕愁 (향수),10070985,[100278],님이 오시는지,GN2400,['숙명 가야금 연주단'],4046
"['GN2403', 'GN2401']",20040101,장사익의 임꺽정,2262586,[8553],슬픔과 비애,GN2400,['장사익'],4614
['GN2401'],20181108,정음-현악영산회상,10219921,[2401152],세영산,GN2400,['정음회'],5427
"['GN2402', 'GN2401']",20170309,한國男자,10044260,[1625296],난봉가,GN2400,['이희문&프렐류드'],5572
"['GN2402', 'GN2401']",20101101,피리소리,1070554,[271],Londonderry Air,GN2400,['이생강'],5575
['GN2401'],20061205,사람이 그리워서,335848,[8553],민들레,GN2400,['장사익'],6490
"['GN2402', 'GN2401']",20100329,ING (Repackage),841358,[265370],리나노 (Rinano),GN2400,['뮤지音'],7189
"['GN2402', 'GN2401']",20091113,환생,718625,[441428],타란텔라,GN2400,['김효영'],8063
"['GN2403', 'GN2402', 'GN2401']",20101029,도화! 널 그리며,1056554,[151519],도화 널 그리며,GN2400,['최윤영'],8616
"['GN2402', 'GN2401']",20151027,Passing Of Illusion,2646804,[496761],Dal,GN2400,['The NEQ'],8720
['GN2401'],19971128,이생강 한국 민속 무용곡 (검무) 2,2033409,[271],소고놀이,GN2400,['이생강'],9584
"['GN2401', 'GN2404']",20070501,"민요, 회심곡",1179757,[102],뱃노래,GN2400,['김영임'],10250
"['GN2402', 'GN2401']",20031120,오래된 미래,310993,[9169],비에 젖은 해금,GN2400,['강은일'],10354
"['GN2402', 'GN2401']",20130502,선생님들이 노래한 국악 아카펠라 (한울소리),2183555,[285666],강원도 아리랑,GN2400,['한국아카펠라교육연구회'],11308
"['GN2402', 'GN2401']",20120509,신수용 작곡집 Vol. 1 (그대에게 가는 길),2138759,[2727],가시리 (대금 연주곡),GN2400,['Various Artists'],11404
"['GN2402', 'GN2401']",20090422,Fromkorea In The World,546456,[410426],신 가시리 (제5회 한국가요제 수상곡),GN2400,['FROMKOREA'],11756
['GN2401'],20031113,Let It Be,311846,[100278],Hey Jude,GN2400,['숙명 가야금 연주단'],12273
['GN2401'],20101215,해금의 향기#2,10369957,[47880],Love Theme form Cinema Paradiso (Ennio Morricone) (해금 Ver.),GN2400,['조혜령'],12860
"['GN2402', 'GN2401']",20181031,Jazz in Black,10217602,[1957078],Jazz in Black,GN2400,['MuRR'],12886
"['GN2402', 'GN2401']",20181212,공양미 삼백석,10231776,[2558905],Black ocean,GN2400,['국악그룹 늘솜'],13245
"['GN2402', 'GN2401']",20131029,정선 아리랑 세상을 품다,2213182,[181798],아리랑 세상을 품다,GN2400,['고구려 밴드'],13329
