artist,title,lyric
  김그림  ,힘이 돼줄게 (My Angel),항상 웃음 가득했던 너인데 요즘은 달라졌어 혹시나 힘든 일이 생긴거니 내게 살짝 말해봐 걱정 말라며 날 다독여 주는 너 왜 아무렇지 않은 척 해 그럴 필요없어 내가 왜 있는데 나는 니 편이잖아 I WANNA BE YOUR ANGEL 부족하고 약한 나지만 너에게 나 힘이 된다면 무엇이라도 하고싶어 이젠 I WANNA BE YOUR ANGEL 누구보다 강한 널 알아 하지만 니가 힘들 때면 가끔 넌 내게 기대도 돼 항상 넓기만 했던 니 어깨가 어쩐지 힘이 없어 내가 힘이 될 수 있는게 있을까 뭐든지 해주고 싶어 약속했었잖아 모두가 변해도 나는 니 편이라고 I WANNA BE YOUR ANGEL 부족하고 약한 나지만 너에게 나 힘이 된다면 무엇이라도 하고싶어 이젠 I WANNA BE YOUR ANGEL 누구보다 강한 널 알아 하지만 니가 힘들 때면 가끔 넌 내게 기대도 돼 baby you are my angel 내가 아프고 힘들 때도 언제나 곁에 있어준 너 이젠 내가 힘이 돼 줄게
  송창식  ,담배가게 아가씨,우리동네 담배가게에는  아가씨가 예쁘다네  짧은 머리 곱게 빗은 것이  정말 예쁘다네  온 동네 청년들이  너도나도 기웃기웃기웃  그러나 그 아가씨는 새침떼기  앞집의 꼴뚜기 녀석은  딱지를 맞았다네  만화가게 용팔이 그녀석도  딱지를 맞았다네  그렇다면 동네에서  오직 하나 나만 남았는데  아 기대 하시라 개봉 박두  다음날 아침 일찍부터  담배 하나 사러가서  가지고 간 장미 한 송이를  살짝 건네어 주고  그 아가씨가 놀랄 적에  눈싸움 한 판을 벌인다  아 라라라라라라라라라라라라라  오 그 아가씨 웃었어  하루종일 가슴 설레이며  퇴근 시간 기다렸지  오랜만에 말끔히 차려입고  그 아가씰 기다렸지  점잖게 다가서서  미소 띄며 인사를 했지  그러나 그 아가씬 흥 콧방귀  그렇다고 이대로 물러나면  대장부가 아니지  그 아가씨 발걸음 소리 맞춰  뒤따라 걸어간다  틀려서는 안되지  번호 붙여 하나 둘 셋  오 위대한 손 나의 끈기  바로 그때 이것 참 야단 났네  골목길 어귀에서  아랫동네 불량배들에게  그 아가씨 포위됐네  옳타구나 이때다  백마의 기사가 나가신다  아 자자자자자자자자자자자자자  아 하늘빛이 노랗다    우리동네 담배가게에는  아가씨가 예쁘다네  지금은 그때보다도  백배는 예쁘다네  나를 보면은 웃어주는 아가씨  아가씨 나는 정말 사랑해  아 자자자자자자자자자자자자자  아 나는 지금 담배 사러 간다
  코나  ,마녀! 여행을 떠나다,자 지금부터 내 말 잘 들어요 적어도 하루에 한번씩은 수정 구슬 닦아주기 아침 일찍 일어나 하얀 우유 한잔씩 마시기 레몬 사탕은 하루에 세개 자기전엔 꼭 이닦기 잊지말아요 떠나는 그대를 위해 새로운 바람이 부네요 이제 그대 작은 빗자루를 들어 저 파란 하늘을 날아 올라요 두려워 말고 생각해봐 그 어떤 마법 보다 더 신비롭던 우리의 맨 처음 그밤 빛나던 약속 난 믿고 기다릴께요 그대 내게 돌아오는 그날 그때 다시 시작해봐요 멋진 세상 새로운 날들을 까만 고양이 삐삐 그리고 새로 다려놓은 까만 원피스 혹시 잊은건 없나요 살펴보아요 떠나는 그대를 위해 새로운 바람이 부네요 이제 그대 작은 빗자루를 들어 저 파란 하늘을 날아 올라요 두려워 말고 생각해봐 그 어떤 마법 보다 더 신비롭던 우리의 맨 처음 그밤 빛나던 약속 난 믿고 기다릴께요 그대 내게 돌아오는 그날 그때 다시 시작해봐요 멋진 세상 새로운 날들을 멋진 세상
  박강수  ,사랑은 받는 것이 아니라면서,언젠가 당신이 말했었지 혼자 남았다고 느껴질 때 추억을 생각하라 그랬지 누구나 외로운 거라 하면서 그리고 이런 말도 했었지 지난 날이 자꾸 떠 오르면 애쓰며 잊으려 하지 말랬지 사랑은 받는 것이 아니라면서 단 한 번 스쳐간 얼굴이지만 내 마음 흔들리는 갈대처럼 순간을 영원으로 생각했다면 이렇게 간직하진 못했겠지 정녕 날 잊지 않으리 순간에서 영원까지 언제나 간직하리라 아름다운 그대 모습 당신은 내게 들려주었지 진정한 사랑을 하고싶다면 오로지 주려고만 하랬지 사랑은 받는 것이 아니하면서  단 한 번 스쳐간 얼굴이지만 내 마음 흔들리는 갈대처럼 순간을 영원으로 생각했다면 이렇게 간직하진 못했겠지 정녕 날 잊지 않으리 순간에서 영원까지 언제나 간직하리라 아름다운 그대 모습 당신은 내게 들려주었지 진정한 사랑을 하고싶다면 오로지 주려고만 하랬지 사랑은 받는 것이 아니라면서 사랑은 받는 것이 아니라면서
  오연준  ,The Way I Am,Oh when I was a child My world was always bright You could see I used to sing a song Everything has changed It’s not just as it was What should I do I don’t know where to go I’m gonna listen to the story in my heart du du du du du du du du du du du du I’m gonna sing my own melody du du du du du du du du du du du du I’m just the way I am OK OK Oh when I was a child My world was always bright You could see I used to sing a song Everything has changed It’s not just as it was What should I do I don’t know where to go I’m gonna listen to the story in my heart du du du du du du du du du du du du I’m gonna sing my own melody du du du du du du du du du du du du I’m just the way I am OK OK I’m gonna listen to the story in my heart du du du du du du du du I’m gonna sing my own melody du du du du du du du du du du du du I’m gonna listen to the story in my heart du du du du du du du du du du du du I’m gonna sing my own melody du du du du du du du du du du du du I’m just the way I am OK OK OK
  Buddy Guy  ,Born To Play Guitar,"Written on the door That bucket of blood Staying open 'til 4 Ain't hard to find A great big neon sign There' I tell you three things Whiskey, beer, and wine Hardwood bar Rickety stool Cigarette machine Selling Camels and Kools You can solve your problems One drink at a time You can fix anything over Whiskey, beer, and wine Dirty little fire room Kept the lights down low Icing down the long necks 'Til they as nice and cold Oh you can sit down an order A bottle of waste your mind Three ways we get high Whiskey, beer, and wine Corner booth in the back Well they have the dice Sit down at a table Shoot craps all night Like in the good ol days Drink your troubles good bye You can solve your problems One drink at a time You can fix anything over Whiskey, beer, and wine"
  진현  ,"늦은, 밤",늦은 밤 돌아오는 길 지치도록 아름다운 밤결 그대가 기억에 떠올라 어쩔 수 없이 그리워해요 그 때 난 알 수가 없었죠 사랑은 이해라는 그 말 어렸던 나에게 주었었던 건 내가 알 수도 없을 만큼 커다란 마음이었군요 고마워요 고단한 사랑이었죠 다 알아요 내가 그랬죠 이제와 이 하늘에 바라죠 당연한 그만큼 꼭 행복하길 사랑도 친절한 마음도 뜻 없는 상처를 남기죠 하지만 그 곁에 머물던 나는 그저 온전히 나인 채로 따뜻할 수 있었죠 달빛도 참 아름답죠 좋았던 우리 한 때 처럼 그대는 날 기억하나요 그 때의 나를 용서하나요
  Buddy Guy  ,Thick Like Mississippi Mud,"The whiskey and the women They can drop you to your knees Hey I say good whiskey and the women They can drop you to your knees Man been hunting lord Since Adam got a hold of Eve Some people think I'm stone crazy They think I've lost my mind Some people think I'm crazy But I'm doing just fine Nobody wants to break their own rules But they have no problem breaking mine I've been around the world I know, I know the world is round I've been around the world Hey I know the world is around You know those blues have took my life And turned it upside down The smoke is getting thick Thick like Mississippi mud Oh the smoke is getting thicker Thick like Mississippi mud That's how many people at his party Ohhh I can't even get drunk I've been around the world I know, I know the world is round I've been around the world Hey I know the world is around You know those blues have took my life And turned it upside down"
  어쿠루브  ,잠깐만요 (Inst.),오늘 너 다른 사람 같아 내가 알던 너의 표정 너의 얼굴이 아니야 잠시만 길을 걷자 하네 처음 느끼는 차가운 너와 나의 공기 슬픈 예감은 틀린 적이 없고 불안한 내 느낌도 엇나간 적이 없지 제발 이러지마 헤어지자고 그만하자고 힘들었다고 미안하다고 가면 난 어떡해 잠깐만요 내 말 먼저 들어요 잠깐만요 이대로 갈건가요 잠깐만요 내가 어떤 말을 해봐도 너는 이별이구나 정말 끝인 거구나 니 사랑은 오 오오 니 사랑은 으 음 떨리는 입술을 굳게 다문 채로 담담하게 너를 보내주려 했어 사소한 대화도 모닝콜 전화도 너를 안는 일도 다신 못하는 일 왈칵 눈물이 나는걸 어떡해 잠깐만요 내 말 먼저 들어요 잠깐만요 이대로 갈건가요 잠깐만요 내가 어떤 말을 해봐도 너는 이별이구나 정말 끝인 거구나 니 사랑은 너도 이유가 다 있었겠지 너도 참 많이 힘들었겠지 조금 일찍 알았더라면 오 오 오 오 오 노 널 잊을 수 있을지 모르지만 조금만 천천히 지워볼게 시간에 기대어 살아볼게 잘 지내 wah 잘 지내 으 으 음 잘 지내 우 워어어 어어 우린 이별이구나 정말 끝인 거구나 우리 사랑은
  이적  ,불행아,불행아  저 하늘의 구름따라 흐르는 강물을 따라 정처없이 걷고만 싶구나 바람을 벗삼아 가며 눈앞에 떠오는 옛추억 아 그리워라 소나기 퍼붓는 거리를 나홀로 외로이 걸으며 그리운 부모형제 다정한 옛 친구 그러나 갈수 없는 신세 홀로 가슴 태우다 흙 속으로 묻혀갈 나의 인생아  깊고 맑고 파란 무언가를 찾아 떠돌이 품팔이 마냥 친구 하나 찾아와 주지 않는 이곳에 별을 보며 울먹이네 이 거리 저 거리 헤메이다 잠자리는 어느 곳일까 지팡이 짚고 절룩거려도 어디엔들 이끌리까  그리운 부모형제 다정한 옛 친구 그러나 갈수 없는 신세 홀로 가슴 태우다 흙 속으로 묻혀 갈 나의 인생아  묻혀 갈 나의 인생아
