artist,title,track_id_url,lyric
  토마스쿡 (thomascook)  ,두 번째 인생,https://open.spotify.com/track/43ohw2Ep7Nvzmlj1Tv3fxO?si=fccaca725d63490b,아무렇게나 끌려가듯이 허우적대며 항상 반대로 반대로 그저 도망쳤지 이리 저리 바보처럼 기웃대다 벌써 절반이 지났음을 알게 되지 두 번째 인생 두 번째 인생 두 번째 인생 두 번째 인생 걸음을 더는 멈추지 말아 돌아보지 마 마치 처음처럼 만나게 되는 내일처럼 조금씩 보이는데 이제 내 삶이 불안했던 청춘은 다 지나갔다 두 번째 인생 두 번째 인생 두 번째 인생 두 번째 인생 두 번째 인생 두 번째 인생 두 번째 인생 두 번째 인생 두 번째 인생 두 번째 인생 두 번째 인생 두 번째 인생
  르 메리무스  ,사랑은 타이밍이지 (Feat. 오경록 Of 와러서커스),https://open.spotify.com/track/4QeD8sb6baquidWERSTwwl?si=7a423d06266a4a2f,아마도 늦은 밤이었을거야 울적한 맘에 비가 내리는 창 밖을 바라보다 외로움에 돌려보던 TV를 끄고 불러낼 사람이 없나 하고 핸드폰을 만졌지 하지만 아무도 연락 받지 않던 그 밤에 마침 딱 너의 전화가 왔지 반가운 맘에 고민도 없이 나갔어 이런게 사랑의 시작일까 사랑은 타이밍이지 넌 내게 설레임이지 모든걸 주고픈거지 그런게 사랑인거지 사랑은 타이밍이지사랑은 타이밍이지 사랑은 타이밍이지 사랑은 타이밍이지 한참을 고민했었을꺼야 외로운 맘에 나도 모르게 아무나 좋아하는 그런걸까 너의 맘은 어떨까 의심하던 마음이 자꾸만 커져 가던 때였지 하지만 나 지치고 힘들어 눈물나던 날에 마침 또 네가 달려와줬지 넓은 어깨 따뜻한 손을 빌려주던 너 역시 넌 나만의 흑기사 일까 사랑은 타이밍이지 넌 내게 설레임이지 모든걸 주고픈거지 그런게 사랑인거지 사랑은 타이밍이지사랑은 타이밍이지 사랑은 타이밍이지 사랑은 타이밍이지 나아 오오 네가 좋아 이대로 오오 영원히 오오 나도 오오 네가 좋아 이대로 오오 영원히 너를 데릴러 가는 건 너무 힘들어 어느새 익숙해져 버린 너와 나 사이 하지만 네가 없는 삶은 더 힘들어 그래서 매일봐야 힘이 나는 우리 사이 너를 좋아하게 된건 너무 신기해 어느날 갑자기 넌 내게 다가왔지 우리가 서로 사랑하는 건 더 신기해 이대로 영원히 함께 하자 I Love You Forever
  낭만유랑악단  ,어디가나요,https://open.spotify.com/track/66wgmLkZ72TSjWoOk7cX60?si=fec2abc81c724668,그대여 어디가나요 나도 같이 가고 싶어 무슨 이유가 있겠어요 어디가요 그대여 무얼 찾나요 나도 같이 찾고 싶어 무슨 이유가 있겠어요 어디가요 때로는 멀어지기도 가끔은 가깝기도 한 번씩 돌아서 짓던 미소는 저의 착각인가요 어디든 괜찮아요 그대여 어디가세요 그대여 잘 모르겠나요 나와 함께 걸어봐요 무슨 이유가 있겠어요 어디가요 때로는 멀어지기도 가끔은 가깝기도 한 번씩 돌아서 짓던 미소는 저의 착각인가요 어디든 괜찮아요 그대여 어디가세요 그대를 바라보면서 걷는 이 기분이 좋아요 힘들어 하지 말아요 천천히 나를 바라봐줘요 어디든 괜찮아요 그대여 어디가세요
  헤이즈문 (Haze Moon)  ,Save Me,https://open.spotify.com/track/69MR5JAPycanMXBJ0dKPAf?si=97d0a8cef0404004,See how people stand around me they seem to like me but I'm hiding See how people are waiting for me how much longer do I have to run away And the world's going the wrong way everything has to be cured The world is broken My life is gone See how people are changing they don't need to come back to me anymore See how people are looking for me no one wants to go back with nothing And the world's going the wrong way everything needs to be cured The world is broken My life is gone Woo Where am I Woo What am I I couldn't see anymore I couldn't feel any longer I couldn't say anything Happiness has as become a stranger I'm getting further away from you
  헤이달리 (Hey Dali)  ,모래편지,https://open.spotify.com/track/2Kvm8by69g74Kk8uUqemKP?si=57ad1b359fb94381,사랑해 너를 몰래 속삭이던 말이 발을 간지럽히던 그 밤의 파도에 들렸나 봐 돌릴 순 없을까 귓가에 담겨졌던 너의 고백 참 행복했던 우리 웃음 소리 사랑한다는 마음을 미안해 하고 쓰고 나면 파도가 다시 Lie Lie Lie Oh 거짓말 같던 사랑이 여전히 그리워서 Cry Cry Cry 지금도 남아있는 너의 이름 사랑해 너를 다시 듣고 싶은 말이 나를 어지럽히던 그 밤의 파도에 녹았나 봐 지울 수 있을까 귓가에 남아있는 너의 고백 참 따뜻했던 너의 목소리를 사랑한다는 마음을 미안해 하고 쓰고 나면 파도가 다시 Lie Lie Lie Oh 거짓말 같던 사랑이 여전히 그리워서 Cry Cry Cry 지금도 널 사랑해 지울게 너의 이름도 남겨진 너의 기억 모두 저 파도 따라 Bye Bye Bye Oh 이제는 너의 마음도 편할 수 있는 곳에 Fly Fly Fly 그래도 남아있을 너의 이름
  타린  ,닿을락 말락 (Feat. 슈가볼),https://open.spotify.com/track/5yKBK7m66OkV84qTeyTZjH?si=ceeb1a6bd89a4fcc,사람들이 그래 우린 너무 닮았대 말투 성격 닮을 수도 있는 거지 뭐 볼 때마다 그래 너무 친하대 친구끼리 친한 게 당연한 건데 지나가던 꼬마들이 언니 형아 오래오래 행복하래 그게 무슨 소리 인지 우리 둘은 이해 못 해 손등이 닿을락 말락 왔다 갔다 너와 내 사이는 또 알 수 없어 같이 여행 온 것뿐인데 어색하고 싶지 않아 어떡해 사람들은 다 아는데 우린 가까워서 이러는 걸까 혹시 알아 운명인건지 우린 인연인걸까 손등이 닿을락 말락 왔다 갔다 너와 내 사이는 또 알 수 없어 같이 여행 온 것뿐인데 어색하고 싶지 않아 어떡해 어떡해 닿을 듯 말 듯 보일 듯 말 듯 한 발짝만 떨어지면 편해질 수 있을까 지나가던 꼬마들이 누나 형아 오래오래 행복하래 그게 무슨 소리인지 우리 둘은 이해 못 해 손등이 닿을락 말락 왔다 갔다 나도 내 맘 몰라 또 알 수 없어 친구보다 좀 더 친한 친구야 아직까지 나는 그래
  담소네공방  ,반했나요,https://open.spotify.com/track/2N4RlbNLGwu8LwfzDTb9wy?si=a4466875d3bc47cb,그대 나에게 반했나요 그대 그렇게도 내가 좋은가요 그대 나를 보며 자꾸 웃어요 부끄럽게 말이야 난 그댈 보고 그댄 나를 바라보고 음 입 맞추죠 그대 나에게 반했나요 그대 그렇게도 내가 좋은가요 그대 나를 보며 자꾸 웃어요 부끄럽게 말이야 보이지 않는 게 사랑이지만 가끔은 눈으로 보인다죠 내 앞에 서 있는 당신의 사랑이 너무나도 잘 보이네요 난 그댈 보고 그댄 나를 바라보고 우리가 조금씩 가까워지면 난 그댈 보고 그댄 나를 보고 그댄 나를 바라보고 난 그댈 보고 우리가 조금씩 가까워지면 입 맞추죠 그대 나에게 반했나요 그대 그렇게도 내가 좋은가요 그대 나를 보며 자꾸 웃어요 부끄럽게 말이야
  담소네공방  ,그네,https://open.spotify.com/track/6K9YQkwD8dnHHpgG2XvyNb?si=92106d2695824220,그렇게 자꾸 나를 밀어내지 좀 말아요 나는 또 멍청하게 흔들리잖아 오늘도 붕 뜬 맘에 정신을 좀 잃어요 내가 이렇게 판단이 흐렸었나 좀 바보 같네 그렇게 자꾸 나를 밀어내지 좀 말아요 나는 또 멍청하게 흔들리잖아 오늘도 붕 뜬 맘에 정신을 좀 잃어요 내가 이렇게 판단이 흐렸었나 좀 바보 같네 제발 좀 헷갈리게 하지 말고 확실하게 해줘 멈춰야 할지 더 가야 할지 모르겠단 말이에요 이상하게 내 마음이 내 맘 같지 않아 흔들흔들 흔들리는 그네 같아 밀어내지 말고 좀 당겨줘요 나 어릴 적 그네를 밀어주던 우리 아빠처럼 포근하게 자상하게 밀어내지 말고 좀 당겨줘요 나 어릴 적 그네를 밀어주던 우리 아빠처럼 포근하게 자상하게 그랬으면 좋겠네 그래 주면 좋겠어 그랬으면 좋겠네 그래 주면 좋겠어 제발 좀 헷갈리게 하지 말고 확실하게 해줘 멈춰야 할지 더 가야 할지 모르겠단 말이에요 이상하게 내 마음이 내 맘 같지 않아 흔들흔들 흔들리는 그네 같아 밀어내지 말고 좀 당겨줘요 나 어릴 적 그네를 밀어주던 우리 아빠처럼 포근하게 자상하게 밀어내지 말고 좀 당겨줘요 나 어릴 적 그네를 밀어주던 우리 아빠처럼 포근하게 자상하게 그랬으면 좋겠네 그래 주면 좋겠어 그랬으면 좋겠네 그래 주면 좋겠어 나는 그댈 보고 그대는 나를 보고 우린 서로를 보고 수줍은 듯 웃지만 사실을 그대 안에 나를 향한 마음이 얼마나 가득한진 조금도 모르겠어요
  Eighteen April  ,Dreamer,https://open.spotify.com/track/19lFKijaiGxYFC75Zi4wIk?si=52b7aa6ce1e34cf1,Repeated stories life gaining dust Trying to fit in my coffin and fill it with gold the prize I won for the souls I have sold Seasons change yet I still shiver in my winter I grew numb to all these blisters Jumped on the last train home wishing it to take me back in time and never return Another bottle down smiling my fake intention Another bottle down smiling my fake intention Don't fade away Open up your eyes see through my skin A million unsaid words clouded thoughts and blurry visions Scream out scream out This feeling just never ends Don't let it grow inside of you It only takes a few ticks around the clock One more tight grip biting my teeth Tomorrow becomes my dream One more tight grip biting my teeth Tomorrow becomes my dream Don't fade away Open up your eyes and see through my skin Don't fade away Open up your eyes and see through my skin Don't fade away Open up your eyes see through my skin A million unsaid words clouded thoughts and blurry visions Scream out scream out This feeling just never ends Don't let it grow inside of you It only takes a few ticks around the clock I am what I choose to be The roads are paved in my own direction I am what I am I am what I dream
  디오디오 (The Audio)  ,그 어떤 미사여구보다 더 아름다웠던,https://open.spotify.com/track/04s42p3ADz7HPeFcOq9Rty?si=5e38d93adee143e7,밤하늘을 가로지르며 날아간 혜성에게 묻는다 나를 데려가지 않으련 그녀의 목소릴 듣고 싶거든 밤하늘을 가득 메운 작은 별들의 노랫소리에 나는 놀라 잠에서 깨어 그녀에게 마음을 전해본다 그녀에게 내 마음을 전해본다 그 어떤 미사여구보다 더 아름다웠던 그녀의 진심의 한마디가 너무나 듣고 싶어 구름 위에 달에게 살며시 난 물어본다 내 마음을 전해줘 진심을 전해주세요 드넓은 저기 밤하늘에 나의 작은 비밀을 묻어본다 아무도 모르게 조용히 별들과 나만의 비밀약속 밤하늘을 가득 메운 작은 별들의 노랫소리에 나는 놀라 잠에서 깨어 그녀에게 마음을 전해본다 그녀에게 전해본다 그 어떤 미사여구보다 더 아름다웠던 그녀의 진심의 한마디가 너무나 듣고 싶어 구름 위에 달에게 살며시 난 물어본다 내 마음을 전해줘 진심을 전해주세요 내 마음속 꼭 간직했던 전하고 싶었던 진심의 한마디
