artist,title,lyric,track_id,danceability,energy,loudness,mode,acousticness,valence,tempo
  Angelo De Augustine  ,Effervescent Island,Up with the morning light Covered in calico Aw You've been so tired leading my whole life Everyone was talking with Something supernatural The ephemeral light's messing up your mind The ephemeral light's taken up your time  [Verse 2] You've been away for years Now you're in view again All we really care for is To see things shine But in the future it's Harder to feel divine Effervescent islands floating in the night Genuine representation of our life  [Chorus] Hate has faded Love is on the rise Slow like everyone's talking Left you hypnotized Entranced and stupefied  [Verse 3] Down with the evening moon Pacing the avenue All of you is searching to feel so fine You were afraid but now you don't seem to mind Anything to touch the silence one more time Anything to feel the love we all shall find  [Chorus] Hate has faded Love is on the rise Slow like everyone's talking Left you paralyzed Inside infinite minds,6uTkZOWbtT0XOmvhoqYt1g,0.428,0.0285,-28.7,1,0.994,0.33,81.516
  Jewel  ,Two Become One,"I watch u while you're sleeping Messy hair, chest bare, moonlight on your skin I wanna breathe u in In the silence, words come easy I can tell u now just how simple it's been 2 let u in Don't move, this mood is a painting We'll never find the same thing  [CHORUS]  Love, do not make a sound Melt into me now 2 become 1  Love is so close 2 hurting With a shake we could wake from our own dreaming But we must make a vow 'Cause I have waited a lifetime Now is the right time  [CHORUS]  Love, let's make time stand still Let this moment last until 2 become 1  Like a bird owns its wings Like a song belongs 2 melody U belong 2 me I fold your arms around me Let your flesh, your breath, your love, surround me Oh, u feel like home",6Zm7IlI9IPNrYr9mJVVDK2,0.57,0.827,-5.673,1,0.0424,0.422,104.006
  Simon & Garfunkel  ,The Sound Of Silence,Hello darkness my old friend I've come to talk with you again Because a vision softly creeping Left its seeds while I was sleeping And the vision that was planted in my brain Still remains Within the sound of silence In restless dreams I walked alone Narrow streets of cobblestone 'Neath the halo of a street lamp I turned my collar to the cold and damp When my eyes were stabbed by the flash of a neon light That split the night And touched the sound of silence And in the naked light I saw Ten thousand people maybe more People talking without speaking People hearing without listening People writing songs that voices never share And no one dare Disturb the sound of silence Fools said I You do not know silence like a cancer grows Hear my words that I might teach you Take my arms that I might reach you But my words like silent raindrops fell and echoed In the wells of silence And the people bowed and prayed To the neon god they made And the sign flashed out its warning In the words that it was forming And the sign said The words of the prophets are written on the subway walls And tenement halls And whispered in the sound of silence,3YfS47QufnLDFA71FUsgCM,0.535,0.225,-13.865,1,0.869,0.338,107.384
  Stevie Ray Vaughan & Double Trouble  ,Pride And Joy,"Well you've heard about love givin' sight to the blind  My baby's lovin' cause the sun to shine  she's my sweet little thing, she's my pride and joy  she's my sweet little baby, I'm her little lover boy    Yeah I love my baby, my heart and soul  love like ours won't never grow old  she's my sweet little thing, she's my pride and joy  she's my sweet little baby, I'm her little lover boy    Yeah I love my baby to belong and lean  you mess with her, you'll see a man gettin' mean  she's my sweet little thing, she's my pride and joy  she's my sweet little baby, I'm her little lover boy    guitar solo 1    Well I love my baby like the finest wine  Stick with her until the end of time  she's my sweet little thing, she's my pride amd joy  she's my sweet little baby, I'm her little lover boy    Yeah I love my baby, my heart and soul  love like ours will never grow old  she's my sweet little thing, she's my pride and joy  she's my sweet little baby, I'm her little lover boy",1a2iF9XymafjRk56q7oCxo,0.427,0.626,-11.821,1,0.0274,0.743,126.877
  안치환  ,광야에서,찢기는 가슴 안고 사라졌던 이 땅의 피울음 있다 부둥킨 두 팔에 솟아나는 하얀 옷의 핏줄기 있다 해뜨는 동해에서 해 지는 서해까지 뜨거운 남도에서 광활한 만주 벌판 우리 어찌 가난하리오 우리 어찌 주저하리오 다시 서는 저 들판에서 움켜쥔 뜨거운 흙이여 해뜨는 동해에서 해 지는 서해까지 뜨거운 남도에서 광활한 만주 벌판 우리 어찌 가난하리오 우리 어찌 주저하리오 다시 서는 저 들판에서 움켜쥔 뜨거운 흙이여 다시 서는 저 들판에서 움켜쥔 뜨거운 흙이여,2vOj0FmoEJIJKrgpyv4TF6,0.422,0.194,-17.411,1,0.633,0.151,147.309
  Julian Moon  ,One Penny,Walking to work at 5 am Cause some bastard stole my car Moved to L A to live the dream But minimum wage is all I got so far Twelve hours later walking home in the rain I'm so tired I could cry But after my shift I got an hour in the studio I wrote an awesome song and that's why I'm gonna celebrate my day with top ramen tonight oh yeah My future's lookin' so damn bright I'm super duper fancy got my wine in a box oh yeah I know my life fuckin' rocks it fuckin' rocks I got one penny-a two penny-a three penny four Can't believe I worked this hard to be this poor One penny-a two penny-a three penny four I can hear my landlord knockin' at my door All I need is a hunderd thousand pennies mo-o-ore Work all day and dream all night I'm topping charts with my guitar Manager called me said I got a gig It doesn't pay but it's good PR So I'm gonna celebrate my day with top ramen tonight oh yeah My future's lookin' so damn bright I'm super duper fancy got my wine in a box oh yeah I know my life fuckin' rocks it fuckin' rocks I got one penny-a two penny-a three penny four Can't believe I worked this hard to be this poor One penny-a two penny-a three penny four I can hear my landlord knockin' at my door Five penny six penny seven penny eight It's the ninth time that my rent is late Nine penny ten penny and that's the last one Got 99 problems and I can't afford any of them I got one penny-a two penny-a three penny four Can't believe I worked this hard to be this poor One penny-a two penny-a three penny four I can hear my landlord knockin' at my door Five penny six penny seven penny eight It's the ninth time that my rent is late Nine penny ten penny and that's the last one Got 99 problems and I can't afford any of them,0rwLyF6hvm4FJN3lha0Tap,0.894,0.452,-8.499,1,0.336,0.885,134.133
  Dan & Shay  ,Lipstick,Oh Its just another Friday Staring at herself in the bathroom mirror Its just another deep breath Half an hour and he'll be here Its just another friend of a friend Oh it ain't nothing Its only just a drink or two It'll be alright She's putting on her lipstick Turning up the music Slippin' on her black dress Saying you can do this Climbing in the front seat Looking out the window Going through the motions Trying just to let go Of the tears that she cried no solid goodbye Tonight it ain't gonna show And even though she knows that it ain't gonna fix it She's putting on her lipstick Sitting at a red light Staring at herself in the sideview mirror He says shes beautiful She's beautiful Like he knows what she wants to hear So she plays right along as the night goes on It'll only be a drink or two She's putting on her lipstick Turning up the music Slippin' on her black dress Saying you can do this Climbing in the front seat Looking out the window Going through the motions Trying just to let go Of the tears that she cried no solid goodbye Tonight it ain't gonna show And even though she knows that it ain't gonna fix it She's putting on her lipstick She's putting on her lipstick So they drink and they dance And he talks and she laughs For a minute ain't nothing wrong She's putting on her lipstick Slippin' on her black dress Turning up the music Saying you can do this Yeah you can do this Putting on her lipstick Turning up the music Slippin' on her black dress Saying you can do this Climbing in the front seat Looking out the window Going through the motions Trying just to let go Of the tears that she cried no solid goodbye Tonight it ain't gonna show And even though she knows that it ain't gonna fix it She's putting on her lipstick Oh Its just another Friday Staring at herself in the bathroom mirror Mmm,0MdMNWw0rpBjQJ4SwQ0qbg,0.474,0.742,-5.019,1,0.285,0.508,145.968
  디어클라우드  ,아침,익숙한 노래 소리에 눈을 뜨는 아침 자락에 니가 있어서 다행이라고 행복한 기분에 잠겨 너와 함께할 오늘도 많은 걸 바라지는 않아 맑은 하늘과 시원한 바람 그 정도의 여유라면 돼 버릇 처럼 말했잖아 너는 내게 꿈을 꾸게해 내가 그런 것처럼 어떤 아픔 어떤 슬픔 어떤 미움 상처까지도 내가 지켜주고 싶다고  지나온 시간들 속에 내게 남겨졌던 상처도 니가 있음에 둘 곳을 잃어 내겐 모든 것이 완벽해 조용한 너의 향기에 취한채로 있고만 싶어 비가 내려도 나는 좋은 걸 모든 시간들이 소중해 버릇 처럼 말했잖아 너는 내게 꿈을 꾸게해 내가 그런 것처럼 어떤 아픔 어떤 슬픔 어떤 미움 상처까지도 내가 지켜주고 싶다고  버릇 처럼 말했잖아 너는 내게 꿈을 꾸게해 내가 그런 것처럼 어떤 아픔 어떤 슬픔 어떤 미움 상처까지도 내가 지켜주고 싶다고 버릇 처럼 말했잖아 너는 내게 꿈을 꾸게해 내가 그런 것처럼 어떤 아픔 어떤 슬픔 어떤 미움 상처까지도 내가 지켜주고 싶다고  내가 지켜주고 싶다고,3DlSmqDsM229shCEDDcU5D,0.693,0.4,-6.731,1,0.813,0.559,133.94
  Cam  ,Road To Happiness,"Be careful who you hang around; beliefs are sticky things Stick on your shoes and on your soul, rearrange your dreams Get so good at climbin' you stop askin' where it leads On this road to happiness  [Chorus] It's the wild unknown It's a ball-and-chain It's a no-end destination We keep drivin' anyway Is the future that we're chasin' Worth the right-nows that we miss On this road to happiness?  [Verse 2] I'm takin' time to ask myself just where I wanna be Does the flower growin' in the ground worry just like me Or does he love the sun so much that he don't mind the weeds On this road to happiness?  [Chorus] It's the wild unknown It's a ball-and-chain It's a no-end destination We keep drivin' anyway Is the future that we're chasin' Worth the right-nows that we miss On this road to happiness?    [Bridge] Be careful who you hang around; beliefs are sticky things  [Chorus] It's the wild unknown It's a ball-and-chain It's a no-end destination We keep drivin' anyway Is the future that we're chasin' Worth the right-nows that we miss On this road to happiness? On this road to happiness",43leIkqjRU95aAi5Dokdge,0.433,0.201,-8.17,1,0.879,0.344,173.894
  한영애  ,부르지 않은 노래,오늘은 내 노래를 들어주면 좋겠다 어느 날 그대 내게 말해주었다 지금 생각하면 숨겨왔던 비밀이 어지러운 마음이 있었던 거였다 말로 할 수 없어서 왠지 쑥스러워서 도무지 하지 못했던 이야기 그날 당신 부르지 않은 노래 기억이 나지 않아 오늘 나는 그리운 거죠 오늘은 그 노래를 들려주면 좋겠다 어느 날 그대 내게 말해주었다 지금 생각하면 감춰왔던 얼굴을 당황하는 마음을 보려던 거였다 말로 할 수 없어서 왠지 쑥스러워서 도무지 하지 못했던 이야기 그날 내가 부르지 않은 노래 멀어지고 있어 오늘 나는 그리운 거죠 오늘 나는 그리운 거죠,7ko5inzp9NTTuWWk5I8SRn,0.489,0.165,-15.068,1,0.868,0.158,121.418
