artist,title,Clean_lyric,emo,track_id,track_url,album_art,release_date
  초코와 바닐라  ,Gentle Rain,rain rain rain rain rain rain rain rain rain rain rain rain rain gentle gentle gentle gentle gentle gentle gentle gentle gentle gentle gentle gentle gentle,Chilling,1o7d9C1jYIj8OcqxvNn1kq,https://open.spotify.com/track/1o7d9C1jYIj8OcqxvNn1kq?si=a3b697b8a266415a,https://i.scdn.co/image/ab67616d0000b2735157282ea0e97776b54c577f,2018-02-01
  보아 (BoA)  ,My Genie,genie genie,Chilling,54RWR4ylXac8ms9D0llgMK,https://open.spotify.com/track/54RWR4ylXac8ms9D0llgMK?si=1234be24a0d54c3b,https://i.scdn.co/image/ab67616d0000b273e9e1fd55a8798bc0a49fe28c,2002-01-04
  에디스 (Edith)  ,어차피 넌,baby baby baby baby baby baby,Happy,17mGkRx874q24I6UlotlNE,https://open.spotify.com/track/17mGkRx874q24I6UlotlNE?si=60eab2901a8d43d7,https://i.scdn.co/image/ab67616d0000b2730c20b19a185a96fd287908ee,2017-07-07
  샘김 (Sam Kim)  ,Who Are You,life,Sad,7Jo5oEViT27zCkdRI5hEuG,https://open.spotify.com/track/7Jo5oEViT27zCkdRI5hEuG?si=9759f4fec7ef45f8,https://i.scdn.co/image/ab67616d0000b2736f91974e52297b5a28b778dd,2016-12-25
  레인보우  ,너뿐이라고,make love make love make love,Energetic,09DrRkVJWm60GMpdXOQ0aP,https://open.spotify.com/track/09DrRkVJWm60GMpdXOQ0aP?si=e81418970b6648da,https://i.scdn.co/image/ab67616d0000b2739b4338f512e2ab72b9daa4b2,2011-04-07
  지아  ,Falling In Love (Duet With 환희),baby baby love baby love love baby baby love baby love baby love baby love fall fall fall fall fall fall goodbye,Sad,0YmnV1TzLcoVKzdnUc5e9n,https://open.spotify.com/track/0YmnV1TzLcoVKzdnUc5e9n?si=9d8073bfbe8b4a1d,https://i.scdn.co/image/ab67616d0000b27309810fe849c1acd53dfb51ad,2014-10-06
  김예준  ,Whenever Wherever Whatever,girl heart love take thing love baby wherever one day baby thing blood love baby wherever baby thing breath love baby wherever lead take know love bleed give wish,Sad,2zyYgnZsfzUDcaBdsBzAYj,https://open.spotify.com/track/2zyYgnZsfzUDcaBdsBzAYj?si=912b45e27656449f,https://i.scdn.co/image/ab67616d0000b273cfd4266d9320cd19daba078f,2013-07-22
  S.E.S.  ,Remember (English Ver.),arm touch everything baby try snow ground night december name baby place heart cause heart time year time piece chance baby try snow ground night december name baby place heart summer baby colour sun day thing one snow ground night december name baby place heart felt stay remember believe say believe get fall feel hear call grow meet miss get show get fall feel hear call become shin make stay cause cause fall feel hear call safe warm worlds first dark old first missing first dark first least many first dark,Energetic,5HMNOpdm4F5wZ1VF6j3PJX,https://open.spotify.com/track/5HMNOpdm4F5wZ1VF6j3PJX?si=a7165840dfe9470d,https://i.scdn.co/image/ab67616d0000b27312bed9732cd0bb7d8088dc1a,2020-07-24
  콘치와 콘치즈,너무 좋은 너 (Feat. 기민) ,thank love feeling heart destiny open happy merry,Energetic,4Ho6ytoAHsb7UGiyPV3lTC,https://open.spotify.com/track/4Ho6ytoAHsb7UGiyPV3lTC?si=ed1dbe68cb1b4b9c,https://i.scdn.co/image/ab67616d0000b2738eaaf463d25f477c4517ca52,2019-02-01
  비스트  ,The Fact,woh fact,Energetic,52cfCpzur5W0rKT0HPtC56,https://open.spotify.com/track/52cfCpzur5W0rKT0HPtC56?si=5f582be591d8483f,https://i.scdn.co/image/ab67616d0000b273c89d6d3da4431db2eb42acb2,2011-05-17
