artist,title,Clean_lyric,emo,track_id,track_url,album_art,release_date
  Earthgang  ,Stuck (Feat. Arin Ray),chorus johnny venus time time bridge johnny soul promise hurt cause attention johnny venus mister misunderstanding miscommunication today invitation place anybody please dress casket wait collar holla shit lyin hate let nightlife chorus johnny venus time sorry time doctur dot time half mood goon summer night ocean shrooms cuckoo nothing raise fool guess situation carpet floor ticket guess finna sarah marshall marshall kim minute nobody business love bridge arin ray clothes part clone love love everything everything everything chorus venus time stuck stick get stick stick get stick rise win leave die lose fill see grab make make reconsider say stick stick get stick stick stick stick stick stick get stick spit assed get get stargaze win shit finish start use talk forget depend ask fake come make pay break break love stick get stick sorry loose sorry loose black brutalized cold alright marryin fine sharp sorry loose loose blew first emotional high close frank beaucoup true symbiotic hot lava hawaii infinite bad johnny sorry loose,Comfortable,5z9av9bfAmHM3Ymtb5bhbv, https://open.spotify.com/track/5z9av9bfAmHM3Ymtb5bhbv?si=9483219280ad4660,https://i.scdn.co/image/ab67616d0000b27355bdf1c04317b3d8ba716750,2019-09-06
  Icey Blouie  ,Ice (Prod by. Bay hardy),life price life price ice ice ice ice ice ice ice ice ice ice ice ice life price life pice ice ice ice ice ice ice ice ice ice ice ice ice gucci bape money puusy wine loud life price life price ice ice ice ice ice ice ice ice ice ice ice ice life price life price ice ice ice ice ice ice ice ice ice ice ice ice life price life price ice ice ice ice ice ice ice ice ice ice ice ice life price life price ice ice ice ice ice ice ice ice ice ice ice ice live check live check live check live check talk smoke live check live check live check live check live check live check live check live check sippin thot,Comfortable,0HsQVTngHXB17464CcQIaj, https://open.spotify.com/track/0HsQVTngHXB17464CcQIaj?si=5ba15f0836464c59,https://i.scdn.co/image/ab67616d0000b273f7cc5086bdc671c4ce0a0666,2021-02-07
  YDG  ,홍콩 가자,skill body stop give give shit,Comfortable,0ALF2WRgMCOUZUcuP0O5W8, https://open.spotify.com/track/0ALF2WRgMCOUZUcuP0O5W8?si=a7cb2eac62c14469,https://i.scdn.co/image/ab67616d0000b273bee586cfa144e988553f4714,2006-07-13
  원슈타인  ,GOAT ft.버벌진트,ppab ppabppab ttu bab sseutteu badi bab ppab ppab tti ppab ttu ppappab ttu ppabab ttu ppadi ppap pap pab ttu bab ttu badi bab ppab tti ppappab ppab ppab tti bab seu ttu badubab ppab tti bab ppab goat goat goat goat goat goat goat goat goat goat goat goat drip drip goat proof goat goat goat goat goat goat goat goat goat shit goat shit real real real real real real real real real,Happy,27gAX06r4vk8WpGmfKMF3U, https://open.spotify.com/track/27gAX06r4vk8WpGmfKMF3U?si=4aa3cab7c6694cba,https://i.scdn.co/image/ab67616d0000b273bc6243ba054e05440b9df6b8,2020-08-23
  MSG  ,Sunshine,alright alright alright alright alright alright alright alright alright alright alright alright,Chilling,5s6Puw8kCBlbBdsO9TkGp7, https://open.spotify.com/track/5s6Puw8kCBlbBdsO9TkGp7?si=d3cc2f997ace424e,https://i.scdn.co/image/ab67616d0000b273ca75ef24dc7c1350a22fb10a,2017-09-29
"  Marshmello ,  Tyga ,  Chris Brown  ",Light It Up,light light birthday light drunk throwin middle kush drunk throwin middle finger bop trap bop lap dog cat addy friend change end nigga beef want beef grill street beckham beat light light birthday light drunk throwin middle finger finger nigga light birthday light freak running controllin mouth chase girl smoke air smoke nobody mean backward light light birthday light drunk throwin middle finger finger nigga light birthday light light breezy light light light light light light make light light hit hit get get get chase get keep put call cause kill light light light light light light light light light light light get run hear top face straight tell play light keep tell push keep balance clap light light light light light light light light light light light real real right loose top loose young nigga deep real real niggas real real girl light mami real real niggas real real real raw real real real,Comfortable,4Q8aDd3H6LF8t4eY7So9O8, https://open.spotify.com/track/4Q8aDd3H6LF8t4eY7So9O8?si=3b0388abb89d4352,https://i.scdn.co/image/ab67616d0000b2731f539148fbb4354174f0f26c,2019-04-25
  웻 보이즈 (Wet Boyz)  ,슬래진저 (Slazenger),slazenger slazenger slazenger slazenger slazenger slazenger slazenger,Depressed,0ujDWA2sMI7kU7QpdVR9JA, https://open.spotify.com/track/0ujDWA2sMI7kU7QpdVR9JA?si=8e5fdb462e5f4c2b,https://i.scdn.co/image/ab67616d0000b2733d8314eb100ed7a06dddcb6d,2017-10-27
  염따  ,없던 것처럼,baby baby baby baby baby baby baby baby,Depressed,1ekpG9gQ4XQ4h7HueVio10, https://open.spotify.com/track/1ekpG9gQ4XQ4h7HueVio10?si=c6ab531f51874e64,https://i.scdn.co/image/ab67616d0000b273126c7bf86f0ad00d6ff85e0e,2019-01-09
  Tyla Yaweh  ,High Right Now,girl right cause anybody reality air weightless cocaine spaceship girl right hour dragon henny language world mind world mind girl right cause anybody reality air weightless cocaine spaceship girl right board plane flight face share man day ounce burgh smoke chest mission permission crib pack fool eagle police cause passin smoke edible right yup cause paper plane backwoods none shit anybody reality air look taylor gang cocaine spaceship girl right come float fly take get see get speak think think come float fly know smoke smoke come smoke sober worry smell girl come float fly come come come come high good high blue different tragic tragic high good high private khalifa best ask wiz high legal strong high good weightless high high,Sad,18LhA0zBzAa2YnhcN3hWGa, https://open.spotify.com/track/18LhA0zBzAa2YnhcN3hWGa?si=46c9bd0f17c94e45,https://i.scdn.co/image/ab67616d0000b2732dea10a6e67a8c1ab8b8566e,2020-01-31
  방탄소년단  ,보조개,yes yes baby baby cause illegal illegirl illegal true illegal illegirl illegal illegal illegirl illegal illegal illegal,Chilling,2S6UKNlE9QyD0YQzRLlJO4, https://open.spotify.com/track/2S6UKNlE9QyD0YQzRLlJO4?si=4967369a5ef84e38,https://i.scdn.co/image/ab67616d0000b27306af3e2403cb19a11475da2d,2018-11-02
