artist,title,Clean_lyric,emo,track_id,track_url,album_art,release_date
  Pink Floyd  ,High Hopes (Radio Edit),horizon place world magnet miracle thought ringing division bell road causeway cut band footstep time creature ground life decay chorus grass light brighter friend night wonder ember bridge glimpse side step forward force tide altitude flag height dreamed world desire ambition hunger eye horizon road time grass light taste night wonder friend dawn mist water endless river outro charlie hello live stray begin meet follow run take leave try tie consume greener surround look glow take sleepwalk drag unfurl reach encumber unsatisfied greener surround glow flow young boundary long ragged dreams myriad small slow green inner high dizzy instrumental weary many instrumental great,Sad,4E43XdK12qORYvIS4xfgAb, https://open.spotify.com/track/4E43XdK12qORYvIS4xfgAb?si=6ea4e498799a432a,https://i.scdn.co/image/ab67616d0000b273cb2959928c17f59ab39f0c94,1994-10-17
  Run River North  ,Fight To Keep,heart top window sill wind ground sun color summer heat color color tune song sand piece sleeve heart knee ground face love grace night light dark deed darkness heart wind ground till kingdom fire burning night word prone mistake voice name ground face love grace night light dark deed fire burning night fight fire burning leave fell pull drive drown pull dust give fell saw speak turn mean tell fight keep find keep make call saw speak fight keep keep simple mangled much,Energetic,3dIyvaI2qhyWmOu5UwgzaQ, https://open.spotify.com/track/3dIyvaI2qhyWmOu5UwgzaQ?si=46dfde33ac534899,https://i.scdn.co/image/ab67616d0000b273c57caccd40c911232eb5aa1c,2014-02-25
  The Damned  ,Problem Child,stealin car bar superstar home record alright problem child problem child problem child problem child hide dose sister dream hipster care grade school teacher probation lady problem child problem child problem child problem child hide dose sister dream hipster care grade school teacher probation lady problem child problem child problem child problem child hide problem child problem child problem child problem child hide lose treat come play home tan give need home tan give need home tan home tan hard wild daddy teen cool wild daddy teen cool wild daddy wild daddy,Energetic,3ZW6w3KSdvoz0ZvCnwdkDD, https://open.spotify.com/track/3ZW6w3KSdvoz0ZvCnwdkDD?si=1e48225c7a4f4cd5,https://i.scdn.co/image/ab67616d0000b27303afe916b0ac0f751a495638,1977-11-18
  로열 파이럿츠  ,Without You,baby nobody nobody night night nobody nobody night night baby know say stay stay know say,Sad,0NLui9rfy3NuxCfpivpJ8A, https://open.spotify.com/track/0NLui9rfy3NuxCfpivpJ8A?si=97c0b869ba474129,https://i.scdn.co/image/ab67616d0000b273990f55b4b3373c62d5ad481b,2015-12-01
  Scar Symmetry  ,Prism And Gate,filth chaos state birth thought memory fragment begin birth nothing death soul morph find wisdom learning way ember sense line time feed feed presence life fate mind birth nothing death soul morph find wisdom learning way ember sense line time feed feed presence life fate mind forth birth nothing death feed feed presence life fate mind transforming tide submerge haunt become begin yearn find burn divide live burn bear follow begin yearn find burn divide live burn bear follow morph come emerge begin bear follow fragmented chrysalis morphing god new paradigms dead alive new paradigms dead alive complete god alive,Chilling,5NhFAHMoKtx4R5fctFmcjM, https://open.spotify.com/track/5NhFAHMoKtx4R5fctFmcjM?si=cb122d12a46545e9,https://i.scdn.co/image/ab67616d0000b27390f5616f919333498358d1e5,2008-06-20
  Marilyn Manson  ,Burning Flag,god crowd time death mouth violence star star burning flag point gun god wing left kid nothing rating election day death mouth violence star star burning flag point gun god star star burning flag star burning flag star burning flag star burning flag star burning flag star burning flag sell buy find see march get wait scar hat hope hate leave rat get march get wait scar hat hope hate waste scar hat good hard dead alive first alive right gray safe safe alive,Chilling,5fPiWCdaoQHFTWWyrKB4CH, https://open.spotify.com/track/5fPiWCdaoQHFTWWyrKB4CH?si=01fb854b511e4f6d,https://i.scdn.co/image/ab67616d0000b273489ccb220bdb619c61acdfcd,2000-11-11
  Seoul Mothers  ,Don`t Forget What Your Mother Said,eye day talk word thing right anything anger mother mother mother mother mother mother mother mother crime mother crime mother reflect encourage ask make say forget say forget say forget say forget say forget say forget say forget say forget say ask make ask make last proud,Comfortable,4IPZ4P8BK4cWCJ1XJtKvRk, https://open.spotify.com/track/4IPZ4P8BK4cWCJ1XJtKvRk?si=e761c69201ab4570,https://i.scdn.co/image/ab67616d0000b2732533d4418f5159a891435285,2014-11-03
  Limp Bizkit  ,Full Nelson (Album Version),everybody everybody anybody thing anybody thing day place place punk time place talk face mouth check cash mouth check cash shit shit shit day catch act act punk day day face mouth check cash mouth check cash cause world cause world people cheap liers fortunates one fire mother fucker mother fucker mother fucker mother mother fucker mouth check cash mouth check cash cash pick pick know know shit step say get knock cause write knock straight cause write believe talk talk talk hand catch step say get knock cause write knock straight cause write stick stick talk ignore ignore talk get get burn burn burn burn fucker burn get knock cause write knock straight cause write red act sure sure pathetic good,Chilling,6YU556RBcA4js0poLlP8Cu, https://open.spotify.com/track/6YU556RBcA4js0poLlP8Cu?si=067d7de2cc704fec,https://i.scdn.co/image/ab67616d0000b2734a31b146c7cf07705d912efe,2000-10-17
  Mew  ,Comforting Sounds,feel spite sound feel promise house share solitude nothing sense feel lens someone sit drum solitude show anyone kid kid nobody anything comfort make sense listen call put blunt exhaust try avoid know stop mess gain accomplish pure hard good,Sad,3Nz6SzfpsCa7LJLDTNiq9C, https://open.spotify.com/track/3Nz6SzfpsCa7LJLDTNiq9C?si=ff6a1ff827ea4706,https://i.scdn.co/image/ab67616d0000b2737d6507a677fd2c58392415f4,2003-03-24
  Bic Runga  ,She Left On A Monday,monday siren road herringbone overcoat sky today day aeroplane name cloud nothing sunday day man use pride endure wind paper boat sea question time power line town man use pride endure man use pride endure make make make leave get come make sink try stay drive kill race make make ordinary wrong sunday foolish easy blown uncharted foolish easy foolish easy easy easy easy,Depressed,6Ro3eI4wdA9yXmU6t8UDrl, https://open.spotify.com/track/6Ro3eI4wdA9yXmU6t8UDrl?si=3c6660c0cf3a4139,https://i.scdn.co/image/ab67616d0000b273f1ff2f068455a7c2d31eb091,2002-10-04
  22-20s  ,Baby Brings Bad News,sick everyone sick smile pay head everything brings news sick mess sick helplessness feeling insecure bedroom door song time lord head everything brings news lord friend everything blue anyone lord head everything brings news lord floor nothing cry food anyone anyone anyone refuse get get keep get bore put lord keep get lose baby run get clean get get bore get bore look get bore keep get lose baby run keep sing care keep get lose baby run get leave lose win refuse win refuse win positive good good good bad hard bad hard hard bad easy baby,Chilling,1dBXBERRi3FVmumxVvU77J, https://open.spotify.com/track/1dBXBERRi3FVmumxVvU77J?si=a846bfbbbf484369,https://i.scdn.co/image/ab67616d0000b2732a8837621442d2bb9f916f0d,2004-09-20
  Meg Myers  ,Numb,marchin robot money guarantee custody thing look monster tongue chorus feeling weight shoulder pressure nothing matter come guess numb guess trap door life life bury head sand chorus feeling weight shoulder pressure nothing matter come guess numb guess bridge game everything loser end game anything loser end chorus feeling weight shoulder pressure nothing matter come guess numb guess numb guess numb guess numb say tell write tell fight keep become hold push win feel feel fly grow push win feel feel play play push win feel feel feel feel broken criminal next big little best numb secret best best,Chilling,3XMyREykeptNpvd0tE75xw, https://open.spotify.com/track/3XMyREykeptNpvd0tE75xw?si=a8f1a32f3a104d53,https://i.scdn.co/image/ab67616d0000b273cf0903a1974c1b080fe404b5,2018-07-20
