song_gn_dtl_gnr_basket,issue_date,album_name,album_id,artist_id_basket,song_name,song_gn_gnr_basket,artist_name_basket,id
"['GN0703', 'GN0708', 'GN0701']",20181105,충무로의 밤,10218898,[2400838],충무로의 밤,GN0700,['강수'],133
"['GN0703', 'GN0701']",20010301,현철 힛트송 Dicso 메들리,320843,[1145],사랑의 이름표,GN0700,['현철'],157
"['GN0702', 'GN0708', 'GN0701']",20140819,트로트 스쿨 Part.1,2275423,"[734652, 453002, 732789, 672038]",젊은 태양,GN0700,"['강수빈', '김단아', '이지민', '정수아']",260
['GN0701'],20200212,연하남쓰 갈치 한 마리(EDM VER.),10386770,[967234],갈치한마리(EDM VER.),GN0700,['연하남쓰'],293
['GN0701'],20090101,벤치,717955,[4943],똑똑똑,GN0700,['서주경'],324
['GN0701'],19890815,돌이키지마,780056,[1062],버스정류장,GN0700,['이은하'],443
['GN0701'],19840130,김수희 3,310403,[29],빗물,GN0700,['김수희'],444
['GN0701'],20051101,Big Gold 80 Cho Yong-Phil G,824653,[19],산유화,GN0700,['조용필'],511
['GN0701'],20041231,Debut Collection,300105,[164738],알아주세요,GN0700,['김용빈'],614
"['GN0702', 'GN0708', 'GN0701']",20060405,Special Remake 2.5,316615,[22836],그날,GN0700,['장윤정'],616
['GN0701'],20030601,청사포(靑沙浦) (최백호 History),316182,[42],애비,GN0700,['최백호'],676
"['GN0703', 'GN0708', 'GN0701']",20120914,스페셜 (노래애미친남자+명품가요),2150219,[1165],어느 60대 노부부 이야기,GN0700,['조항조'],801
"['GN0703', 'GN0708', 'GN0701']",20100301,그 다음은 나도 몰라요 / 청풍명월,823060,[1173],청풍명월,GN0700,['주현미'],848
"['GN0701', 'GN0705']",20190827,전통가요 미스터 트롯트,10322143,[2744071],마음이 울적해서,GN0700,['민우'],913
['GN0701'],20050801,그랬다,309749,[175145],남자가 사는 이유,GN0700,['류기진'],958
['GN0701'],19880101,골든 베스트,610956,[1169],구름 나그네,GN0700,['최헌'],981
['GN0701'],20130422,구슬네야 / 한설야화,2183491,[8663],구슬네야,GN0700,['최숙자'],1019
['GN0701'],20060414,박강성 골든베스트,318128,[3265],문 밖에 있는 그대,GN0700,['박강성'],1038
"['GN0701', 'GN0707']",19891105,계은숙 골든,3556,[5223],노래하며 춤추며,GN0700,['계은숙'],1068
['GN0701'],20050915,이미자 골든2집,312687,[937],새엄마,GN0700,['이미자'],1077
"['GN0703', 'GN0701']",20140910,인생 / 황혼 들녁에 서서,2285839,[12551],인생,GN0700,['임혁'],1106
['GN0701'],20040428,조용필 리사이틀 그리고... 오리지널 진한 찻잔,29836,[19],님이여,GN0700,['조용필'],1119
"['GN0702', 'GN0708', 'GN0701']",20191008,송가인 - 미스트롯 라이브,10336025,[1701869],진정인가요,GN0700,['송가인'],1173
"['GN0708', 'GN0701']",20200415,너나 나나,10417439,[720018],너나 나나,GN0700,['김호중'],1243
"['GN0703', 'GN0708', 'GN0701']",20170428,감동명작 `병원계단`,10058745,[715319],병원계단,GN0700,['권노해만'],1256
"['GN0702', 'GN0708', 'GN0701']",20200221,내일은 미스터트롯 트롯 에이드 베스트,10391899,[2749421],청춘,GN0700,['정동원'],1260
['GN0701'],20030201,오디오 비디오,28454,[31014],사랑의 기도,GN0700,['나미애'],1331
"['GN0703', 'GN0708', 'GN0701']",20180601,유현상 골든 (청춘응원가),10171926,[5],청춘응원가,GN0700,['유현상'],1360
"['GN0703', 'GN0701', 'GN0705']",19951001,"최신판 메들리의 황제 이박사 1, 2",2077987,[2259],화난 여자,GN0700,['이박사'],1391
"['GN0703', 'GN0708', 'GN0701']",20190918,박혜신 Special Album &#39;Black Pearl&#39;,10328610,[22647],울 어무니,GN0700,['박혜신'],1398
['GN0701'],19880101,세계민요를 노래하는 이미자,310252,[937],돌아오라 소렌토로,GN0700,['이미자'],1402
['GN0701'],20191024,미스트롯 라이브 실황,10342848,[2640648],쓰리랑,GN0700,['정미애'],1436
['GN0701'],20181008,트로트 갓 이태무 정규1집 앨범 - KBS전국노래자랑 Star (미운사랑 송광호 Prod.),10209825,[992346],그리워 그리워 MR (Miss U Miss U),GN0700,['이태무'],1452
"['GN0703', 'GN0708', 'GN0701']",20120816,꿈속 자기 / 깊은 사랑,2147688,[20159],깊은 사랑 (Dance),GN0700,['최서희'],1504
['GN0701'],00000000,한국(韓國) 최고가수(最高歌手) 36인 여자가수편(女子歌手篇),30431,[40],만남,GN0700,['노사연'],1543
['GN0701'],19900101,이은하 Best,356754,[1062],사랑의 그림자,GN0700,['이은하'],1602
['GN0701'],19900101,이은하 Best,356754,[1062],그님은 가셨지만,GN0700,['이은하'],1649
"['GN0710', 'GN0701']",20100225,화양연화,814264,[24660],화양연화,GN0700,['이태종'],1658
"['GN0702', 'GN0708', 'GN0701']",20090223,아픈가슴,505856,[402002],아픈가슴 (Feat. 채숙),GN0700,['세븐사이즈'],1829
['GN0701'],19800419,꽃띠 여자,310542,[102028],그대여 안녕히,GN0700,['김트리오'],1897
['GN0701'],20161103,7080 오리지날 트로트 베스트,10011866,[5288],공항의이별,GN0700,['문주란'],1929
"['GN0701', 'GN0709']",19790000,새노래 히트송 모음,78051,[16636],간밤에(안언자 작사 김현우 작곡),GN0700,['김인순'],1959
"['GN0703', 'GN0708', 'GN0701']",20050923,남진 골든,311999,[1124],아무 소용 없어요,GN0700,['남진'],1974
"['GN0703', 'GN0701']",19951031,불멸의 트롯가요 5집,2074632,[20],회전의자,GN0700,['김용만'],2002
['GN0701'],20060911,로맨스 사랑,328277,[5252],로맨스 사랑,GN0700,['강민주'],2202
['GN0701'],20050816,조영남 베스트 1집,2179066,[1023],사랑없인 못살아,GN0700,['조영남'],2287
['GN0701'],20051019,비상 2006,308799,[1184],화난여자,GN0700,['김혜연'],2331
"['GN0703', 'GN0701']",19810110,"그래 사랑은 외로움이야, 마지막 잎새",2172610,[17866],나도 모르게,GN0700,['유가화'],2358
"['GN0702', 'GN0703', 'GN0708', 'GN0701']",20140407,어쩔사,2249096,[443780],여여 (如如),GN0700,['금잔디'],2470
['GN0701'],20070129,김종환 New & Best,344174,[1107],사랑을 위하여,GN0700,['김종환'],2508
"['GN0703', 'GN0708', 'GN0701']",20050520,나는 못난이,308731,[101023],나는못난이,GN0700,['딕 훼밀리'],2572
