song_gn_dtl_gnr_basket,issue_date,album_name,album_id,artist_id_basket,song_name,song_gn_gnr_basket,artist_name_basket,id
"['GN2102', 'GN2101']",20080530,항상 기쁨 주는 찬양,382576,[2727],내가 그리스도와 함께,GN2100,['Various Artists'],53
"['GN2102', 'GN2101']",20170404,Get Back,10051393,[965741],Get Back,GN2100,['Daytime'],77
"['GN2102', 'GN2101']",20131024,The Nucleus (MR),2212238,[641452],Blessed Assurance (예수를 나의 구주삼고) (MR),GN2100,['The Nucleus'],112
"['GN2107', 'GN2101']",20160330,Orchestral Hymns (오케스트라 찬송가),2676194,"[749206, 959602]","Lord, Im Coming Home (나 주를 멀리 떠났다)",GN2100,"['Prague Symphony Orchestra', 'Eden Symphony']",136
"['GN2102', 'GN2101']",20180810,홀리원 4집 - 다시 봄처럼 (Inst.),10193225,[227715],답이 있는 곳으로 (Inst.),GN2100,['홀리원'],177
"['GN2102', 'GN2101']",20160704,춤추는 예배자,2695179,[925749],"춤추는 예배자 (Feat. 이규라, W.RHINO)",GN2100,['주다 (JuDa)'],251
"['GN2102', 'GN2101']",20070702,크리스챤을 위한 복음성가 베스트,355026,[2727],가서 제자 삼으라,GN2100,['Various Artists'],258
"['GN2105', 'GN2101']",20170324,예수 그리스도 묵상 찬송가 2,10048759,[526961],예수님의 귀한 사랑,GN2100,['Andy Joshua'],263
"['GN2103', 'GN2101']",20190405,God`s Not Done with You,10269837,[1246631],God`s Not Done with You,GN2100,['Tauren Wells'],292
"['GN2102', 'GN2101']",20190321,"Want,Wait,Pray",10263633,[2634926],"Want,Wait,Pray",GN2100,['프로젝트 폰티펙스'],359
"['GN2106', 'GN2101']",20130206,최수종 하희라의 `예...사랑합니다`,2174579,[539],나 주를 멀리 떠났다,GN2100,['조하문'],441
"['GN2103', 'GN2101']",19960625,Beyond The Veil,326947,[182899],Beyond The Veil (Reprise),GN2100,['Daryl Coley'],556
"['GN2102', 'GN2101']",20150812,Back To The Gospel 다시 복음으로,2334346,[782419],다시 복음으로,GN2100,['IBIG Band'],615
"['GN2104', 'GN2101']",20050115,예배인도자 컨퍼런스 2004,49314,[107632],나의 안에 거하라 (인도 : 박철순),GN2100,['어노인팅'],684
"['GN2105', 'GN2101']",20170531,새찬송가645 반주 (601장 ~ 645장),10066782,[1624896],604장 완전한 사랑,GN2100,['새찬송가645 반주'],791
"['GN2102', 'GN2101']",20180813,Last Finale,10193562,[1956421],Jesus Love You (Feat. 이동원),GN2100,['갓스레터 (GOD`s letter)'],806
"['GN2103', 'GN2101']",20180316,Snoop Dogg Presents Bible of Love,10147858,[10364],You (Feat. Tye Tribbett),GN2100,['Snoop Dogg'],859
"['GN2102', 'GN2101']",20151026,Stand Up Again 1,2646642,[748163],"나의 영혼이 주를 바라봅니다 (Feat.김재은, 문정민, 안용호, 김나윤, 김재은(Kid), 김한빛, 서윤아)",GN2100,['스탠드업커뮤니티'],873
"['GN2102', 'GN2101']",20170125,Newgen Project Album - Jesus Is,10033968,[790158],두렴없네 (Whom Shall I Fear) (Feat. 김태홍),GN2100,['뉴제너레이션워십 (New Generation Worship)'],948
"['GN2103', 'GN2101']",20130930,We Are Young & Free,2210158,[734755],Love Goes On,GN2100,['Hillsong Young & Free'],951
"['GN2104', 'GN2101']",20170216,어노인팅 12집,10039145,[107632],온 땅의 주인 (Who Am I),GN2100,['어노인팅'],997
['GN2101'],20110328,Jesus Life Best 1,1234061,[2727],새 힘을 얻으리라,GN2100,['Various Artists'],1042
"['GN2102', 'GN2101']",20190304,한마음찬양 2019 부활의 주와 함께,10256417,[2087746],함께,GN2100,['한마음찬양 (HMU Worship)'],1082
"['GN2102', 'GN2101']",20040914,Trinity White 2,300455,"[27559, 786520, 100887]",좋으신 하나님 (You are Good),GN2100,"['안성진', '축복의사람', 'B2E']",1117
"['GN2104', 'GN2101']",20010910,어노인팅 1집,45170,[107632],경배하리 내 온맘 다해,GN2100,['어노인팅'],1130
"['GN2102', 'GN2101']",20011108,Trinity Blue,47956,[2073],너는 내 아들이라,GN2100,['이현덕'],1146
"['GN2103', 'GN2101']",20040105,The Beautiful Sessions,319763,[179949],For My Love (Acoustic),GN2100,['Bethany Dillon'],1155
"['GN2102', 'GN2101']",20190427,Vol.1,10278921,[1759360],나 서있는 이곳에서,GN2100,['하오리 찬양팀'],1171
['GN2107'],20150519,별 위에 그린 그림,2319236,[766532],별 위에 그린 그림,GN2100,['핑크뮤직'],1185
"['GN2102', 'GN2101']",20070904,인터넷 CCM 베스트셀러 (인터넷에서 가장 많이 사랑받는 베스트송 모음),357639,[185399],사랑합니다 나의 예수님,GN2100,['가스펠 코러스'],1227
['GN2101'],20140529,Top 10 Worship Songs - Church,149289,[726712],He Knows My Name,GN2100,['Maranatha! Music'],1231
"['GN2102', 'GN2101']",20151202,에레즈 2집 `풀은 마르고 꽃은 시드나`,2654110,[468940],눈꽃의 밤,GN2100,['에레즈'],1271
"['GN2103', 'GN2101']",20080630,Christmas Treasures,389187,[253776],Let All Mortal Flesh Keep Silence,GN2100,['Twin Sisters Productions'],1311
"['GN2102', 'GN2101']",20070508,A New Life,350917,[172903],그게 부활이죠,GN2100,['성밴드'],1416
"['GN2107', 'GN2101']",20170302,아트 워십 피아노 Vol.1,10042586,[1461794],왕 되신 주 앞에 (Offering),GN2100,['홀리뮤직'],1462
"['GN2102', 'GN2101']",20140212,더콜링 워십 2집 - 하나님의 열심,2232608,[458121],동행,GN2100,['더콜링'],1472
['GN2101'],20070919,찬송가 베스트 (인터넷 검색 인기찬송),358914,[100447],내 영혼이 은총 입어,GN2100,['국립 합창단'],1536
"['GN2102', 'GN2101']",20190503,나비들이 외치다,10280686,[1134465],여정 (Feat. 황세원),GN2100,['최창은'],1575
"['GN2103', 'GN2101']",20121101,The Christmas Ages 2012,2181043,[16030],Merry Christmas,GN2100,['Judy Garland'],1582
"['GN2102', 'GN2101']",20190325,김은혜 VOL.1 - 담다;닮다,10264845,[2636129],예수 외에 자랑할 것이 없네,GN2100,['김은혜'],1605
"['GN2102', 'GN2101']",20200129,Who Am I,10380031,[2241681],Who Am I (온 땅의 주인),GN2100,['지음 (知音)'],1642
"['GN2107', 'GN2101']",20110415,The Nu Gospel Project,1249051,"[519241, 535180]",마음이 상한자를,GN2100,"['이웅', '이창률']",1703
"['GN2105', 'GN2101']",20170403,새찬송가645 반주 (251장 ~ 300장),10050902,[1624896],268장 죄에서 자유를 얻게 함은,GN2100,['새찬송가645 반주'],1747
"['GN2102', 'GN2101']",20070904,인터넷 CCM 베스트셀러 (인터넷에서 가장 많이 사랑받는 베스트송 모음),357639,[185399],사명,GN2100,['가스펠 코러스'],1869
"['GN2102', 'GN2101']",20060225,흔적,314885,[58101],향유,GN2100,['김도훈'],1889
"['GN2102', 'GN2101']",20150708,CCM Love 호산나찬양,2328916,[2727],실로암,GN2100,['Various Artists'],1904
"['GN2104', 'GN2101']",20030203,성령과 진리 안에서,311112,[2727],난 믿어요,GN2100,['Various Artists'],1905
"['GN2103', 'GN2101']",20180914,Hiding Place,10204422,[742133],Never Alone (Feat. Kirk Franklin),GN2100,['Tori Kelly'],1967
"['GN2102', 'GN2101']",20150105,주님의 사랑을 이전엔 알지 못했죠,2297948,[581512],순종,GN2100,['초롬'],1994
['GN2101'],20160415,The Lord`s Prayer,4485202,[38696],The Lord`s Prayer,GN2100,['Johnny Nash'],1997
"['GN2102', 'GN2101']",20190808,2019 가스펠 싱어,10315327,[2741793],이전과 같지 않으리,GN2100,['이터널선샤인'],2020
[],20200416,주의 집에 거하는 자,10417840,[2295323],주의 집에 거하는 자 (Blessed),GN2100,['예람워십'],2061
"['GN2102', 'GN2101']",20140429,Jesus All (모든 것 되신 예수),2253963,[417824],기뻐하며 경배하세 (Feat. 이미쉘),GN2100,['P.O.P. WORSHIP'],2066
"['GN2102', 'GN2101']",20141029,완전히 서리라,2287962,[788684],완전히 서리라,GN2100,['조아라'],2107
['GN2101'],20070919,찬송가 베스트 (인터넷 검색 인기찬송),358914,[100447],내가 매일 기쁘게,GN2100,['국립 합창단'],2115
"['GN2103', 'GN2101']",20101010,3rd Wave,1037553,[1929],Awesome God,GN2100,['브라이언'],2140
"['GN2102', 'GN2101']",20041123,참 좋으신 주님,312882,[180701],주와 함께 가리라,GN2100,['샬롬싱어즈'],2150
"['GN2102', 'GN2101']",20190625,성령의 임재함으로 CCM 2,10299533,[49209],아버지께,GN2100,['김은현'],2271
"['GN2104', 'GN2101']",20080317,With Hearts As One,373384,[202995],"All Day (Mexico City, Mexico)",GN2100,['Hillsong United'],2299
