song_gn_dtl_gnr_basket,issue_date,album_name,album_id,artist_id_basket,song_name,song_gn_gnr_basket,artist_name_basket,id
['GN2202'],20160510,푸른 꿈 나라 어린이 친구들과 함께 부르는 인기 동요 명곡 모음,2683846,[968651],고향의 봄,GN2200,['동요 푸른꿈'],59
"['GN2216', 'GN2210']",20141219,태교를 위한 엄마들의 태교 클래식 모음집,2296028,[775268],Haydn : String Quartet No.58 In F Major Op.74-2 Hob.III/73 - III. Menuetto (하이든 : 현악 4중주 58번 바장조 작품번호 74-2 - 3악장),GN2200,['태교 마을'],130
"['GN2207', 'GN1501', 'GN1509', 'GN1506']",20121030,주먹왕 랄프 OST,2165582,[50820],You&#39;re My Hero (From &#34;Wreck-It Ralph&#34;/Score),GN2200,['Henry Jackman'],154
['GN2202'],20110302,"최승호, 방시혁의 말놀이 동요집",1188453,[524382],다리,GN2200,['김지원'],161
"['GN2207', 'GN1501', 'GN1506', 'GN1509']",20171120,지오메카 캡틴다이노 OST,10112548,[2017883],손을 뻗어,GN2200,['지오메카'],290
['GN2216'],20150608,자장 자장 잘도 잔다 태교 클래식 자장가 2집,2322646,[754336],Gounod : Ave Maria (구노 : 아베 마리아),GN2200,['태교피아노'],314
"['GN2216', 'GN2210']",20100426,클래식 오르골 자장가 태교 2집,870653,[466906],모짜르트 피아노 소나타 제16번 알레그로 (오르골),GN2200,['오르골 베이비'],329
"['GN2216', 'GN2210']",20150515,아기가 웃을 수 있는 행복 태교 클래식,2318729,[775268],Bach : Sonata For Violin And Harpsichord No.3 In E Major BWV.1016 - IV. Allegro (바흐 : 바이올린과 하프시코드를 위한 소나타 3번 마장조 - 4악장),GN2200,['태교 마을'],361
"['GN2216', 'GN2208']",20180412,KIDS 자장가,10156935,[2114403],키즈 자장가 I,GN2200,['BEAUTY HARP'],389
"['GN2216', 'GN2210']",20180809,심리안정을 위한 고음질 감성 피아노 클래식 명곡 연주곡 베스트,10192303,[2240918],Mendelssohn : Songs Without Words Book V. No.6 In A Major Op.62 `Spring Song` (멘델스존 : 무언가 5권 6번 가장조 작품번호 62 `봄의 노래`) (Sea Ver.),GN2200,['피아노꿈나라'],394
['GN2216'],20150212,자장가 숙면을 위한 클래식 뮤직박스 Vol.11,2304270,[763899],Tchaikovsky : The Seasons Op.37b - XII. December `Christmas` (차이콥스키 : 사계 작품번호 37b - 12번. 12월 `크리스마스`),GN2200,['클래식 뮤직박스'],407
"['GN2205', 'GN2212']",20180829,토리가 읽어주는 구연동화 [바바스토리],10198606,[2296187],호랑이를 잡은 반쪽이,GN2200,['토리'],456
['GN2202'],20181112,베이비버스 생활습관동요2,10220893,[2298051],나는 정리정돈을 잘해요,GN2200,['베이비버스 (BabyBus)'],472
"['GN2216', 'GN2210']",20180720,마음이 편해지는 편안한 피아노의 감성적인 클래식 연주앨범,10187066,[2241049],Chopin : Mazurka No.6 In A Minor Op.7-2 (쇼팽 : 마주르카 6번 가단조 작품번호 7-2),GN2200,['편안한 피아노'],517
['GN2216'],20140923,감성지수(EQ) 높은 아기 빗소리 클래식 태교음악 11집,2283107,[727336],Chopin : Etude No.8 In F Major Op.10-8 `Sunshine` - Allegro (쇼팽 : 연습곡 8번 바장조 작품번호 10-8 `햇빛`) (빗소리),GN2200,['오르골자장가'],563
['GN2206'],20181214,(영어로 읽어 주는) 행복한 명작읽기 - 11. 이솝 이야기,10232345,[2404162],이솝 이야기_03,GN2200,['다락원'],589
['GN2202'],20160714,아름답고 달콤한 인기동요 베스트,2698289,[992530],내가 제일 좋아하는 말,GN2200,['풀잎동요마을'],612
"['GN2216', 'GN2210']",20180704,"우리아기의 첫 번째 태교음악, 잔잔한 어린이 클래식",10181823,[2203370],Clementi : Piano Sonatine No.1 In C Major Op.36 - III. Vivace (클레멘티 : 피아노 소나티네 1번 다장조 작품번호 36 - 3악장),GN2200,['클래식 엔젤'],649
['GN2202'],20160309,어린이집 유치원 추천 클래식 명곡 어린이 동요 자장가 베스트(숲속의 오르골),2671796,[927741],에델바이스 (숲속의 오르골),GN2200,['오르골 엔젤'],710
"['GN2216', 'GN2210']",20150209,엄마와 아빠가 함께 듣는 즐거운 태교 클래식 음악,2303612,[775268],Mozart : Violin Concerto No.3 In G Major K.216 - III. Rondeau. Allegro (모차르트 : 바이올린 협주곡 3번 사장조 - 3악장),GN2200,['태교 마을'],728
['GN2202'],20181219,반짝반짝 러블리 최신 유치원 인기 동요 베스트 100,10234106,[2727],거미 (학습 놀이동요),GN2200,['Various Artists'],774
['GN2202'],20180921,MBC 뽀뽀뽀 모두야 놀자 5집,10206606,"[2203273, 2203276, 2203278]",내 친구 고양이 (뽀뽀뽀 ver.),GN2200,"['효인', '정효원', '이재은']",795
['GN2203'],20170510,타요 인기동요 1 (영어),10060265,[1703695],Finger Family,GN2200,['아이코닉스 (ICONIX)'],837
"['GN2201', 'GN2202']",20170428,새콤 달콤 유아동요 베스트 300,10058860,[2727],기운이나요,GN2200,['Various Artists'],839
['GN2202'],20181215,티디 드라큘라가족 크리스마스 버전,10233196,[2020011],드라큘라 가족,GN2200,['티디'],899
['GN2202'],20180702,아이와 함께 공감하는 인기동요 BEST 100,10180511,[2202949],참 좋은 말 (MBC 창작동요제 대상 수상곡),GN2200,['빛소리 합창단'],992
['GN2216'],20170410,아기의 숙면을 위한 잔잔한 감성 오르골 연주곡 베스트,10053056,[927524],Chopin : Nocturne No.10 In A Flat Major Op.32-2 (쇼팽 : 야상곡 10번 내림 가장조 작품번호 32-2) (Sea Ver.),GN2200,['태교음악 베베'],1002
"['GN2207', 'GN1501', 'GN1506', 'GN1509']",20010718,센과 치히로의 행방불명 OST,2291981,[2796],あの夏へ / Ano Natsue (어느 여름날),GN2200,['Hisaishi Joe'],1133
"['GN2207', 'GN1501', 'GN1506', 'GN1509']",20180508,치링치링 시크릿 쥬쥬 OST 2,10164406,[2007546],시크릿 쥬쥬 포에버,GN2200,['시크릿 플라워 밴드'],1136
['GN2202'],20181121,세계의 어린이노래Ⅰ(Alle Lieder sind schon da),10226658,[2403352],"안녕, 만나서 즐거웠어 (Ciao, es war sch&#246;n)",GN2200,['베를린 라디오 어린이 합창단(Berlin Radio Children&#39;s Choir)'],1153
['GN2202'],20160923,어린이 인기동요 베스트 20,10000629,[943543],옆에 옆에,GN2200,['동요'],1160
"['GN2207', 'GN1501', 'GN1509']",20190316,빠샤메카드(빠샤메카드 엔딩),10262071,[1910350],We Can Fly High!(빠샤메카드 엔딩),GN2200,['디노'],1172
['GN2216'],20161006,"숙면,태교에 좋은 감성 피아노 연주곡 베스트",10003627,[1759414],Chopin : Nocturne No.2 In E Flat Major Op.9-2 (쇼팽 : 야상곡 2번 내림 마장조 작품번호 9-2) (바다소리),GN2200,['자장가'],1249
['GN2202'],20180702,아이와 함께 공감하는 인기동요 BEST 100,10180511,[2202949],장난감 기차 (누리과정 3세),GN2200,['빛소리 합창단'],1276
"['GN2201', 'GN2202']",20160122,어린이들이 부른 신나는 유아동요 베스트 100,2663422,[781408],루돌프 사슴코 (크리스마스 캐롤),GN2200,['유아동요'],1306
['GN2202'],20111216,로보카 폴리와 함께 하는 놀이동요 Best,2050927,[26838],둘이서 코잡고,GN2200,['큐티엘'],1346
['GN2202'],20190115,꿈나라 자장가 동요,10242308,[1202741],반달,GN2200,['동요'],1394
"['GN2207', 'GN1501', 'GN1506', 'GN1509']",20040929,귀를 기울이면 OST,2292004,[42582],丘の町 / Okano Machi (언덕마을),GN2200,['Nomi Yuji'],1421
['GN2216'],20150417,따뜻한 봄의 숨결 태교 클래식 자장가 1집,2314550,[727336],Chopin : Etude No.3 In E Major Op.10-3 `Tristesse` (쇼팽 : 연습곡 3번 마장조 작품번호 10-3 `이별의 곡`),GN2200,['오르골자장가'],1485
['GN2216'],20140911,태교를 위한 모차르트 행복 클래식 (엄마와 함께 듣는 클래식 태교),2281468,[775268],Mozart : Piano Sonata No.12 In F Major K.332 - II. Adagio (모차르트 : 피아노 소나타 12번 바장조 - 2악장),GN2200,['태교 마을'],1511
['GN2216'],20170612,편안한 휴식을 위한 감성 피아노 연주곡 베스트,10070086,[1759414],Faure : 2 Songs In B Flat Minor Op.46 - II. Clair De Lune (포레 : 2개의 노래 내림 나단조 작품번호 46 - 2번. 달빛) (Sea Ver.),GN2200,['자장가'],1549
['GN2202'],20100527,엄마들이 뽑은 최신 유아 동요 베스트,928152,[2727],아기다람쥐 또미 (14회 창작동요제 은상곡),GN2200,['Various Artists'],1585
['GN2202'],20180423,율동동요 꼬모팝 4집,10160043,[2137386],얼음,GN2200,['꼬모팝'],1680
['GN2202'],20141015,7080 만화 노래 베스트,2285728,[2727],모래 요정 바람돌이,GN2200,['Various Artists'],1708
['GN2202'],20130923,동요랑 함께 놀아요 3,2201927,[668872],얼굴 찌푸리지 말아요,GN2200,['동요 친구들'],1713
"['GN2205', 'GN2212']",20101012,엄마가 들려주는 동화나라 이야기 속으로 2집,1040455,[2727],까마귀 임금님 (엄마가 들려주는 행복한 구연동화),GN2200,['Various Artists'],1760
['GN2216'],20170307,편안한 물소리가 흐르는 자장가 태교 오르골 클래식 베스트,10043427,[771951],Brahms : Wiegenlied In E Flat Major Op.49-4 (브람스 : 자장가 내림 마장조 작품번호 49-4) (오르골),GN2200,['자장가 오르골'],1789
['GN2202'],20150427,어린이 필수 인기동요 3,2315739,[785860],똑같아요 (인기 놀이동요),GN2200,['필수 인기동요'],1805
['GN2210'],20190418,책 읽으며 듣는 잔잔한 클래식 힐링 오르골 연주곡 베스트,10278128,[2295782],Brahms : Piano Sonata No.1 In C Major Op.1 - II. Andante (브람스 : 피아노 소나타 1번 다장조 작품번호 1 - 2악장) (Sea Ver.),GN2200,['오르골'],1853
['GN2202'],20180810,티디 바다동물동요 X 지니키즈,10193144,[2020011],전기뱀장어,GN2200,['티디'],1933
['GN2202'],20151106,어린이 자장가 어린이집에서 틀어주는 Eq발달 기능성자장가 베스트 모음집,2649107,[913150],옹달샘,GN2200,['동요자장가'],1934
