song_gn_dtl_gnr_basket,issue_date,album_name,album_id,artist_id_basket,song_name,song_gn_gnr_basket,artist_name_basket,id
"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20160226,Melting,2669407,[750053],Girl Crush,GN0200,['마마무 (Mamamoo)'],17
"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN1501', 'GN0201', 'GN1504']",20190519,A-TEEN2 Part.2,10286928,[861436],9-TEEN,GN0200,['세븐틴'],30
['GN0201'],20060407,Warming Up (Digital Single),316690,[160459],국화꽃 향기 (Feat. 김세찬 & DJ Jenifer),GN0200,['디제이 버디'],58
"['GN0204', 'GN0201']",20010705,Look,2518,[100786],봐,GN0200,['To-Ya'],195
"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20120323,The Return,2097929,[100078],Move With Me,GN0200,['신화'],235
['GN0201'],20140925,Magazine,2283510,[629831],손대지마 (Inst.),GN0200,['에일리'],239
['GN0201'],20140725,회는 안 사줬다 (Sushi Is Expensive),2269321,[779591],회는 안 사줬다 (Sushi Is Expensive),GN0200,['후니와 뽀빠이 (Hoonie & Popeye)'],323
"['GN0205', 'GN0201']",20190807,Run Away,10315130,[2005441],Run Away,GN0200,['IN2IT (인투잇)'],338
"['GN0204', 'GN0201']",20060922,The First Album,327350,[24982],It`s Groove,GN0200,['배슬기'],341
"['GN0202', 'GN0201']",19851120,3집,40225,[43],하얀 느낌,GN0200,['이문세'],385
"['GN1501', 'GN0204', 'GN0201', 'GN1504']",20060718,투명인간 최장수 OST,322386,[175155],Can`t Stop Loving You,GN0200,['먼데이 키즈 (Monday Kiz)'],413
"['GN0205', 'GN0201']",20141212,Second Chance,2294983,[786697],Second Chance,GN0200,['마마'],437
"['GN2502', 'GN2501', 'GN0201']",20180306,REMATCH,10143693,[1865245],LOVE ME NOW,GN0200,['MXM'],447
"['GN2503', 'GN1501', 'GN2501', 'GN2506', 'GN0201']",20160215,초코뱅크 OST Part.1,2666643,[839579],두근두근 러브 (Inst.),GN0200,['CLC'],455
"['GN0203', 'GN0201']",19960000,Young Turks Club,308947,[100045],훔쳐보기,GN0200,['영턱스클럽'],524
"['GN2502', 'GN2506', 'GN2501', 'GN0203', 'GN0201']",19971101,Welcome To The Sechskies Land,5371,[100052],미성년자 관람불가,GN0200,['젝스키스'],525
['GN0201'],20170906,Be Natural,10093806,[957132],Be Natural (Orginal Edit),GN0200,['RETRO MAMA'],611
"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20171030,twicetagram,10107114,[905701],LIKEY,GN0200,['TWICE (트와이스)'],642
"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20151210,크리스마스잖아요,2655844,[535440],크리스마스잖아요,GN0200,['B1A4'],645
"['GN0601', 'GN0203', 'GN0605']",20050422,Pianissimo,67258,[2076],Tamptation,GN0200,['서문탁'],663
"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20190618,Pink Magic,10297668,[261447],Pink Magic,GN0200,['예성 (YESUNG)'],682
['GN0201'],20030623,2003 Summer Vacation In SMTown.Com,31809,[160139],Dear My Friend..,GN0200,['다나 (DANA)'],744
"['GN0205', 'GN1501', 'GN0201', 'GN1504']",20110715,로맨스 타운 OST,1339751,[499462],잘될 거야,GN0200,['김그림'],816
['GN0201'],20031122,Un-Touch-Able,33209,[1742],비야,GN0200,['M (이민우)'],919
"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20180702,ONE & SIX,10181013,[534360],I Like That Kiss,GN0200,['Apink (에이핑크)'],930
"['GN2502', 'GN2501', 'GN0204', 'GN2506', 'GN0201']",20070618,The 2nd Asia Tour Concert `O` Live Album,352834,[108316],Spokes Man - 유노개인기 (Feat. Super Junior - 동해),GN0200,['동방신기 (TVXQ!)'],945
"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20120201,The 1st Asia Tour Concert Album `SHINee WORLD`,2072846,[247639],누난 너무 예뻐 (Replay),GN0200,['SHINee (샤이니)'],1040
"['GN0203', 'GN0201']",19961000,Performer Debut,7738,[102767],쉽지,GN0200,['Performer'],1107
"['GN0401', 'GN2503', 'GN2501', 'GN0204']",20060302,Your Story,314376,[181694],Timing,GN0200,['브라운아이드걸스'],1252
"['GN0501', 'GN0201', 'GN0509']",20190129,Headlights,10246667,[2622031],헤드라이트,GN0200,['김산'],1255
"['GN2502', 'GN2501', 'GN2506', 'GN0201']",20120315,FACE,2093307,[640891],"NU, Establish, Style, Tempo",GN0200,['뉴이스트'],1257
"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20140818,The Fourth Single `나처럼 해봐요`,2275066,[477632],나처럼 해봐요,GN0200,['오렌지 캬라멜'],1313
"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20131106,Hush,2214670,[481481],(Mama) I`m Good,GN0200,['미쓰에이'],1371
"['GN0204', 'GN0201']",20030813,Luxurious Singles,32101,[16237],화려한 싱글 (Clubmix Ver.),GN0200,['양혜승'],1463
['GN0201'],20131010,Who Are You?,2209924,[520900],Hey Boy (Feat. Dok2),GN0200,['가희'],1509
"['GN2502', 'GN2501', 'GN0204', 'GN2506', 'GN0201']",20050912,Rising Sun,307424,[108316],Love After Love,GN0200,['동방신기 (TVXQ!)'],1517
"['GN0205', 'GN0201']",20170119,행보 2016 윤종신 / 작사가 윤종신 Live Part.2,10032455,[437],Empty City (With 개코),GN0200,['윤종신'],1519
"['GN0204', 'GN0201']",20080821,못다한 이야기,394374,[101463],싱랄라,GN0200,['거북이'],1537
"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20131014,Prima Donna,2210554,[465680],핑,GN0200,['나인뮤지스'],1551
['GN0201'],20171023,순애몽 (純愛夢),10104750,[2005280],허망로맨스,GN0200,['쵸쵸우'],1591
"['GN0205', 'GN0201']",20190208,20th ANNIVERSARY `REborn`,10249601,[100022],순정,GN0200,['KYT (코요태)'],1618
['GN0201'],20171016,11월 생일축하노래,10102390,[914177],11월7일 생일축하노래,GN0200,['축하사절단'],1631
['GN0201'],20061212,손난로,335908,[182234],The First Noel,GN0200,['투앤비 (2NB)'],1639
