song_gn_dtl_gnr_basket,issue_date,album_name,album_id,artist_id_basket,song_name,song_gn_gnr_basket,artist_name_basket,id
"['GN2704', 'GN1104', 'GN1103', 'GN1101']",20140728,Knock You Out (Remixes),2269860,[455705],Knock You Out,GN2700,['Bingo Players'],14
"['GN2701', 'GN2702', 'GN2703', 'GN1103']",20191122,Roped In,10354158,[719164],Roped In,GN2700,['Gorgon City'],83
"['GN2701', 'GN2702', 'GN2703', 'GN1103']",20190731,Starlight,10312544,[1001155],Starlight (Feat. Simona Nae),GN2700,['DJ Take'],174
"['GN2701', 'GN2702', 'GN2703', 'GN1103']",20190717,One Night,10308301,"[823884, 2739326, 1645862]",One Night,GN2700,"['Hollaphonic', 'Jada Roxx', 'Ayo Beatz']",244
"['GN2701', 'GN2703', 'GN2704']",20080610,In Search Of Sunrise 7 - Asia,583168,[32887],Reason To Believe,GN2700,['Tiesto'],256
"['GN2701', 'GN2702', 'GN2703', 'GN1104', 'GN1103', 'GN1101']",20180720,On My Way (Feat. Jordan Kaahn),10186488,"[196421, 871793]",On My Way (Feat. Jordan Kaahn),GN2700,"['Robbie Rivera', 'L`Tric']",275
"['GN2701', 'GN2703']",20180911,Amnesia,10202580,"[1865687, 2297429]",Amnesia,GN2700,"['WATEVA', 'Alia']",346
"['GN2704', 'GN1102', 'GN1101']",20170407,Memories...Do Not Open,10031250,[713297],Last Day Alive (Feat. Florida Georgia Line),GN2700,['The Chainsmokers'],368
"['GN2704', 'GN1101']",20101206,Who`s That Chick (6-Track Multi Single),1111953,[182123],Who`s That Chick ? (Feat. Rihanna) (Afrojack Dub Remix),GN2700,['David Guetta'],397
"['GN2701', 'GN2703']",20181123,IAMREADY,10225216,"[503115, 2144129]",Far Away,GN2700,"['ReOrder', 'Susie Ledge']",513
"['GN2701', 'GN2702', 'GN2703', 'GN1103']",20190218,From The Back (Feat. Dances with White Girls),10251584,"[857801, 2087407]",From The Back (Feat. Dances with White Girls),GN2700,"['Pat Lok', 'Party Pupils']",595
"['GN2701', 'GN2702', 'GN2703', 'GN1103']",20190107,El Toro,10239609,[726407],El Toro,GN2700,['Qulinez'],640
"['GN2704', 'GN1104', 'GN1103', 'GN1102', 'GN1101']",20131218,Settle (Special Edition),2222074,[699322],Latch (Feat. Sam Smith),GN2700,['Disclosure'],699
"['GN2704', 'GN1104', 'GN1103', 'GN1101']",20150409,Music Box Vol. 35,2313125,[775795],Don`t Stop (Original Mix),GN2700,['Avalanche'],738
"['GN2701', 'GN2703']",20190927,Find You (NCS),10334185,"[1273080, 1661646]",Find You (NCS),GN2700,"['Mynerva', 'Nytrix']",739
