song_gn_dtl_gnr_basket,issue_date,album_name,album_id,artist_id_basket,song_name,song_gn_gnr_basket,artist_name_basket,id
"['GN1403', 'GN1401']",20131125,The Essential,2959115,"[27326, 14433]",St. Louis Blues,GN1400,"['Bessie Smith', 'Louis Armstrong']",43
"['GN0801', 'GN0803']",20051212,김광석 Best,311488,[2960],나의 노래,GN0800,['김광석'],48
"['GN0805', 'GN0801']",20140407,PLAY,2249127,[712452],가르마,GN0800,['AKMU (악동뮤지션)'],96
"['GN1403', 'GN1401']",20180907,20th Century Masters: The Millennium Collection: Best Of Roy Buchanan,5643752,[30262],Wayfaring Pilgrim,GN1400,['Roy Buchanan'],110
"['GN1403', 'GN1401', 'GN1406']",19940913,From The Cradle,21140,[1992],Five Long Years,GN1400,['Eric Clapton'],176
"['GN0805', 'GN0801']",20141217,힘이 돼줄게,2295616,[499462],힘이 돼줄게 (My Angel),GN0800,['김그림'],199
"['GN1401', 'GN1404']",20010804,Chet Atkins - The Master And His Music,97676,[15054],Black Mountain Rag,GN1400,['Chet Atkins'],203
"['GN1401', 'GN1404']",20121119,Together,2172344,[104368],Whiskey Lady,GN1400,['The Oak Ridge Boys'],225
"['GN1402', 'GN1401', 'GN1407']",20040323,Our Endless Numbered Days,2199275,[223484],Sunset Soon Forgotten (Album),GN1400,['iron & wine'],282
"['GN1402', 'GN1401']",20010424,Natural Woman The Very Best Of Carole King,907,[12039],Up On The Roof (Live),GN1400,['Carole King'],291
"['GN1402', 'GN1401']",20100503,Half Seas Over,2167346,[711855],Get Me To The Station,GN1400,['Half Seas Over'],478
"['GN0801', 'GN0803']",19881003,송창식 골든 제3집,4144,[833],담배가게 아가씨,GN0800,['송창식'],508
"['GN1401', 'GN1404']",20181213,Fearless (Big Machine Radio Release Special),5650612,[325867],Love Story,GN1400,['Taylor Swift'],520
"['GN0801', 'GN0803']",19970601,Welcome To My Beach,7638,[100950],마녀! 여행을 떠나다,GN0800,['코나'],535
"['GN0804', 'GN0801']",20060529,Old & New,323164,[10280],사랑은 받는 것이 아니라면서,GN0800,['박강수'],541
"['GN0805', 'GN0801']",20190626,The Way I Am,10300007,[946813],The Way I Am,GN0800,['오연준'],575
"['GN1402', 'GN1401', 'GN1407']",20190821,Bess’s Dance,10319563,[1867789],Bess’s Dance,GN1400,['Itasca'],610
"['GN1402', 'GN1401']",20101111,Thirty People Away,1265153,[496040],True Believers,GN1400,['Tamas Wells'],618
"['GN1403', 'GN1401']",20050927,Bring `Em In,310690,[27343],Cheaper To Keep Her/Blues In The Night,GN1400,['Buddy Guy'],620
"['GN1403', 'GN1401']",20150731,Born To Play Guitar,2331990,[27343],Born To Play Guitar,GN1400,['Buddy Guy'],638
"['GN1501', 'GN0801', 'GN1504']",20150721,"늦은, 밤 (SLEEPER OST)",2330312,[757401],"늦은, 밤",GN0800,['진현'],643
"['GN1403', 'GN1401']",20140526,Tune In To,249860,[165595],Heavy Heart Blues,GN1400,['Champion Jack Dupree'],689
"['GN1401', 'GN1404']",20040607,"Love Is The Answer : 24 Songs Of Faith, Hope And Love",343767,[28059],I Need Thee Every Hour,GN1400,['Glen Campbell'],798
['GN0801'],19941200,우리동네 사람들 하나,6396,[101360],우리 동네 사람들,GN0800,['우리 동네 사람들'],811
"['GN1403', 'GN1401']",20150731,Born To Play Guitar,2331990,[27343],Thick Like Mississippi Mud,GN1400,['Buddy Guy'],826
"['GN1403', 'GN1401']",20200306,Reckless Blues,10399264,[520340],Human,GN1400,['Joanne Shaw Taylor'],867
