song_gn_dtl_gnr_basket,issue_date,album_name,album_id,artist_id_basket,song_name,song_gn_gnr_basket,artist_name_basket,id
"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20160226,Melting,2669407,[750053],Girl Crush,GN2500,['마마무 (Mamamoo)'],17
"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN1501', 'GN0201', 'GN1504']",20190519,A-TEEN2 Part.2,10286928,[861436],9-TEEN,GN2500,['세븐틴'],30
"['GN2502', 'GN2501', 'GN0101', 'GN2505']",20130426,SHINee The 3rd Album Chapter 2. `Why So Serious?,2183157,[247639],떠나지 못해 (Sleepless Night),GN2500,['SHINee (샤이니)'],67
"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20120323,The Return,2097929,[100078],Move With Me,GN2500,['신화'],235
"['GN2502', 'GN2501', 'GN0101', 'GN2505']",20160425,SEVENTEEN 1st Album First `LOVE&LETTER`,2680682,[861436],유행가,GN2500,['세븐틴'],266
"['GN2502', 'GN2501', 'GN0101', 'GN2505']",20180906,Your BGM Vol.2,10201784,[672296],고백 (Inst.),GN2500,['육성재 (비투비)'],426
"['GN2502', 'GN2501', 'GN0201']",20180306,REMATCH,10143693,[1865245],LOVE ME NOW,GN2500,['MXM'],447
"['GN2503', 'GN1501', 'GN2501', 'GN2506', 'GN0201']",20160215,초코뱅크 OST Part.1,2666643,[839579],두근두근 러브 (Inst.),GN2500,['CLC'],455
"['GN2503', 'GN0105', 'GN2501', 'GN0101', 'GN2505']",20150622,Heart Attack,2325321,[686920],진짜 (Really Really),GN2500,['AOA'],493
"['GN2502', 'GN2506', 'GN2501', 'GN0203', 'GN0201']",19971101,Welcome To The Sechskies Land,5371,[100052],미성년자 관람불가,GN2500,['젝스키스'],525
"['GN0105', 'GN0101', 'GN2505', 'GN2503', 'GN1501', 'GN2501', 'GN1504']",20110829,무사 백동수 OST Part.8,2008726,[407540],사랑 때문에,GN2500,['한승연'],594
"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20171030,twicetagram,10107114,[905701],LIKEY,GN2500,['TWICE (트와이스)'],642
"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20151210,크리스마스잖아요,2655844,[535440],크리스마스잖아요,GN2500,['B1A4'],645
"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20190618,Pink Magic,10297668,[261447],Pink Magic,GN2500,['예성 (YESUNG)'],682
"['GN2502', 'GN0601', 'GN2501', 'GN0606']",20120910,FIVE TREASURE BOX,2149653,[226490],Let it go!,GN2500,['FTISLAND (FT아일랜드)'],687
"['GN2502', 'GN2501', 'GN0101', 'GN2505']",20090422,2009 BigBang 콘서트 라이브 앨범 `Big Show`,545759,[198094],나만 바라봐 (Remix),GN2500,['BIGBANG'],764
"['GN2502', 'GN0401', 'GN0403', 'GN2501']",20160927,FLIGHT LOG : TURBULENCE,10001210,[751059],아파,GN2500,['GOT7 (갓세븐)'],860
"['GN2502', 'GN0105', 'GN2501', 'GN0101', 'GN2505']",20190424,옛날 사람 (Old Movie),10277737,[439782],옛날 사람 (Old Movie),GN2500,['김희철'],861
"['GN2502', 'GN0105', 'GN2501', 'GN0101', 'GN2505']",20150226,WE,2305495,[100078],Memory,GN2500,['신화'],874
"['GN2502', 'GN0601', 'GN2501', 'GN0605']",20070608,Cheerful Sensibility,352436,[226490],행복합니다,GN2500,['FTISLAND (FT아일랜드)'],889
"['GN2502', 'GN2501', 'GN2504', 'GN0301']",20171107,THE CODE,10109536,[791216],Deja Vu,GN2500,['몬스타엑스'],914
"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20180702,ONE & SIX,10181013,[534360],I Like That Kiss,GN2500,['Apink (에이핑크)'],930
"['GN2502', 'GN2501', 'GN0204', 'GN2506', 'GN0201']",20070618,The 2nd Asia Tour Concert `O` Live Album,352834,[108316],Spokes Man - 유노개인기 (Feat. Super Junior - 동해),GN2500,['동방신기 (TVXQ!)'],945
"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20120201,The 1st Asia Tour Concert Album `SHINee WORLD`,2072846,[247639],누난 너무 예뻐 (Replay),GN2500,['SHINee (샤이니)'],1040
"['GN0105', 'GN0101', 'GN2505', 'GN2503', 'GN1501', 'GN2501', 'GN1504']",20180905,친애하는 판사님께 OST Part.5,10201186,[672337],Home,GN2500,['레이나 (Raina)'],1203
"['GN0105', 'GN2505', 'GN2501', 'GN0101', 'GN2503']",20140331,Pink Blossom,2246854,[534360],사랑동화,GN2500,['Apink (에이핑크)'],1230
"['GN0401', 'GN2503', 'GN2501', 'GN0204']",20060302,Your Story,314376,[181694],Timing,GN2500,['브라운아이드걸스'],1252
"['GN2502', 'GN2501', 'GN2506', 'GN0201']",20120315,FACE,2093307,[640891],"NU, Establish, Style, Tempo",GN2500,['뉴이스트'],1257
"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20140818,The Fourth Single `나처럼 해봐요`,2275066,[477632],나처럼 해봐요,GN2500,['오렌지 캬라멜'],1313
"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20131106,Hush,2214670,[481481],(Mama) I`m Good,GN2500,['미쓰에이'],1371
"['GN2502', 'GN2501', 'GN0204', 'GN2506', 'GN0201']",20050912,Rising Sun,307424,[108316],Love After Love,GN2500,['동방신기 (TVXQ!)'],1517
"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20131014,Prima Donna,2210554,[465680],핑,GN2500,['나인뮤지스'],1551
"['GN2503', 'GN0105', 'GN2501', 'GN0101', 'GN2505']",20100322,`Run Devil Run` The 2nd Album (Repackage),830051,[228069],별별별 (☆★☆) (Acoustic R&B Ver.),GN2500,['소녀시대 (GIRLS` GENERATION)'],1570
"['GN2502', 'GN0601', 'GN2501', 'GN0606']",20160817,CNBLUE COME TOGETHER TOUR DVD,2704580,[450801],"Try again, Smile again",GN2500,['CNBLUE (씨엔블루)'],1640
"['GN0401', 'GN2503', 'GN0403', 'GN2501']",20190613,BIRTHDAY,10296482,[968260],어질어질 (Outta My Head),GN2500,['전소미'],1641
"['GN2502', 'GN2501', 'GN0204', 'GN2506', 'GN0201']",20060602,동방의 투혼,319560,[108316],동방의 투혼 (2 Step Remix Ver.),GN2500,['동방신기 (TVXQ!)'],1653
"['GN2502', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20150226,WE,2305495,[100078],Alright,GN2500,['신화'],1675
"['GN2503', 'GN2501', 'GN2506', 'GN0201']",20171204,Lip & Hip,10116876,[449401],Lip & Hip (Inst.),GN2500,['현아'],1785
"['GN2502', 'GN2501', 'GN2506', 'GN0201']",20121126,The First Collage,2168099,[510565],그대는 모르죠,GN2500,['양요섭'],1814
"['GN2503', 'GN2501', 'GN2506', 'GN0201']",20101230,The 1st Asia Tour Concert `Into The New World`,1123351,[228069],Touch The Sky,GN2500,['소녀시대 (GIRLS` GENERATION)'],1913
"['GN2502', 'GN2505', 'GN2501', 'GN0101', 'GN0103']",19990400,T.O.P.,4247,[100078],너의 곁에서,GN2500,['신화'],1914
"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20180628,SUMMER DREAM,10180157,[1704756],찰랑찰랑 (Will be mine),GN2500,['엘리스 (ELRIS)'],1942
"['GN0105', 'GN2505', 'GN2501', 'GN0101', 'GN2503']",20100223,Breaking Heart (Repackage),809262,[412000],거짓말 (Slow Ver.),GN2500,['티아라'],1984
"['GN2503', 'GN0205', 'GN2501', 'GN2506', 'GN0201']",20180605,To. Day,10173752,[2019210],FIRST LOVE,GN2500,['프로미스나인'],1988
