song_gn_dtl_gnr_basket,issue_date,album_name,album_id,artist_id_basket,song_name,song_gn_gnr_basket,artist_name_basket,id
"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20150205,내가 부른 그림 2,2303168,[230399],무얼 기다리나 (Feat. 조원선),GN0500,['이영훈'],19
"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20120629,남몰래 듣기,2133128,[681291],찾고 있니,GN0500,['이호석'],35
"['GN0501', 'GN0601', 'GN0503', 'GN0606', 'GN0509']",20161103,THOMAS COOK,10012018,[2925],두 번째 인생,GN0500,['토마스쿡 (thomascook)'],81
"['GN0501', 'GN0601', 'GN0503', 'GN0606', 'GN0509']",20130109,New Days & New Beginning (Ten Years After : Pastel Music 10th Anniversary),2172020,[542681],어디쯤 있나요,GN0500,['Allegrow'],148
"['GN2601', 'GN0501', 'GN2603', 'GN0504', 'GN0509']",20150403,Half Grown,2312193,[734685],The Grateful Breeze,GN0500,['이어스 (Ears)'],218
"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20140924,존재의 온도,2283214,[661852],걸리지마,GN0500,['빨간의자'],229
"['GN0501', 'GN0601', 'GN0503', 'GN0606', 'GN0509']",20140306,언제부턴가,2238628,[746676],사랑은 타이밍이지 (Feat. 오경록 Of 와러서커스),GN0500,['르 메리무스'],234
"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20130215,작은앨범 1.3,2175312,[409364],어디가나요,GN0500,['낭만유랑악단'],254
"['GN0508', 'GN0501', 'GN0601', 'GN0503', 'GN0605']",20090717,I`m Not A Blues Man,610554,[227605],고양이,GN0500,['Third Stone'],271
"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20110426,28,1257355,[452902],Dalmoon,GN0500,['옥상달빛'],339
"['GN0501', 'GN0601', 'GN0503', 'GN0606', 'GN0509']",20140512,Knock-On,2255541,[729554],가슴에 묻다,GN0500,['바스켓 노트'],357
"['GN0509', 'GN0502', 'GN0801', 'GN0501']",20170414,Save Me,10054763,[747594],Save Me,GN0500,['헤이즈문 (Haze Moon)'],363
"['GN0805', 'GN0509', 'GN0502', 'GN0801', 'GN0501']",20150821,사랑은 푸른빛,2335817,[883215],모래편지,GN0500,['헤이달리 (Hey Dali)'],557
"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20151120,IN THE ROOM PART.2,2651881,[674013],닿을락 말락 (Feat. 슈가볼),GN0500,['타린'],596
"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20170826,반했나요,10091012,[1272094],반했나요,GN0500,['담소네공방'],602
"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20180509,사랑오운 아띠,10164803,[1272094],그네,GN0500,['담소네공방'],606
"['GN0509', 'GN0601', 'GN0503', 'GN0606', 'GN0501']",20191001,Voices,10333859,[764257],Dreamer,GN0500,['Eighteen April'],655
"['GN0501', 'GN0601', 'GN0503', 'GN0606', 'GN0509']",20181224,그 어떤 미사여구보다 더 아름다웠던,10235589,[1382118],그 어떤 미사여구보다 더 아름다웠던,GN0500,['디오디오 (The Audio)'],660
"['GN0805', 'GN0509', 'GN0502', 'GN0801', 'GN0501']",20191202,여기,10359223,[254296],여기,GN0500,['우주히피'],678
"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20180410,봄이니까,10156371,[1909842],봄이니까,GN0500,['이스트코너 (East Corner)'],681
"['GN0501', 'GN0601', 'GN0503', 'GN0606', 'GN0509']",20150410,POSTMAN,2313344,[827478],POSTMAN,GN0500,['November Chimney'],697
"['GN0508', 'GN0501', 'GN0601', 'GN0503', 'GN0605']",20061208,라일락,336838,[160705],당근주스,GN0500,['비누도둑'],705
"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20150930,From,2642147,[473460],프롬 (From),GN0500,['밀크티'],729
"['GN0501', 'GN0601', 'GN0503', 'GN0606', 'GN0509']",20100413,Bliss City East 그리고 Vidulgi Ooyoo,857353,[214586],Dusky,GN0500,['비둘기우유'],779
"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20180103,EGOLOG,10124164,[990116],#18 (Egolog),GN0500,['스키니죠 (Skinnyjoe)'],788
"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20150619,Imagine You,2324861,[749751],고백 (Let Me In),GN0500,['이매진'],794
"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20150323,19.9,2310260,[857052],사소한 고백,GN0500,['센치한 버스'],823
"['GN0501', 'GN0601', 'GN0503', 'GN0606', 'GN0509']",20150420,(Paint It H.E.R),2314680,[745882],내사랑 안녕,GN0500,['라데'],829
"['GN2601', 'GN0501', 'GN2603', 'GN0504', 'GN0509']",20150810,"3 Little Wacks - Young,Gifted & Wack 3rd Anniversary Compilation",2333975,[750257],Easy Word (Feat. Moment aka Swag Cat),GN0500,['Sima Kim'],898
"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20160307,벚꽃 보러가요 리마스터드,2671018,[858745],벚꽃 보러가요 (리마스터드),GN0500,['먼데이모닝'],910
"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20141120,그림,2291415,[757576],마부의 노래,GN0500,['권나무'],968
"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20150625,화전민의 노래,2325959,[496780],인투더 와일드 (Feat. 김오키),GN0500,['사이'],1018
"['GN0501', 'GN0601', 'GN0503', 'GN0606', 'GN0509']",20170216,그걸로 됐어,10039181,[171035],오로라 (Feat. 프롬),GN0500,['스위트 피'],1023
"['GN0501', 'GN0601', 'GN0503', 'GN0606', 'GN0509']",20180316,2017 월간 톰톰,10148001,[728051],아무일도 없는 밤 (Remastered 2018),GN0500,['톰톰'],1108
"['GN0501', 'GN0601', 'GN0503', 'GN0606', 'GN0509']",20180521,Another Man,10168278,[2139896],Indian Song,GN0500,['Moon in Suit'],1161
"['GN0501', 'GN0502', 'GN0801', 'GN0509']",20151005,우리만날시간,2643163,[896341],우리만날시간,GN0500,['연애할시간'],1180
"['GN0805', 'GN0501', 'GN0502', 'GN0801', 'GN0509']",20150522,young,2320034,[467880],Starry Night,GN0500,['스탠딩 에그'],1209
"['GN0501', 'GN0601', 'GN0503', 'GN0606', 'GN0509']",20121008,Dreamtalk,2152066,[100397],스모우크핫커피리필,GN0500,['3호선 버터플라이'],1220
