song_gn_dtl_gnr_basket,issue_date,album_name,album_id,artist_id_basket,song_name,song_gn_gnr_basket,artist_name_basket,id
"['GN1903', 'GN1901']",20200129,Batsu Batsu Batsu (Virtual Edition),10381087,[2296395],Kaguya Luna No Shumatsu Sekai,GN1900,['Luna Kaguya'],27
"['GN1907', 'GN1912', 'GN1902', 'GN1901']",20070404,Best Of The Indigo 2000-2006,382592,[160906],I Do!,GN1900,['The Indigo'],82
"['GN1912', 'GN1901']",20160316,E Complete A Side Singles,2964360,[108584],Secret Base -Kimiga Kureta mono- (Album Version),GN1900,['Zone'],236
"['GN1912', 'GN1902', 'GN1901']",20161201,Luna,10019643,[1239794],片戀 / Katakoi (짝사랑),GN1900,['Shionoya Sayaka'],237
"['GN1910', 'GN1905', 'GN1912', 'GN1901']",20050202,To All The Dreamers,314820,[174264],"Love, Peace & Soul",GN1900,['SOUL`d OUT'],267
"['GN1912', 'GN1902', 'GN1901']",20070402,"Though, I`m Just Me",457751,[311768],And I Found This Boy,GN1900,['Hirasawa Maia'],280
"['GN1910', 'GN1912', 'GN1905', 'GN1901']",20180406,Antithesis,10155438,[982199],Ennui,GN1900,['iwamizu'],281
"['GN1912', 'GN1901']",20170331,メッセ-ジボトル / Message Bottle,10061989,[1243486],ひろ / Hiro (히로),GN1900,['amazarashi'],302
"['GN1912', 'GN1903', 'GN1901']",20081105,Gimmical☆Impact,407457,[221773],Galileo,GN1900,['LM.C'],335
"['GN1912', 'GN1903', 'GN1901']",20010919,Deep Forest,41674,[102659],Week!,GN1900,['Do As Infinity'],388
"['GN1910', 'GN1905', 'GN1912', 'GN1901']",20181115,Idiot,10221898,[1760208],Loto No Youni,GN1900,['VaVa'],436
"['GN1907', 'GN1912', 'GN1904', 'GN1901']",20080716,Repro,392905,[161529],I Like It,GN1900,['Jazztronik'],482
"['GN1912', 'GN1903', 'GN1901']",20180913,PORNO GRAFFITTI BEST BLUE`S,2190975,[26938],アゲハ蝶 / Agehachou (호랑나비),GN1900,['Porno Graffitti'],492
"['GN1912', 'GN1903', 'GN1901']",20190508,STORY,10281886,[2018401],STORY,GN1900,['Never Young Beach (네버 영 비치)'],578
"['GN1501', 'GN1903', 'GN1509', 'GN1901']",20190404,TV Animation 「BAKUMATSUクライシス (바쿠마츠 크라이시스)」 OP&ED,10269330,[2140649],Brave Rejection (TV Size) - TV 애니메이션 「바쿠마츠 크라이시스」 OP 테마,GN1900,['Hi!Superb'],657
"['GN1912', 'GN1902', 'GN1901']",20160128,Prism,2664290,[230202],好きだったんだ / Sukidattanda (좋아했던거야),GN1900,['Oku Hanako'],658
"['GN1912', 'GN1902', 'GN1901']",20180216,Honey,10139504,[438983],テイクミ&#12540;アウト / Take Me Out,GN1900,['Scandal'],691
"['GN1912', 'GN1902', 'GN1901']",20130313,Legend Of 2PM,2177948,[259822],Only One,GN1900,['2PM'],698
"['GN1912', 'GN1902', 'GN1901']",20160224,Dear Bride,10228621,[647971],Dear Bride,GN1900,['비투비'],723
"['GN1912', 'GN1904', 'GN1901']",20101130,I Am Amwe,1247753,[459139],Friction Between The Lovers,GN1900,['Amwe'],781
"['GN1912', 'GN1902', 'GN1901']",20131127,Todokanai Koi `13 (Single),2218979,[746147],さよならのこと / Sayonarano Koto (안녕이라는것),GN1900,['Uehara Rena'],812
"['GN1912', 'GN1902', 'GN1901']",20070425,Sweet Impact,350955,[2165],So Real (ArmySlick`s Scratch Build Vocal),GN1900,['보아 (BoA)'],832
"['GN1912', 'GN1902', 'GN1901']",20170126,http:// Part.2,10033662,[1383568],Kowloon,GN1900,['Daiki Tsuneta Millennium Parade'],893
