song_gn_dtl_gnr_basket,issue_date,album_name,album_id,artist_id_basket,song_name,song_gn_gnr_basket,artist_name_basket,id
"['GN2902', 'GN1501', 'GN1507', 'GN2901']",20130806,뮤지컬 레미제라블 OST,2196186,"[730135, 730138]",코제트와 마리우스 (구름속의 산책),GN2900,"['박익환', '임현하']",189
"['GN1501', 'GN1508', 'GN2903', 'GN2901']",20130507,Rodgers + Hammerstein`s Cinderella (Original Broadway Cast Recording),2485746,"[746213, 1115222]",Do I Love You Because You`re Beautiful?,GN2900,"['Santino Fontana', 'Laura Osnes']",1184
"['GN1501', 'GN1508', 'GN2903', 'GN2901']",20131203,Carmen OST (뮤지컬 카르멘 오리지널 캐스트 레코딩),2219199,[746271],Cizinec Muj Stin (The Man I Have Become) (다른 사람이 된 나),GN2900,['Peter Strenacik'],1200
"['GN1501', 'GN1508', 'GN2903', 'GN2901']",20060110,빌리 엘리어트 OST,344157,[2727],Angry Dance,GN2900,['Various Artists'],1483
"['GN1501', 'GN1508', 'GN2903', 'GN2901']",20130927,노트르담 드 파리 라이브 인 서울 2005 (Notre-Dame De Paris Live In Seoul 2005),313321,[736021],Tu Vas Me Detruire - Frollo,GN2900,['Jerome Collet'],1687
"['GN2902', 'GN1501', 'GN1507', 'GN2901']",20110621,뮤지컬 화랑 OST Vol.2,1315555,[548140],모든게 지나면,GN2900,['화랑'],1890
"['GN2902', 'GN1501', 'GN1507', 'GN2901']",20131218,Musical December 2013 With Kimjunsu,2222039,[52607],스치다 (With 린),GN2900,['김준수'],1963
"['GN2902', 'GN1501', 'GN1507', 'GN2901']",20170317,Musical Phantom 2016 Live Recording Korean Cast (전동석 Ver.),10046838,[469835],그대의 음악이 없다면,GN2900,['전동석'],2344
"['GN1501', 'GN1508', 'GN2903', 'GN2901']",20000606,Aida,305044,"[520702, 53368, 2560488]",The Gods Love Nubia (Album Version),GN2900,"['Aida Ensemble', 'Heather Headley', 'Schele Williams']",2611
"['GN2902', 'GN1501', 'GN1507', 'GN2901']",20160322,"윤동주, 달을 쏘다.",2674524,[895436],"시를 쓴다는 것 (Vocal By 박영수, 김도빈, 김용한)",GN2900,['서울예술단'],3123
"['GN1501', 'GN1508', 'GN2903', 'GN2901']",20090602,락 오브 에이지 OST,2131787,[679471],Just like Paradise / Nothin` But A Good Time,GN2900,['Rock Of Ages Full Company'],3326
"['GN2902', 'GN1501', 'GN1507', 'GN2901']",20080522,진짜 진짜 좋아해 OST,382415,[25708],진짜 진짜 좋아해 (박해미 Ver. 1),GN2900,['박해미'],3587
"['GN1501', 'GN1508', 'GN2903', 'GN2901']",20040621,캬바레 OST,34940,[44126],Don`t Tell Mama,GN2900,['Natasha Richardson'],3707
"['GN1501', 'GN1508', 'GN2903', 'GN2901']",20131212,100 Greatest Musicals (가장 위대한 뮤지컬 음악 100선),2220984,[493634],Close Every Door,GN2900,['Andrew C. Wadsworth'],4288
