song_gn_dtl_gnr_basket,issue_date,album_name,album_id,artist_id_basket,song_name,song_gn_gnr_basket,artist_name_basket,id
['GN2301'],20150504,저 광야로,2316699,[774028],Brand New Life,GN2300,['루멘'],428
['GN2301'],20140915,저의 주님 저의 하느님,2281844,[785290],"저의 주님, 저의 하느님 (성 토마스의 고백)",GN2300,['St. Paul Ensemble'],1922
['GN2302'],19820101,정목스님과 함께하는 부처님 말씀 법구경 성불합시다,2275493,[19775],법구경 (잠못 이루는 사람에게 밤은 길고),GN2300,['정목스님'],2120
['GN2302'],20030701,"심경 5, 6",302975,[2727],관세음보살,GN2300,['Various Artists'],2378
['GN2301'],20110509,제8회 PBC 창작생활 성가제,1271767,[539329],사랑 나눔,GN2300,['피델리스'],2658
['GN2301'],20180501,박정훈 베드로 디지털 싱글 `환희의 신비`,10162803,[773341],환희의 신비,GN2300,['박정훈'],2672
['GN2302'],20100316,백화도량송II (나무 관세음보살),829656,[462041],순례의 길,GN2300,['산공스님'],2904
['GN2302'],20070501,내 존재 그대로 당신께,352938,[227202],예불천수반야심경 (세송 / 지옥송 / 아미타불경),GN2300,['월암스님'],3309
['GN2301'],20090226,"Hymns For All Saints: Advent, Christmas, Epiphany",2322335,[869072],"Comfort, Comfort Ye My People",GN2300,['Concordia Publishing House'],6690
['GN2302'],20120201,자비도량참법,2137035,[685282],자비도량참법 제8권-위시방과거비구비구니예불,GN2300,['혜공스님'],6817
['GN2302'],20080701,노래하는 해운스님 2집,1138554,[517100],달마,GN2300,['해운스님'],7398
['GN2301'],20150605,"Hymns For All Saints : Lent, Easter, Pentecost",2322338,[869072],"O Sacred Head, Now Wounded",GN2300,['Concordia Publishing House'],7556
['GN2302'],20100316,산공,829651,[462041],귀의성심 (성스러운 마음에 귀의합니다),GN2300,['산공스님'],8733
['GN2301'],20090226,The Marvel Of This Night,2321860,[869072],Ever Since The Savior Came,GN2300,['Concordia Publishing House'],10462
['GN2302'],20080618,시나브로 산사의 아침 참선음악 2집,388686,[2727],견우 (見牛),GN2300,['Various Artists'],10569
['GN2302'],20041001,"천수경, 반야심경, 금강경, 아미타경",1068508,[508182],화엄경약찬게,GN2300,['지행스님'],10959
['GN2301'],20090226,"Hymns For All Saints: Advent, Christmas, Epiphany",2322335,[869072],"O Come, All Ye Faithful",GN2300,['Concordia Publishing House'],11709
['GN2301'],20110509,제8회 PBC 창작생활 성가제,1271767,[539331],소중한 것은 보이지 않아,GN2300,['레몬트리'],12077
['GN2302'],20101207,영인스님 염불 따라하기 35 (사시불공),1231611,[9326],천수경,GN2300,['영인스님'],12634
['GN2302'],20110707,염불 따라하기 22 (금강경),2048366,[169878],지경공덕분/응화비진분,GN2300,['성수스님 (성주암)'],13001
['GN2301'],20150506,하늘의 사랑을 그대에게,2316873,[103091],주님 함께 걸어요 (Walking With The Lord),GN2300,['성바오로딸 수도회'],13621
['GN2301'],20120822,일어나 비추어라,2146207,[151756],마음의 눈을 떠 주님께 가오니,GN2300,['사랑의 날개'],14347
['GN2301'],20181030,매일 함께하는 찬송가 4,10217142,[2297590],예수를 나의 구주 삼고,GN2300,['데일리 프레이즈'],14576
['GN2301'],20090209,Heirs Of The Reformation : Treasures Of The Singing Church,2323158,[869072],"Oh, Be Joyful In The Lord",GN2300,['Concordia Publishing House'],14872
['GN2301'],20151224,은혜충만 박정웅 창작복음성가,2662734,[943825],주여 내 주여,GN2300,['박정웅'],15611
['GN2301'],20181213,기다림 (바오로딸 뮤직),10232147,[415281],구세주 내 주 천주여,GN2300,['박종미'],15896
['GN2301'],20120319,최은영 스텔라의 누빔점,2094613,[646234],재의 수요일,GN2300,['천승재'],15996
['GN2301'],20141007,찬양천사 Project (부제. 행복을 찾는 젊은이의 희망이야기),2284860,[25330],희망 이야기,GN2300,['박명선 수산나'],16390
['GN2301'],20180201,에파타 열려라,10134390,[868219],에파타 열려라,GN2300,['계만석'],17372
['GN2301'],20090226,The Marvel Of This Night,2321860,[869072],"Sleep Softly, Softly, Beautiful Jesus",GN2300,['Concordia Publishing House'],19101
['GN2302'],20170126,꿈꾸는 아이들,10034322,[1384636],꿈꾸는 아이들,GN2300,['명화사 소년 소녀 합창단'],19492
['GN2301'],20040420,오직 하느님의 영광만을,307102,[101541],젊은이여 일어나라,GN2300,['갓등 중창단'],19897
['GN2301'],19931210,내 발을 씻기신 예수,316202,[101541],그분은,GN2300,['갓등 중창단'],20078
['GN2301'],20181221,이제야 주님을 만났습니다,10235118,[21736],믿으오리다,GN2300,['이동철'],20098
['GN2302'],20110707,염불따라하기 57 (소원성취백일기도),2024819,[169878],의상조사법성게,GN2300,['성수스님 (성주암)'],21058
['GN2302'],20101207,송결 법회찬불가,1231754,[531361],찬불가,GN2300,['최미영'],21275
['GN2302'],20101207,염불 따라하기 54 (독성기도),2013739,[9326],천수경,GN2300,['영인스님'],21283
['GN2301'],20050401,한국비젼선교중창단 (창단 연주회 실황),2666216,[945626],"Divertimento No,1 (Allegro)",GN2300,['한국비젼선교중창단'],21892
['GN2301'],19960101,그리스도 향기 가득한 날이면,307100,[101541],꿈 (악몽퇴치비결),GN2300,['갓등 중창단'],22364
['GN2301'],20090209,Heirs Of The Reformation : Treasures Of The Singing Church,2323158,[869072],Now Thank We All Our God,GN2300,['Concordia Publishing House'],22502
['GN2302'],20180228,소리로 수놓다,10143056,[2087957],법화경약찬게,GN2300,['석용'],22564
['GN2301'],20140228,나무와 숲 이야기,2236870,[539327],나 그대를 사랑하는 까닭은,GN2300,['나무와 숲'],22694
['GN2302'],19970311,금강경.천수경,2033767,[583492],금강경,GN2300,['혜진스님'],23200
['GN2302'],20151001,해성스님의 정근송 붓다의 향기 4집,10176399,[779210],나무묘법연화경,GN2300,['해성스님'],23995
['GN2302'],20150525,김혜정 1집 (묘음행 - 그리운 부처님),2328483,[874139],그리운 부처님,GN2300,['김혜정'],24550
['GN2301'],20090209,Heirs Of The Reformation : Treasures Of The Singing Church,2323158,[869072],"Break Forth, O Beauteous Heavenly Light",GN2300,['Concordia Publishing House'],26399
['GN2301'],20160602,청사희망 Vol.11 Simple,2688466,[107105],Let`s Go Enojusa 2016 Ver.,GN2300,['Enojusa'],27197
['GN2301'],20090501,"행복하여라, 마음이 가난한 사람들!",2182069,[721997],찬미하여라,GN2300,['꽃동네 수도자 찬미단'],30532
['GN2301'],20090611,"Hymns For All Saints: Adoration, Praise, Comfort",2322278,[869072],A Mighty Fortress Is Our God,GN2300,['Concordia Publishing House'],30939
['GN2302'],20110707,염불따라하기 56 (집안번창백일기도),2024821,[169878],지장보살십선계,GN2300,['성수스님 (성주암)'],31342
['GN2302'],19980307,염불따라하기 5 (저녁예불),1261061,[169878],신중단,GN2300,['성수스님 (성주암)'],32153
['GN2301'],20090223,Sing The Faith: The Small Catechism Set To Music,2323160,[869072],Sacrament Of The Altar 3,GN2300,['Concordia Publishing House'],32587
['GN2302'],20121123,살구꽃이 피는 여기 해인에.....,2167873,[712225],출가,GN2300,['해조음'],32597
['GN2301'],20160627,거룩한 찬미의노래 - 화답송집,2693655,"[990390, 990389]",성당 봉헌 공통 미사,GN2300,"['박현미', '가톨릭 이 솔리스티']",32769
