song_gn_dtl_gnr_basket,issue_date,album_name,album_id,artist_id_basket,song_name,song_gn_gnr_basket,artist_name_basket,id
"['GN2805', 'GN2801']",20190326,ASMR 백색소음 자장가 Best 8,10265451,[2636332],ASMR 숙면과 휴식에 좋은 편안한 빗소리 (백색소음),GN2800,['ASMR 백색소음 (ASMR White Noise)'],18
"['GN2802', 'GN2801']",20180618,숙면과 불면증 위한 실감적인 ASMR SOUND,10176249,[2190604],ABC 초콜렛 먹는 소리 (고요함 Ver.),GN2800,['ASMR SHOWER'],51
"['GN2806', 'GN2801']",20171103,반려동물을 위한 음악 / Lullaby (강아지 고양이 자장가),10108879,[2006794],Timeless Love,GN2800,['Pet Melody (펫멜로디)'],1312
"['GN2806', 'GN2801']",20190315,사랑스러운 반려동물을 위한 명품 피아노 모음집,10261184,[2634990],나비야 (바닷가 Ver.),GN2800,['강아지 음악'],1552
"['GN2803', 'GN2802', 'GN2801']",20170214,자연의 소리,10038408,[889896],숙면과 안정을 위한 시냇물이 흐르는 숲 속의 새소리,GN2800,['포레스트 사운드'],1793
"['GN2804', 'GN2801']",20150331,공부에 도움을 주는 집중력 향상 피아노 모음집,189559,[733908],Silent Cafe,GN2800,['쉼표하나'],1951
"['GN2802', 'GN2801']",20180618,숙면과 불면증 위한 실감적인 ASMR SOUND,10176249,[2190604],물장난하는 소리 (고요함 Ver.),GN2800,['ASMR SHOWER'],2522
"['GN2805', 'GN2801']",20190516,"숙면을 위한 클래식, 달콤한 자장가 소품집 (Emotional Piano)",10285962,[2137127],힘든 하루의 끝에서,GN2800,['숲속의 자장가'],3020
"['GN2804', 'GN2801']",20190131,공부와 집중력향상 명상과 수험생을 위한 알파파음악,10247318,[2622320],"캐논변주곡 바다(공부,사운드테라피,뇌파음악,명상음악,요가,ASMR)",GN2800,['집중력음악'],3208
"['GN2806', 'GN2801']",20190116,강아지가 좋아하는 음악 1집,10242610,[2620739],점심 시간,GN2800,['강아지가 좋아하는 음악'],3440
"['GN2805', 'GN2801']",20190516,"숙면을 위한 클래식, 달콤한 자장가 소품집 (Emotional Piano)",10285962,[2137127],잠 들지 못하는 새벽 (Rain Ver.),GN2800,['숲속의 자장가'],3575
"['GN2803', 'GN2801']",20170829,"명상음악 (태교, 불면증, 집중, 요가, 백색소음)",10091652,"[1760657, 889896]",휴식을 위한 잔잔한 강물소리,GN2800,"['강아지 음악', '포레스트 사운드']",3692
"['GN2805', 'GN2802', 'GN2801']",20190117,깊은 수면을 유도하는 잠 잘 오는 빗소리,10243181,[2620934],"산사의 앞마당에 쏟아지는 빗소리 (리얼 현장녹음 - 잠잘 때, 수면 유도, 자장가, 명상, 휴식, ASMR, 백색소음)",GN2800,['수면 연구소'],3843
"['GN2804', 'GN2801']",20150707,집중력 향상을 위한 마음 스트레칭 (뉴에이지 피아노 모음집),2327839,[736359],날지 못하는 새,GN2800,['초록바다'],4235
"['GN2802', 'GN2801']",20170710,백색소음3,10077756,[1704783],종이 비비는 소리 (백색소음 화이트노이즈 힐링 자장가),GN2800,['백색소음'],4909
"['GN2802', 'GN2801']",20200131,귀가 즐거운 ASMR - 겨울 음식 먹방,10380895,[2643625],얼린 샤인머스켓 먹는 소리,GN2800,['Tingle'],5050
"['GN2805', 'GN2801']",20180503,힐링을 위한 ASMR 자장가 2,10163540,[2111930],"진주펄 슬라임 만지는 소리 (팅글, 집중력 ASMR)",GN2800,['ASMR 자장가 (ASMR Lullaby)'],6041
"['GN2806', 'GN2801']",20180820,"반려동물을 위한 휴식, 자장가 피아노 음악 1",10195102,[2243765],반려동물과 함께,GN2800,['반려동물 자장가'],7143
"['GN2803', 'GN2801']",20160725,파도와 바다 소리로 듣는 힐링사운드 모음,2699707,[979005],도시의 스트레스를 날려주는 여름 바다의 소리,GN2800,['힐링 네이쳐'],7523
"['GN2803', 'GN2802', 'GN2801']",20161109,`잠잘 때 듣는` 수면을 위한 빗소리 4,10013743,[979005],불면증을 치유하는 경이로운 자연의 빗소리 4,GN2800,['힐링 네이쳐'],7887
"['GN2805', 'GN2801']",20170104,당신의 긴 수면을 위한 밤의 노래,10028050,[979005],고요한 텐트 속을 연상케하는 자연의 소리,GN2800,['힐링 네이쳐'],8268
"['GN2802', 'GN2801']",20190510,ASMR (백색소음) 1,10283159,[2637809],ASMR (포근한 빗소리),GN2800,['백색소음 (ASMR)'],8424
"['GN2803', 'GN2802', 'GN2801']",20170215,스트레스가 줄어들거에요. 재충전을 위한 자연으로 초대 Vol. 3,10038926,[979005],사무실 분위기를 릴렉스하게 해주는 숲 속의 빗소리,GN2800,['힐링 네이쳐'],8541
"['GN2806', 'GN2801']",20171229,차분한 강아지 (분리불안 해소 힐링 사운드),10123792,[981324],베토벤 - 비창2악장 (바닷가를 거닐며),GN2800,['반려동물 테라피'],10309
"['GN2802', 'GN2801']",20180629,마음속 힐링을 위한 실감적인 ASMR SOUNDS,10179901,[2190604],"해질 녘 자연소리 (곤충, 동물울음)",GN2800,['ASMR SHOWER'],11180
"['GN2802', 'GN2801']",20180412,마음의 안정과 스트레스 해소를 위한 바람소리,10156809,[2111930],"답답한 마음이 탁 트이는 바람 소리 (수면, 숙면, 수면음악, 휴식, 힐링, ASMR)",GN2800,['ASMR 자장가 (ASMR Lullaby)'],11811
"['GN2805', 'GN2801']",20190326,ASMR 백색소음 자장가 Best 7,10265449,[2636332],ASMR 마음을 씻어주는 잔잔한 비 소리 (백색소음),GN2800,['ASMR 백색소음 (ASMR White Noise)'],12531
"['GN2803', 'GN2801']",20010101,명상의 말씀 14 (침묵의 가르침 중에서),342657,[23390],침묵의 가르침 중에서 1,GN2800,['엄주환'],13047
"['GN2805', 'GN2802', 'GN2801']",20190227,ASMR 자장가 3,10255054,[2140083],ASMR 낮잠에 좋은 창문너머 들리는 한 낮의 조용한 마을 소리,GN2800,['ASMR (백색소음)'],13929
"['GN2803', 'GN2802', 'GN2801']",20161104,당신의 잠과 휴식을 위한 자연의 귀 울림 Vol. 4,10012550,[979005],아기와 엄마의 단잠을 위한 대자연의 숨소리 5,GN2800,['힐링 네이쳐'],14094
"['GN2802', 'GN2801']",20190419,ASMR 자연의 소리 #2 - 빗소리,10278277,[2203346],"ASMR 상쾌한 빗소리 (숙면, 수면, 힐링, 휴식, 심신안정, 백색소음)",GN2800,['ASMR Sound'],14185
"['GN2804', 'GN2801']",20170518,집중력을 키워주는 뉴에이지 (Complete Concentration Vol. 1),10062942,[1704798],Reminiscence,GN2800,['Johannes Bornlof'],14438
"['GN2803', 'GN2801']",20161019,가을 그리고 빗소리,10008171,[979005],명상을 위한 자연의 선물 빗소리,GN2800,['힐링 네이쳐'],14483
"['GN2806', 'GN2801']",20180716,"강아지 자장가, 행복한 산책을 위한 기능성 음악",10185071,[2139322],잠시만 잘께요 (모닥불 소리),GN2800,['반려동물'],14966
"['GN2802', 'GN2801']",20190108,"숙면을 위한 백색소음 White Noise ASMR, 수면유도를 위한 알파파와 세타파를 담은 깊은잠을 위한 뇌파안정 수면 백색음 모음집",10239849,[2403922],나무장작 타는 소리와 비소리 (뭉친 마음의 근육을 풀어주는 이완 명상 백색소음),GN2800,['백색소음 ASMR'],15134
"['GN2806', 'GN2801']",20160603,"강아지 자장가, 혼자여도 괜찮아",2688839,[981324],(강아지 자장가) 또 하나의 가족 (개구리 소리를 들으며),GN2800,['반려동물 테라피'],15500
"['GN2803', 'GN2801']",20170530,커피한잔의 명상으로 10억을 번 명상음악,10066413,[1757907],하루를 바꾸는 5분 명상,GN2800,['귓전명상'],15648
"['GN2803', 'GN2801']",20160725,마음의 평화를 위한 감성 빗소리 모음,2699712,[979005],제주도 서귀포 앞바다에 태풍과 함께 온 빗소리,GN2800,['힐링 네이쳐'],16490
