song_gn_dtl_gnr_basket,issue_date,album_name,album_id,artist_id_basket,song_name,song_gn_gnr_basket,artist_name_basket,id
"['GN2001', 'GN2008']",20071212,Silverport Best,362126,[2727],La Bomba & Joel (Tropicalisimo Mix),GN2000,['Various Artists'],45
['GN2001'],20080101,Rising Up From the Ashes,3516820,[178466],Since You`ve Been Gone,GN2000,['Norway'],61
['GN2001'],19700000,Song For Liberty,27927,[2203],Song For Liberty,GN2000,['Nana Mouskouri'],165
['GN2001'],20170727,Harvey Specter Soundtrack (Music Inspired By The TV Series Suits),4087222,[923913],Respect Yourself,GN2000,['Graham Blvd'],202
['GN2001'],20050612,Seis Voces...?nada Mas?,2341761,[840995],Your Song,GN2000,['B Vocal'],259
"['GN2006', 'GN2001']",20010227,O Negocio E Amar,1273460,[539605],Pedacinhos Do Ceu,GN2000,['Anna Lemgruber'],272
"['GN2007', 'GN2001']",20171019,Tango: ADIOS PIAZZOLLA (탱고: 아디오스 피아졸라) (Live),10103776,[1958271],Canaro En Paris,GN2000,['CUATROCIENTOS (쿠아트로시엔토스)'],276
"['GN2002', 'GN2001']",19950516,The French Album,332636,[2275],Pour Que Tu M`aimes Encore,GN2000,['Celine Dion'],278
"['GN2002', 'GN2001']",20130301,Ici Paris (Remastered),2183329,[193358],Marina Viva,GN2000,['Tino Rossi'],297
['GN2001'],20131111,agua Lusa,4723604,[570692],O Mar Fala de Ti,GN2000,['Jussara Silveira'],367
['GN2001'],20001017,Rainbow,522658,[2006],Riverside,GN2000,['Jia Peng Fang'],376
['GN2001'],20060627,World Psychedelic Classics 3 (Love`s A Real Thing),345033,[219499],Better Change Your Mind,GN2000,['William Onyeabor'],581
['GN2001'],19750420,Di Melo,4027802,[1758039],A Vida em Seus Metodos Diz Calma,GN2000,['Di Melo'],591
"['GN2001', 'GN2008']",20041117,15 De Coleccion,315901,[182217],Con Un Besito,GN2000,['La Mafia'],680
['GN2001'],20010522,At Her Very Best,65738,[2203],Choeur De Murmures (The Humming Chorus),GN2000,['Nana Mouskouri'],753
['GN2004'],20191125,The Alley,10358402,[1628677],Feeling Good (feat. BCW),GN2000,['J.Sheon'],772
"['GN2007', 'GN2001']",20061011,Pasajero,328654,[101149],Cafe,GN2000,['Gipsy Kings'],783
['GN2001'],20170929,The Advent,4409181,[204424],Brave Warriors,GN2000,['Coven'],857
