artist,title,lyric,track_id,danceability,energy,loudness,mode,acousticness,valence,tempo
  마마무 (Mamamoo)  ,Girl Crush,이따 거기서 봐 이번엔 장담해 찾았어 hot place 예감이 괜찮아 정말로 기대돼 날 비출 spotlight 눈꼬린 더 길게 콧대는 더 높게 화장이 진할수록 커져가는 자신감 근데 왜 my boyfriend 눈빛이 수상해 oh my god 지금 나를 의심해 말도 안돼 Hey you 너 간당간당해 갈대처럼 난 왔다갔다해 왜 또 쿨하지 못해 I just wanna be awesome girl Girl Crush Cool Every day I do Go Girl Crush Red color lipstick 뒤태는 apple hip Go Girl Crush Cool Every day I do Go Girl Crush Cash money 나도 충분히 벌어 Go Girl Crush I love myself 요즘 나 잘나가 애교는 기본에 섹시는 highlight 예쁘고 달콤한 표현들은 no thanks 탈 날지 몰라 눈꼬린 더 길게 콧대는 더 높게 화장이 진할수록 커져가는 자신감 근데 왜 my boyfriend 눈빛이 수상해 oh my god 지금 나를 의심해 말도 안 돼 Hey you 너 간당간당해 갈대처럼 난 왔다갔다해 왜 또 쿨하지 못해 I just wanna be awesome girl Girl Crush Cool Every day I do Go Girl Crush Red color lipstick 뒤태는 apple hip Go Girl Crush Cool Every day I do Go Girl Crush Cash money 나도 충분히 벌어 Go Girl Crush 나는 안 해 밀당 내 감정에 솔직하지 다른 여자들의 고민과는 좀 달라 I'm freakin' naughty girl 남들 시선 의식 안 해 cause I love myself 조금 외로우면 어때 내 생각엔 마치 넌 애정결핍같아 Hey you 너 간당간당해 갈대처럼 난 왔다갔다해 왜 또 쿨하지 못해 I just wanna be awesome girl Girl Crush Cool Every day I do Go Girl Crush Red color lipstick 뒤태는 apple hip Go Girl Crush Cool Every day I do Go Girl Crush Cash money 나도 충분히 벌어 Go Girl Crush I love myself,5WGLxlhumdEqAyEgKbVmra,0.847,0.806,-3.133,1,0.103,0.82,128.057
  세븐틴  ,9-TEEN,Youth 우리 함께 걷는 우리의 발걸음 소중한 시간 너와 함께라 용기를 낼 수 있어 알람이 울리네 등 뒤를 밀어 하룰 시작하라 떠미네 눈 비비고 첫 느낌은 아직도 꿈인데 입꼬리 씰룩거려 롤러코스터 타는데 올라가는데 어리고 어려도 내 꿈은 변하지 않아 우리 둘이라면 어디든지 갈 수 있어 있어 오늘의 선택 후회 없게 이 순간에 널 믿어봐 내가 네 옆에 있을게 한 번뿐인 열아홉 끝에서 9 9 9teen 9 9 9teen u eh o 겁이 나더라도 틀린 것은 없어 My 9teen You 너와 함께 있어 지금 너의 맘을 알 수 있어 손을 내밀어 내가 너의 손 잡을게 종이 울리네 눈 깜빡하면 집에 갈 시간인데 남은 오늘 하루 너와 있고 싶은데 무슨 좋은 핑계 있나 없나 고민해 고민 고민해 어리고 어려도 내 꿈은 변하지 않아 우리 둘이라면 어디든지 갈 수 있어 있어 오늘의 선택 후회 없게 이 순간에 널 믿어봐 내가 네 옆에 있을게 한 번뿐인 열아홉 끝에서 9 9 9teen 9 9 9teen u eh o 겁이 나더라도 틀린 것은 없어 My 9teen My 9teen 널 위해 노랠 불러줄게 이 순간이 지나가도 내가 네 옆에 있을게 우리가 우리에게 있는 9 9 9teen 9 9 9teen u eh o 겁이 나더라도 틀린 것은 없어 My 9teen 9teen 돌아오지 않을 이 순간을 너를 널 위해 이거 알지 9teen 돌아오지 않을 이 순간을 너를 널 위해 My 9teen,5G5MW3CIQ26AV08Yl7UV6m,0.564,0.776,-5.101,0,0.0503,0.693,160.049
  To-Ya  ,봐,봐봐 나를 봐 들어봐 내 말 들어봐 우리 방법을 찾자 계속 이렇게 저렇게 멀어지다가 이별 오면 어떡해 너 없이 사는 법 따윈 정말 알고 싶지도 않아 내 맘 훤히 넌 알잖아 너만 있으면 아무 욕심 없는 나 I'm In Love With You 하지만 언제까질까 너를 사랑하기 때문에 때론 실망도 커 봐 바로 오늘처럼 너와 다툰 이런 날엔 너의 빈 자릴 채울 나만을 위한 사람 찾게 되잖니 내 맘 잡아줄래 유리처럼 깨지지 않게 말야 네가 채워줄래 누구도 내 맘속에 못 들어오게 내가 필요한 건 너니까 내 눈물의 이윤 너니까 부디 이런 나를 지켜줘 날 힘들게 하지마 우 우리 하나라면 I'm In Love With You 때로는 자신이 없어 너를 사랑하기 때문에 때론 상처도 커 봐 바로 요즘처럼 너 때문에 힘들 때면 너를 모르던 때로 가끔은 돌아가고 싶기도 한 걸 내 맘 잡아줄래 유리처럼 깨지지 않게 말야 네가 채워줄래 누구도 내 맘속에 못 들어오게 내가 필요한 건 너니까 내 눈물의 이윤 너니가 부디 이런 나를 지켜줘 날 힘들게 하지마 우 I Just Want To Know Where You Are You never Show Me How I try We'd Better Find The way Ooh,77XAIXrqiyHRmFdp3L96rN,0.579,0.914,-4.535,0,0.0465,0.601,175.963
  신화  ,Move With Me,yo ay yo baby I can change your life man check this out 지금 완전히 무방비 상태 나를 가져도 돼 Do you want me I can be your man 매일 아침에 눈을 뜰 때 일어난 니 옆에 I just wanna know your name 못 믿어도 난 믿어도 돼 두 번 말 안 할게 내 품에 서 baby just move with me 니 몸이 먼저 대답하잖아 그 남자는 지금 여기 없어 이 순간에 너와 나 뿐이야 Baby just move with me 하루라도 널 뺏고 싶은데 널 보내주긴 싫어 걸 벗어둬 니 하이힐 오늘 가기 전에 I just want you to know 너와 만나보고 싶어 너만 허락 한다면 내 모든걸 다 주고 싶은 걸 하루만 못 봐도 니가 고파 니가 뿌리는 perfume 도도한 눈빛 tomorrow 널 버리고 오겠니 겁내지 말고 날 봐 오 baby just move with me 니 몸이 먼저 대답하잖아 그 남자는 지금 여기 없어 이 순간에 너와 나 뿐이야 Baby just move with me 하루라도 널 뺏고 싶은데 널 보내주긴 싫어 걸 벗어둬 니 하이힐 오늘 가기 전에 yeah now who you know gonn' love you right and when your man lookin' through your cloth and hug you tight girl I wish you would even though I know you wouldn't why stop keep it going even though we shouldn't 하루만 못 봐도 니 생각에 하루를 망쳐 나는 널 원해 Try waitin try escapin' 너만 보여 너의 미소 말투 행동 모두 다 그리워 기횔 줘 난 너를 What Let's do it participation the heart should be facin' let's switch the situation good things comin' Those who wait and you been patient everytime I see you you got me Walkin'out of words and runnin' out of statements baby just move with me 니 몸이 먼저 대답하잖아 그 남자는 지금 여기 없어 이 순간에 너와 나 뿐이야 Baby just move with me 하루라도 널 뺏고 싶은데 널 갖고 싶은 걸 벗어둬 니 하이힐 오늘 가기 전에 baby just move with me move with me 니 몸이 먼저 대답하잖아 그 남자는 지금 여기 없어 여기없어 이 순간에 너와 나 뿐이야 Baby just move with me move with me 하루라도 널 뺏고 싶은데 널 보내주긴 싫어 보내주긴 싫어 벗어둬 니 하이힐 오늘 가기 전에 baby just move with me yo 움직여 숨 넘어 갈 듯 내 맘도 훔치며 그 남자는 지금 여기 없어 작업 아닌 작전 오늘 밤 지나면 대 반전 baby just move with me 확 끌려 안 되는 걸 알지만 안 들려 그냥 즐겨 걸 벗어둬 니 하이힐 오늘 가기 전에,1wmuKrJZGOaIb2x32Ijig9,0.793,0.623,-8.2,0,0.122,0.882,93.025
  에일리  ,손대지마,날 사랑한다는 그 흔해빠진 거짓말 반복되는 싸움 gotta go I say good bye 딴 사람 만나고 내겐 집에 가서 잤다고 둘러대는 너 제발 그냥 가라고 뭘 원해 또 어느새 내 손을 잡아 왜 너답게 또 다른 애 찾아 떠나가라고 널 떠나는 건 내겐 행운이란 걸 Get out Get out Get out Get out what you want 내 몸에 손대지 마 소름끼치니까 내 이름 부르지 마 듣기 싫으니까 니가 뭘 안다고 사랑하긴 뭘 한다고 됐어 필요 없어 꺼져 far away 내 몸에 손대지 마 난 돌아가지 않아 널 사랑하지 않아 I’m out I’m out 미안하다 하지 마 됐고 설명하려 하지마 적당히 좀 해 소리 지르기 전에 Oh stupid 잘 생각해 계산이 느리니 눈부신 날 놓친 걸 넌 후회하게 될 걸 이 손 놓으라고 꼴 보기 싫다고 Get out Get out Get out Get out let me go 내 몸에 손대지 마 소름끼치니까 내 이름 부르지 마 듣기 싫으니까 니가 뭘 안다고 사랑하긴 뭘 한다고 됐어 필요 없어 꺼져 far away 내 몸에 손대지 마 난 돌아가지 않아 널 사랑하지 않아 I’m out I’m out 가시 박힌 말을 실컷 퍼붓고 아주 완벽하게 돌아서는데 왜 자꾸 두 눈에 눈물이 차는지 Get out Get out Get out Get out let me go 가슴은 아프지만 사랑은 끝났어 넌 아니라고 해도 이미 난 끝났어 이젠 나를 잊고 과거 따윈 치워두고 넌 너대로 행복하길 바랄게 내 몸에 손대지 마 I’m out I’m out,3QZeZgeeGlty1sHAxdfQ1w,0.722,0.909,-1.919,0,0.0301,0.629,110.053
  IN2IT (인투잇)  ,Run Away,계속해서 조여오는데 내가 너를 구해줘야 해 벗어날 수가 없는데 계속해서 빠져들어 오직 나만 할 수가 있어 어서 내 손을 잡아 따듯하게 감싸줘 이제 Run Away 같이 가자 영원히 버텨 오직 널 위해서 달려가 Baby Run Away 이제 Runway Please Let Me 내 손잡아 줘 가슴 터질듯해 어서 빨리 마지막 힘 내줘 My Way 내 곁에는 너여야만 해 어디든 가자 멀리 Run Away Run Away Can You Hear Me Now Run Away Run Away Come On Let's Run Let's Go Run Away Don't Stop Me 놓지마 조여오는 이곳을 이제 벗어나려고 해 그날을 세상으로 구원해준 여신이여 지금 내 맘은 너무나 벅차올라 깊은 어둠 속에서 내 손을 잡아줘 우릴 가둔 현실에서 널 구해준 난 Papillon 답을 찾아서 가보자 끝없는 이 길을 꽉 잡아 뒤는 돌아보지 말고 뛰어 이제 Run Away 같이 가자 영원히 버텨 오직 널 위해서 달려가 Baby Run Away 이제 Runway Please Let Me 내 손잡아 줘 가슴 터질듯해 어서 빨리 마지막 힘 내줘 My Way 내 곁에는 너여야만 해 어디든 가자 멀리 Run Away 꼭 잡은 두 손 절대 놓지 마 빛을 따라가 보는 거야 Run & Go Run & Go 뒤돌아보지 마 넌 나와 같이 가는 거야 다시 Runway Please Let Me 내 손잡아 줘 널 놓치지 않아 꽉 잡아줘 한 번 더 힘내줘 My Way 내 곁에는 너 여야만 해 어디든 좋아 멀리 Run Away Run Away Chitty Chitty Bang Bang 미쳐 버릴 것 같애 굳이 멈추지 마 네 멋대로 가 Only You Are My Life 바칠게 내 모든 삶 매일매일 Day 곁에 있어줄게 Run Away Run Away Let's Run Away 힘들지도 몰라 It's So Far Away 두려움에 넘어져도 다시 Try Again 내 곁엔 제발 내 손 잡을 사람 너 아니면 안 돼 Run Away,2q4zBpCi187nzYDHOcDrqC,0.639,0.895,-1.431,0,0.0165,0.523,104.944
  배슬기  ,It`s Groove,uh uh uh uh uh uh uh uh crown j is in a building 배슬기 oh like it like that I like it oh baby Let me introduce my self sweet baby girl I try to flow would you baby we can make it world 오늘 내 느낌이 딱 맞았어 내가 그린 모습이 내 앞에서 she's movin' it body like damn 웃는 모습까지 너는 귀여운 거니 hm excuse me 아까부터 눈빛을 건네는 걸 모른 척 했지만 알고 있었어 언제쯤 올까 사실 나도 기다렸어 맘에 들었어 I'm not that easy boy 쉽진 않을거야 다가와 dance with me Hit the floor let your feelin control and we own it takin your sorrows away Hit the floor let your feelin control and we own it and and we own and we own  자꾸 끌려 너의 매력에 내 모둘 그저 네게 맡긴채 너와 내가 이 조명 불빛아래 baby I like it like that tell me if you like it like that 내가 눈을 뗄 수 없게 날 원한다고 속삭여줘 told you I like it like that 좀 더 날 끌어 안아줘 내 눈을 피하지는 마 groove you does I give you my love love  and drink it oh oh and now what's up up ma Hit the floor let your feelin control and we own it takin your sorrows away Hit the floor let your feelin control and we own it  u hu u hu u u hu u hu  u hu u hu u u hu u hu  time to get down shody 우리는 음악에 취해 오늘밤은 끝까지 party 여기서 넌 최고의 lady 계속 그렇게 넌 sexy 흔드는 너의 허리 움직여 move your body 나를 느껴봐 everybody Hit the floor let your feelin control and we own it takin your sorrows away Hit the floor let your feelin control and we own it Hit the floor let your feelin control and we own it takin your sorrows away Hit the floor let your feelin control and we own it Hit the floor,7jN35698X5UyyZpfcHRkZs,0.894,0.876,-4.787,1,0.0366,0.885,134.968
  이문세  ,하얀 느낌,그날처음 우리는 만났지 아름다운 그길을 우연히 스쳐간 순간에 사랑이란 그렇게 시작해 아침햇살 가득히 하늘에 빛나던 날 걸음을 멈추고 그대를 보았지 그대의 어깨위 꽃잎만 쌓여갔지  그날 우린 밤하늘 보았지 우리둘의 가슴에 하얗게 쌓이던 함박눈 사랑이란 그렇게 시작해 오래전에 보았던 것같은 그대눈빛 걸음을 멈추고 그대를 보았지 그대의 어깨위 흰눈만 쌓여갔지,2RGM8GMfTmBu2l5VdCPSxS,0.667,0.497,-11.193,1,0.242,0.836,166.117
  MXM  ,LOVE ME NOW,네 두 눈에 비친 그 사랑은 너무 멀어 아껴둔 소중한 그 마음은 상처만 늘어가네 What You Waiting For 왜 다른 곳만 보는 거야 Why 초점 잃은 시선 난 더 이상 두고 볼 수 없어 No More 그 사람은 너를 몰라 이젠 가까이로 고개를 돌려봐 아파하지 말아 혼자 언제나 네 옆에 서 있는 내게 와 수많은 시간 속에 충분히 방황했잖아 너만 보지 못해 다른 사람들도 알아 Girl 의미 없는 기다림은 그만둬 이미 너도 알고 있어 넌 내가 아니면 깊은 어둠을 벗어날 수 없어 없어 넌 내가 아니면 행복해질 수 없을지도 몰라 Baby So I Really Want You Love Me Now Love Me Now Love Me Now My Baby Love Me Now Love Me Now I Really Want You Love Me Now Love Me Now Love Me Now My Baby Love Me Now Love Me Now I Really Want You 첫걸음부터 전부 잘못됐어 내가 보기엔 널 사랑할 맘도 없었어 그놈은 애초에 몇 번이고 말했었잖아 왜 나를 못 믿어 언제까지 그럴 거야 이제는 내게 와 그 사람은 영원히 지워 항상 널 웃게 했었던 사람 힘이 들 때 네 옆에 있어 줬던 사람 그게 나야 난 준비됐어 오래전부터 다른 사람 안 봐 오직 너를 원해 알아 너도 느끼고 있어 그냥 맘이 가는 대로 움직여 이제 그 사람은 너를 몰라 이젠 가까이로 고개를 돌려봐 아파하지 말아 혼자 언제나 네 옆에 서 있는 내게 와 수많은 시간 속에 충분히 방황했잖아 너만 보지 못해 다른 사람들도 알아 Girl 바보같이 계속 참고 있지 마 넌 사랑받아야 해 I Really Want You Love Me Now Love Me Now Love Me Now My Baby Love Me Now Love Me Now I Really Want You Love Me Now Love Me Now Love Me Now My Baby Love Me Now Love Me Now I Really Want You 말하지 않아도 알아 I Know You 눈빛만 봐도 느낄 수 있는 걸 느낄 수 있어 네가 뭘 원하는지 말하지 않아도 내게서 받을 사랑은 행복하게 너를 꾸며내 줘 말하지 않아도 알아 I Know You 눈빛만 봐도 느낄 수 있는 걸 이렇게 나 간절한 너에게 모든 맘 바쳐 내 세상에 행복을 바라 오늘 밤 넌 내가 아니면 깊은 어둠을 벗어날 수 없어 없어 넌 내가 아니면 행복해질 수 없을지도 몰라 Baby So I Really Want You Love Me Now Love Me Now Love Me Now My Baby Love Me Now Love Me Now I Really Want You Love Me Now Love Me Now Love Me Now My Baby Love Me Now Love Me Now I Really Want You,7zfDfFGg2EVky4HlcxBcEw,0.545,0.784,-3.379,0,0.0879,0.766,137.789
  영턱스클럽  ,훔쳐보기,난 알고 있어 숨어서 보고 있는 니 마음을 Oh 준비됐어 망설이지만 말고 내게로와 널 보면서 생각을 해 모든 시작은 작은 것 부터야 애써 외면할 필요 없어 손을 내밀어봐 기대를 하게하는 느낌이 맘에 들어 투명한 너만의 그 눈빛이 가까이 다가와봐 나에게 말을 해봐 너의 숨결을 느낄수 있게 난 알수있어 넌 내게 끌려오고 있는 거야 왜 바보처럼 그렇게 훔쳐보고 있기만해 어렵게 생각을 하지마 너와나는 하나가 될수 있어 가까이서 느끼고 싶어 사랑하고픈 널 기대를 하게하는 느낌이 맘에 들어 투명한 너만의 그 눈빛이 가까이 다가와봐 나에게 말을 해봐 너의 숨결을 느낄수 있게 우와 우와 내게로와 우와 우와 말을 해줘 우와 우와 니마음을 우와 우와 Come on baby 꿈속에선 사랑을 나눴지 눈 맞추며 미소짓는 작고 작은 입술 달콤한 향기 수줍게 다가온 너만의 느낌 지금 난 느낄수가 있어 Hey 조그만 너에게 관심을 끌고 싶어 이리와 가까이 좀더 가까이와 너를 보면 우린 서로 So come on 너를 사랑해 어렵게 생각을 하지마 너와나는 하나가 될수 있어 가까이서 느끼고 싶어 사랑하고픈 널 기대를 하게하는 느낌이 맘에 들어 투명한 너만의 그 눈빛이 가까이 다가와봐 나에게 말을 해봐 너의 숨결을 느낄수 있게 기대를 하게하는 느낌이 맘에 들어 투명한 너만의 그 눈빛이 가까이 다가와봐 나에게 말을 해봐 너의 숨결을 느낄수 있게,5ixuGcQAuiYawCoBH88LLV,0.781,0.964,-4.755,1,0.0296,0.702,106.232
