artist,title,lyric,track_id,danceability,energy,loudness,mode,acousticness,valence,tempo
  Diana Vickers  ,Blame Game,"I've got an addiction to the friction when you rub me around I could tell you I'm sorry But I'd do it again I got the feeling, the feeling We're too much of a good thing And instead of pulling you closer, I push you away And my make up is smudged My tears on the floor Oh this is the part I went out the door I tell you to go, I want you to stay But it's too late I, I, I'm always playing the blame game Killing the good times Always the same, same I'm always laying the blame game Such a shame, shame Because I'm crazy about this Wouldn't come for such a risk Cause I, I, I'm always playing the blame game I'm always playing the blame game Second shot of tequila Now I'm back on the dance floor But seconds later you turn And I get lost in the crowd And when you take my hand Oh it's the hand of a stranger You're asking me what's wrong But the music is too loud And my make up is smudged My tears on the floor Oh this is the part I went out the door I tell you to go, I want you to stay But it's too late I, I, I'm always playing the blame game Killing the good times Always the same, same I'm always laying the blame game Such a shame, shame Because I'm crazy about this Wouldn't come for such a risk Cause I, I, I'm always playing the blame game I'm always playing the blame game I'm always playing the blame game Playing the blame game There's tears in your eyes I've been here before This is the part you walk out the door I tell you to go I want you to stay But it's too late I, I, I'm always playing the blame game Killing the good times Always the same, same I'm always laying the blame game Such a shame, shame Because I'm crazy about this Wouldn't come for such a risk Cause I, I, I'm always playing the blame game I'm always playing the blame game But it comes with such a risk Playing the blame game But it comes with such a risk Cause I'm crazy about your kiss But it comes with such a risk Cause I'm crazy about your kiss But it comes with such a risk Cause I'm crazy about your kiss But it comes with such a risk",0oLesYIw06xKCCOBU3JZ0r,0.599,0.866,-3.979,1,0.000694,0.616,128.97
  Eddie Benjamin  ,Fuck My Friends,Fuck my friends I don't want to show anything Lost my face and I lost my brain I don't need their love Gonna have a party for one Blow my candle cuz nobody comes It's just me turning up Have my cake and eat it yeah Everybody is playing the game Imma just stay in my lane yeah Watchers they never change All of them can beat it Turning off my phone yeah I'm just better off alone It's sad but true It's sad but true Fuck my friends I don't want to show anything Lost my face and I lost my brain I don't need their love no Fuck my friends Cuz they only gonna let me down Now I'm wondering through this crowd I don't need their love no You're already out of my head Stay on my phone But I leave you on read It's too hard to pretend I know that you don't mean it yeah Turning off my phone yeah I'm just better off alone It's sad but true It's sad but true Fuck my friends I don't want to show anything Lost my face and I lost my brain I don't need their love Fuck my friends Cuz they only gonna let me down Now I'm wondering through this crowd I don't need their love no,3WsRuvMAGIUGSQ3L5TKetf,0.728,0.305,-8.922,0,0.186,0.558,99.967
  N Sync  ,I`ll Never Stop,"Oh ya I'll never stop I dont no Do you believe me, After all that's said and done All the lies, how I regret them baby now I am the loser when you shining like the sun Tell me why can't I still be the one? All right I will never stop Until you're mine I can wait forever till the end of time Coz my heart is in your hands don't you understand I'll never stop I'll never stop How could I ever when my heart is in your hands and I know baby there is not turning back They say that I'm crazy and I kind of understand How I wish for this nightmare to end Oh yes I will never stop Until you're mine I can wait forever till the end of time Coz my heart is in your hands don't you understand I'll never stop Yeah ay I'll never stop Oh oh oh, Do you believe me When my heart is in your hands Don't you understand I'll never stop I will never stop Till the end of time I will wait forever My heart is in your hands My heart is in your hands I will never stop Until you're mine I can wait forever till the end of time Coz my heart is in your hands don't you understand I'll never stop",4EAbAlO8QWzIpONNkUkOvC,0.689,0.862,-4.047,1,0.0899,0.897,113.287
  Rachael Yamagata  ,Duet,Oh Lover hold on till I come back again For these arms are growin tired And my tales are wearing thin If you're patient I will surprise When you wake up i'll have come All the anger will settle down And we'll go do all the things we should have done Yes I remember what we said As we lay down to bed I'll be here if you will only come back home Oh lover i'm lost Because the road i've chosen beckens me away Oh lover don't you roam Now i'm fighting words I never thought i'd say But I remember what we said As we lay down to bed I'll forgive you oh If you just come back home Oh lover I'm old You'll be out there and be thinking just of me And I will find you down the road And will return back home to where we're meant to be cause I remember what we said As we lay down to bed We'll be back soon as we make history,4G8wt3fUBpgBjI35TBF2eQ,0.459,0.14,-15.482,1,0.895,0.146,128.904
  Shane Filan  ,Better Off A Fool,Do I stay or do I go I know I have to choose Wish you could give me everything But that's something you can't do I'll take what I can get Someday I know I'll regret Taking what I do I'm better off a fool If I don't have to lose you Maybe I should turn away before it's too late Sounds crazy But I know the truth I'm better off a fool I hear the talk behind my back They don't mean to be cruel But they can't see it's killing me Just being here with you You maybe committing a crime But I'm here doing the time Doesn't matter much to you I'm better off a fool If I don't have to lose you Maybe I should turn away before it's too late Sounds crazy But I know the truth I'm better off a fool Maybe I should turn away before it's too late Sounds crazy I'm better off a fool I'm better off a fool Turn away before it's too late Sounds crazy But I know the truth I'm better off a fool Sounds crazy but I know the truth,226B7CMS9PzCzlKOkq0B9E,0.488,0.326,-8.844,1,0.736,0.218,77.976
  Tom Odell  ,Summer Day,Sometimes the winter gets me down The pitter patter of the rain upon the window sound I lay inside my head Then I remember what my pretty little friend she said Ah I have only got to see your face And you show me how Ah It can be a summer day Honey all year round I don't know much about society Or if we're growing up quicker than we're meant to be But when you put your hands in my hands You speak a language only us can understand Ah I have only got to see your face And you show me how Ah It can be a summer day Honey all year round Stop crying Stop crying Oh they'll come right out You know they’re like a little king Stop lying Stop lying You'll never have a doubt You know soon it will be spring You know you really are the prettiest thing Ah I have only got to see your face And you show me how Ah It can be a summer day Honey all year round Ah It can be a summer day Honey all year round Ah It can be a summer day Honey all year round,5ioqEMrHBIKqERuKXjXTIr,0.754,0.709,-7.476,1,0.857,0.701,112.02
  Jessica Mauboy  ,What Happened To Us (Feat. Jay Sean),I feel you even though were apart And without you There's a hole in my heart Oh baby baby though I tried I just can't adjust Oh boy what happened to us happened to us happened to us We were in love We both felt the same The good thing that We had oh boy was insane We had a bond that would never break why we let it go oh We used to stay up all night long Kissing to our favorite songs Just tell me where all went wrong that's what I got to know oh Cuz I feel you even though We're apart and without you There's a hole in my heart oh baby baby though I tried I just can't adjust oh boy what happened to us happened to us Thought that I could get over you Oh but baby that is so far from true oh baby baby Got something I want to discuss Oh boy what happened to us happened to us happened to us I think that we oughta work it out like air your love I can't live without So have mercy Don't leave me in doubt Saying I love Still burns Still burns Still burns I try to go my separate way At first I thought it was okay I miss you more with each day So to you I turn Cuz I feel you even though We're apart and without you There's a hole in my heart oh baby baby though I tried I just can't adjust oh boy what happened to us happened to us Thought that I could get over you Oh but baby That is so far from true oh baby baby Got something I want to discuss Oh boy what happened to us happened to us happened to us I know that you saw me with someone else Believe me I'm all by myself Cuz I feel you even though We're apart and without you There's a hole in my heart oh baby baby though I tried I just can't adjust oh boy what happened to us happened to us Thought that I could get over you Oh but baby That is so far from true oh baby baby Got something I want to discuss Oh boy what happened to us happened to us happened to us Cuz I feel you even though We're apart and without you There's a hole in my heart oh baby baby though I tried I just can't adjust oh boy what happened to us happened to us What happened to us oh boy what happened to us happened to us,3jYjrXIt3JoSz69rL3iYkF,0.667,0.851,-3.084,1,0.215,0.546,154.015
  Madonna  ,Fever (Album Version),You give me You give me fever Never know how much I love you Never know how much I care When you put your arms around me I get a fever that's so hard to bear Listen to me baby Hear every word I say No one can love you the way I do 'Cuz they don't know how to love you my way You give me fever When you kiss me Fever when you hold me tight Fever In the morning Fever all through the night Sun lights up the daytime Moon lights up the night My eyes light up when you call my name 'Cuz I know you're gonna treat me right Bless my soul I love you Take this heart away Take these arms I'll never use And just believe in what my lips have to say You give me fever When you kiss me Fever when you hold me tight Fever In the morning Fever all through the night Everybody's got the fever That is something you should know Fever isn't such a new scene Fever started long ago You give me fever Fever You give me you give me fever You give me fever When you kiss me Fever when you hold me tight Fever In the morning Fever all through the night Romeo loved Juliet Juliet she felt the same When he put his arms around her He said Julie baby you're my flame He gave her fever Sun lights up the daytime Moon lights up the night My eyes light up when you call my name 'Cuz I know you're gonna treat me right You give me fever When you kiss me Fever when you hold me tight Fever In the morning Fever all through the night Fever With his kisses Fever when he holds me tight Everybody's got the fever That is something you should know Fever isn't such a new scene Fever started long ago Fever Captain Smith and Pocahontas Had a very mad affair When her daddy tried to kill him She said daddy oh don't you dare He gives me fever With his kisses Fever when he holds me tight Fever I'm his Misses Daddy won't you treat him right Fever When you kiss them Fever if you live and learn Fever 'Til you sizzle What a lovely way to burn What a lovely way to burn What a lovely way to burn,3UPOaZ64ov0tKaidsTTlc0,0.778,0.727,-10.296,1,0.0663,0.549,115.94
  Drake  ,Over My Dead Body,"Chorus 1: Chantal Kreviazuk How I'm feeling, it doesn't matter 'Cause you know I'm okay Instead, I ask myself, Why do you worry When you know, you know I'm the same I know, I know you don't love me, baby They're trying to take you away from me Only over my dead body  Verse 1: Drake I think I killed e'rybody In the game last year, man, fuck it, I was on though And I thought I found the girl of my dreams At a strip club, mmm-mmm, fuck it, I was wrong though Shout out to all my niggas living tax free Nowadays it's six figures when they tax me Oh well, I guess you lose some and win some Long as the outcome is income You know I want it all and then some Shout out to Asian girls, let the lights dim some Shots came, I don't know where they was sent from Probably some bad hoes I'm 'bout to take the hint from Yeah, you know me well, nigga I mean you ain't the only real nigga They got me on these white women like Seal, nigga Slave to the pussy but I'm just playing the field, nigga Are these people really discussing my career again Asking if I'll be going platinum in a year again Don't I got the shit the world wanna hear again Don't Michael Jordan still got his hoop earring in Man all of your flows bore me: paint drying And I don't ever be trippin off of what ain't mine And I be hearing the shit you say through the grapevine But jealousy is just love and hate at the same time Yeah, it's been that way from the beginning I just been playing, I ain't even notice I was winning  Refrain: Drake And this is the only sound you should fear Man, these kids wear crowns over here and everything is all right  Chorus 2: Chantal Kreviazuk Oh, I know, I know you don't love me, baby They're trying to take you away from me Only over my dead body  Verse 2: Drake You say I'm old news, well who the new star Cause if I'm going anywhere, it's probably too far Just performed at a Bar Mitzvah over in the States Used half of the money to beat my brother's case Red wine over Fed time And shout out to the niggas that's doing dead time Shout out to the bitches there when it's bedtime And fuck you to the niggas that think it's their time Yeah, don't make me take your life apart, boy You and whoever the fuck gave you your start boy Oh, you wanna be a motherfucking funny guy Don't make me break your Kevin Hart, boy Yeah, it's whatever You know, feeling good, living better I think maybe I was numb to it last year But you know I feel it now more than ever My city love me like Mac Dre in the Bay Second album, I'm back paving the way The backpackers are back on the bandwagon Like this was my comeback season back, back in the day And I met your baby moms last night We took a picture together, I hope she frames it And I was drinking at the Palms last night And ended up losing everything that I came with Feel like I've been here before, huh I still got ten years to go, huh  Refrain: Drake And this is the only sound you should fear Man, these kids wear crowns over here and everything is all right  Chorus 2: Chantal Kreviazuk Oh, I know, I know you don't love me, baby They're trying to take you away from me Only over my dead body  Outro Three in the morning, still going down",734PUXqvOiLZScnfeg73JB,0.513,0.56,-10.343,1,0.766,0.554,186.09
  Samantha Jade  ,Hot Stuff,Sittin' here eatin' my heart out waitin' Waitin' for some lover to call Dialed about a thousand numbers lately Almost rang the phone off the wall  Lookin' for some hot stuff baby this evenin' I need some hot stuff baby tonight I want some hot stuff baby this evenin' Gotta have some hot stuff Gotta have some lovin' tonight I need hot stuff I want some hot stuff I want some  Lookin' for a lover who needs another Don't want another night on my own Wanna share my love with a warm blooded lover Wanna bring a wild man back home  Gotta have some hot lovin' baby this evenin' I need some hot stuff baby tonight I want some hot stuff baby this evenin' Gotta have some lovin' Gotta have some lovin' tonight Hot stuff I need hot stuff Hot lovin Lookin' for some hot lovin'  Lookin' for some hot stuff baby this evenin' I need some hot stuff baby tonight I want some hot stuff baby this evenin' Lookin' for some hot stuff baby tonight Lookin' for some hot lovin' baby this evenin' I need some hot stuff baby tonight I want some hot stuff baby this evenin' Gotta have some hot lovin' Gotta have some lovin' tonight,10TuozVj6htkOwFrCQcXTz,0.712,0.806,-3.568,0,0.00497,0.786,120.512
