artist,title,Clean_lyric,emo,track_id,track_url,album_art,release_date
  마마무 (Mamamoo)  ,Girl Crush,place boyfriend god girl crush day crush color lipstick apple hip crush day crush cash money crush thanks boyfriend god girl crush day crush color lipstick apple hip crush day crush cash money crush girl cause girl crush day crush color lipstick apple hip crush day crush cash money crush spotlight girl girl girl girl girl girl hot awesome girl cool red girl cool girl highlight awesome girl cool red girl cool girl freakin naughty awesome girl cool red girl cool girl,Energetic,5WGLxlhumdEqAyEgKbVmra,https://open.spotify.com/track/5WGLxlhumdEqAyEgKbVmra?si=16273bb8033b4134,https://i.scdn.co/image/ab67616d0000b2733b87990278416fb13f1b135f,2015-09-16
  세븐틴  ,9-TEEN,youth teen teen teen teen teen teen teen teen teen teen teen teen,Chilling,5G5MW3CIQ26AV08Yl7UV6m,https://open.spotify.com/track/5G5MW3CIQ26AV08Yl7UV6m?si=388f8930431a4b7e,https://i.scdn.co/image/ab67616d0000b2739eb8050029529478d2a4fdcd,2019-05-19
  To-Ya  ,봐,love love way know show,Chilling,77XAIXrqiyHRmFdp3L96rN,https://open.spotify.com/track/77XAIXrqiyHRmFdp3L96rN?si=679150935bac4593,https://i.scdn.co/image/ab67616d0000b27366d27b372f0dbeee2c8a0a31,2016-04-06
  신화  ,Move With Me,baby life man man name baby move baby move perfume tomorrow baby move baby move man cloth hug wish keep try waitin heart situation thing everytime word statement baby move baby move baby move baby move baby move baby move change check want want know girl try let participation let switch get walkin runnin gonn stop facin good patient,Happy,1wmuKrJZGOaIb2x32Ijig9,https://open.spotify.com/track/1wmuKrJZGOaIb2x32Ijig9?si=654778ce7ee64281,https://i.scdn.co/image/ab67616d0000b27348864f5b00e41ba8061441bb,2012-03-23
  에일리  ,손대지마,bye get get get get get get get get get let get get get get let good stupid,Energetic,3QZeZgeeGlty1sHAxdfQ1w,https://open.spotify.com/track/3QZeZgeeGlty1sHAxdfQ1w?si=054fc28e6fdc4dfc,https://i.scdn.co/image/ab67616d0000b273310ef085f3b527d52c0768c3,2014-09-25
  IN2IT (인투잇)  ,Run Away,baby please way let please way way chitty bang life day run run let run run hear run come run let run stop run let run run let run run bang run run let run try run runway papillon baby runway please chitty,Depressed,2q4zBpCi187nzYDHOcDrqC,https://open.spotify.com/track/2q4zBpCi187nzYDHOcDrqC?si=7f13ce0693e84df7,https://i.scdn.co/image/ab67616d0000b273cc4ad22e3a38e2269dcd84f4,2019-08-07
  배슬기  ,It`s Groove,building baby self baby girl try world movin damn boy dance floor feelin control sorrow floor feelin control groove love love floor feelin control sorrow floor feelin control time shody party lady body everybody floor feelin control sorrow floor feelin control floor feelin control sorrow floor feelin control floor let introduce flow make hit let hit let tell give drink hit let hit let get move hit let hit let hit let hit let hit crown sweet easy sexy,Energetic,7jN35698X5UyyZpfcHRkZs,https://open.spotify.com/track/7jN35698X5UyyZpfcHRkZs?si=e5f0781416f640d9,https://i.scdn.co/image/ab67616d0000b273a25f66dffe7ef3813feda1e6,2006-09-22
  MXM  ,LOVE ME NOW,baby baby baby baby baby baby baby wait love love love love love love girl,Chilling,7zfDfFGg2EVky4HlcxBcEw,https://open.spotify.com/track/7zfDfFGg2EVky4HlcxBcEw?si=753872b586d74ecf,https://i.scdn.co/image/ab67616d0000b27310ba5ae77c78722bb65f4232,2018-08-14
  영턱스클럽  ,훔쳐보기,baby come come,Energetic,5ixuGcQAuiYawCoBH88LLV,https://open.spotify.com/track/5ixuGcQAuiYawCoBH88LLV?si=a2201b8d39e1446d,https://i.scdn.co/image/ab67616d0000b273a9ba1d7ae7826b55b968eada,1996-08-01
  TWICE (트와이스)  ,LIKEY,likey heart heart likey likey heart heart likey heart heart likey heart heart baby heart heart likey heart heart likey heart heart likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey,Comfortable,5UwxdcV6s0iE9v5f99tDMg,https://open.spotify.com/track/5UwxdcV6s0iE9v5f99tDMg?si=4ffb0e86393142c4,https://i.scdn.co/image/ab67616d0000b27309fdaede0b09ace817716a46,2017-10-30
