artist,title,Clean_lyric,emo,track_id,track_url,album_art,release_date
  마마무 (Mamamoo)  ,Girl Crush,place boyfriend god girl crush day crush color lipstick apple hip crush day crush cash money crush thanks boyfriend god girl crush day crush color lipstick apple hip crush day crush cash money crush girl cause girl crush day crush color lipstick apple hip crush day crush cash money crush spotlight girl girl girl girl girl girl hot awesome girl cool red girl cool girl highlight awesome girl cool red girl cool girl freakin naughty awesome girl cool red girl cool girl,Energetic,5WGLxlhumdEqAyEgKbVmra, https://open.spotify.com/track/5WGLxlhumdEqAyEgKbVmra?si=9c8b571533a24ebe,https://i.scdn.co/image/ab67616d0000b2733b87990278416fb13f1b135f,2015-09-16
  세븐틴  ,9-TEEN,youth teen teen teen teen teen teen teen teen teen teen teen teen,Chilling,5G5MW3CIQ26AV08Yl7UV6m, https://open.spotify.com/track/5G5MW3CIQ26AV08Yl7UV6m?si=0b6c7885c65d4cc0,https://i.scdn.co/image/ab67616d0000b2739eb8050029529478d2a4fdcd,2019-05-19
  SHINee (샤이니)  ,떠나지 못해 (Sleepless Night),girl tonight tonight tonight,Sad,49X9GMp2yLIvixh9tilJoU, https://open.spotify.com/track/49X9GMp2yLIvixh9tilJoU?si=f5e8651b985240b4,https://i.scdn.co/image/ab67616d0000b273170ba4c629c5ab6fd84c7a04,2013-04-26
  신화  ,Move With Me,baby life man man name baby move baby move perfume tomorrow baby move baby move man cloth hug wish keep try waitin heart situation thing everytime word statement baby move baby move baby move baby move baby move baby move change check want want know girl try let participation let switch get walkin runnin gonn stop facin good patient,Energetic,1wmuKrJZGOaIb2x32Ijig9, https://open.spotify.com/track/1wmuKrJZGOaIb2x32Ijig9?si=ae314ca7e3e24566,https://i.scdn.co/image/ab67616d0000b27348864f5b00e41ba8061441bb,2012-03-23
  세븐틴  ,유행가,change stop rapper something babe get best,Happy,0Su3Wr6cKTrIkLx9VWgi3l, https://open.spotify.com/track/0Su3Wr6cKTrIkLx9VWgi3l?si=87947b8f8c644e74,https://i.scdn.co/image/ab67616d0000b273deeee778a591e7032c1bdc80,2016-04-25
  MXM  ,LOVE ME NOW,baby baby baby baby baby baby baby wait love love love love love love girl,Comfortable,7zfDfFGg2EVky4HlcxBcEw, https://open.spotify.com/track/7zfDfFGg2EVky4HlcxBcEw?si=85180910885146e6,https://i.scdn.co/image/ab67616d0000b27310ba5ae77c78722bb65f4232,2018-08-14
  AOA  ,진짜 (Really Really),night nothing leave cry cry cold,Chilling,3CZ92d3KnNF61hbi2Lgo5S, https://open.spotify.com/track/3CZ92d3KnNF61hbi2Lgo5S?si=bd734b500d7b49f5,https://i.scdn.co/image/ab67616d0000b2733bab219d2c91bbfc6fe6fec9,2015-06-22
  TWICE (트와이스)  ,LIKEY,likey heart heart likey likey heart heart likey heart heart likey heart heart baby heart heart likey heart heart likey heart heart likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey likey,Happy,5UwxdcV6s0iE9v5f99tDMg, https://open.spotify.com/track/5UwxdcV6s0iE9v5f99tDMg?si=3545235ef59648dd,https://i.scdn.co/image/ab67616d0000b27309fdaede0b09ace817716a46,2017-10-30
  B1A4  ,크리스마스잖아요,friend friend friend friend today friend friend friend friend friend friend friend good good good good good good good good good good good,Chilling,180YObDi8MLn7mIOXhY5HK, https://open.spotify.com/track/180YObDi8MLn7mIOXhY5HK?si=0ae1276056f24863,https://i.scdn.co/image/ab67616d0000b273e0126f4a1977eab373f8b678,2015-12-10
  예성 (YESUNG)  ,Pink Magic,feel day cause pink magic cause pink color feel day cause pink magic cause pink magic feel dream love day feel day cause pink magic cause pink magic cause pink magic pink pink come pink pink pink pink beautiful magic magic magic magic magic magic magic magic magic,Happy,21uYcyeyfPIB0VNsbCKMgO, https://open.spotify.com/track/21uYcyeyfPIB0VNsbCKMgO?si=53e401aeea914951,https://i.scdn.co/image/ab67616d0000b273c282c972e0d48ff5398c7822,2019-06-18
  FTISLAND (FT아일랜드)  ,Let it go!,sonna furueru ageru yuuutsu toka nado sha kanaeyou fantasy wonderland sora todoku sonomama kimi saa subete goran osanai egaiteta yume hazu sha nara nan datte comin mae world fumidasu goto atsuku mirai tsukinukero tobikiri story mae kimi koe kikitai yamanu hodo koe kikitai baby kimi sora todoku sonomama kimi saa subete let kao nara babe let let nobase make let wasurete let let shinjireba let let let let konomama let let nobase make let wasurete let let niawanai yamete tsukamaete fuan sekaijuu beautiful sagashidase takaku kamawanai maite todoku futari true machiukeru dreamin karada hajimeyou new saa mitsumete nari girl tsuresaritai takaku kamawanai,Chilling,6oMe4scxOvq68YgmtVaXNt, https://open.spotify.com/track/6oMe4scxOvq68YgmtVaXNt?si=c65232fc42a64a2b,https://i.scdn.co/image/ab67616d0000b2738ec8f88cc8fbefa8407537c8,2012-09-10
  신화  ,Memory,note memory memory memory memory memory memory heart let let let let let let hear secret young,Chilling,0djyjdwo4CFkhkGp8jx3it, https://open.spotify.com/track/0djyjdwo4CFkhkGp8jx3it?si=8bf5b75a72494802,https://i.scdn.co/image/ab67616d0000b273a7bfbf1bd91ab1ade51f54fc,2015-05-26
  FTISLAND (FT아일랜드)  ,행복합니다,love love love love love,Comfortable,5jzJPGiDnDbmXWZaB8Vshw, https://open.spotify.com/track/5jzJPGiDnDbmXWZaB8Vshw?si=0d5cda00610f4e1f,https://i.scdn.co/image/ab67616d0000b27346d0274f74c94c04aa4c9474,2007-06-08
  몬스타엑스  ,Deja Vu,light light light monsta escape break let escape let turn let run run hol run let run right uhh arrival let arrival arrival arrival,Comfortable,2QnAsftC9GhXUJpyra5wW9, https://open.spotify.com/track/2QnAsftC9GhXUJpyra5wW9?si=b72d3e48db464c6c,https://i.scdn.co/image/ab67616d0000b273a561343c3a7d602656da05e7,2017-11-07
  Apink (에이핑크)  ,I Like That Kiss,kiss mind baby heart mind mind baby kiss time blow kiss time blow let know kiss kiss kiss kiss,Energetic,3JVXL7ObuCcRzcxhsmgtbF, https://open.spotify.com/track/3JVXL7ObuCcRzcxhsmgtbF?si=d1a6f2e6e3784eac,https://i.scdn.co/image/ab67616d0000b2730b1f5b8d0f8cb48dbc423491,2018-07-02
  동방신기 (TVXQ!)  ,Spokes Man - 유노개인기 (Feat. Super Junior - 동해),party super junior ready name mic break say right,Chilling,65GZF8O24gasuyIwyB0zQn, https://open.spotify.com/track/65GZF8O24gasuyIwyB0zQn?si=d32b2e1663c7405d,https://i.scdn.co/image/ab67616d0000b27306af3e2403cb19a11475da2d,2018-11-02
  SHINee (샤이니)  ,누난 너무 예뻐 (Replay),everything replay replay replay replay replay replay replay replay replay replay replay replay replay replay replay replay replay thinkin thinkin hate hate make shake break make shake break dream keep dream girl cool,Comfortable,1rp986nzkyAX1wFpxzbwlC, https://open.spotify.com/track/1rp986nzkyAX1wFpxzbwlC?si=6c6ef6648c0c4371,https://i.scdn.co/image/ab67616d0000b273ff8a783336acbef4b6fab82f,2008-08-28
  레이나 (Raina)  ,Home,home home home home home let home call,Sad,5eaUySe6kAcDkftMVshOEm, https://open.spotify.com/track/5eaUySe6kAcDkftMVshOEm?si=96d72ad6df384b56,https://i.scdn.co/image/ab67616d0000b273e306bd8d4e8d168e34d39c28,2018-09-05
  Apink (에이핑크)  ,사랑동화,need need love love love late,Sad,53M0OkgAUShikd1wQzI2op, https://open.spotify.com/track/53M0OkgAUShikd1wQzI2op?si=26f7320bf11449de,https://i.scdn.co/image/ab67616d0000b27359ce911310b702e7302b028b,2014-03-31
  브라운아이드걸스  ,Timing,idea honey bar soul mood boy thang eye paradise move fail try feel come know get get let open take please make make slow nice,Comfortable,335idmr8d2m9GbtC36IzZ0, https://open.spotify.com/track/335idmr8d2m9GbtC36IzZ0?si=a6cc97afe0c048f6,https://i.scdn.co/image/ab67616d0000b273d0d30c56a9062542c8576d59,2006-03-02
  오렌지 캬라멜  ,나처럼 해봐요,honey tonight tonight tonight,Energetic,37jsbSR1kLHfNWOjwFnTlD, https://open.spotify.com/track/37jsbSR1kLHfNWOjwFnTlD?si=5ad232c1535a45dd,https://i.scdn.co/image/ab67616d0000b2736f2d6deaf080f73001cf014f,2014-08-18
  미쓰에이  ,(Mama) I`m Good,mama mama chance mama care thang mama mama chance mama mama matter mama mama chance mama mama mama mean care good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good good,Energetic,1RGvLMMYbbZJ1k3eLJqEBr, https://open.spotify.com/track/1RGvLMMYbbZJ1k3eLJqEBr?si=c86048a5b731416c,https://i.scdn.co/image/ab67616d0000b273362abddb1ef89c5dbc738fe6,2013-11-06
  동방신기 (TVXQ!)  ,Love After Love,love tear thinking girl destiny responsibility guarantee fantasy life advice time jesus christ know love stop stop much tiny instant lovely,Comfortable,7HftesqWZiGsethKg7kvTP, https://open.spotify.com/track/7HftesqWZiGsethKg7kvTP?si=c76e5e994e6e4220,https://i.scdn.co/image/ab67616d0000b273b04aa4fdfcffa194fd3059e0,2005-09-12
