artist,title,Clean_lyric,emo,track_id,track_url,album_art,release_date
  헤이즈문 (Haze Moon)  ,Save Me,people people world way everything world life people need people one nothing world way everything need world life feel anything happiness stranger see like hide see wait run cure break change come see look cure break become get wrong see wrong long,Sad,69MR5JAPycanMXBJ0dKPAf,https://open.spotify.com/track/69MR5JAPycanMXBJ0dKPAf?si=97d0a8cef0404004,https://i.scdn.co/image/ab67616d0000b2735c71b0e5714b3754ae337213,2021-05-13
  헤이달리 (Hey Dali)  ,모래편지,lie lie cry cry cry lie lie lie cry cry cry bye bye bye fly lie,Comfortable,2Kvm8by69g74Kk8uUqemKP,https://open.spotify.com/track/2Kvm8by69g74Kk8uUqemKP?si=57ad1b359fb94381,https://i.scdn.co/image/ab67616d0000b273bbf5bd6595cd62c32fd4ccf1,2015-08-21
  Eighteen April  ,Dreamer,story life dust coffin gold prize soul season winter blister train home time bottle intention bottle intention eye skin word thought vision scream feeling tick clock grip teeth tomorrow dream grip teeth tomorrow dream eye eye eye skin word thought vision scream feeling tick clock road direction dream repeat gain try fit fill win sell grow jump wish take return smile smile fade cloud let grow bite bite fade fade fade cloud let grow pave numb last fake fake open unsaid blurry tight tight open skin open skin open unsaid blurry,Chilling,19lFKijaiGxYFC75Zi4wIk,https://open.spotify.com/track/19lFKijaiGxYFC75Zi4wIk?si=52b7aa6ce1e34cf1,https://i.scdn.co/image/ab67616d0000b2737759476af15f51bf462f70e5,2019-10-01
  밀크티  ,프롬 (From),gleaming warm gleaming warm gleaming warm gleaming warm top top top gleaming warm gleaming warm top top top love love love love love love love love love love love love,Comfortable,2TGZSw4ncap24ekxzutYon,https://open.spotify.com/track/2TGZSw4ncap24ekxzutYon?si=098df9006f5d442a,https://i.scdn.co/image/ab67616d0000b273ca5fd525994230fdcf6258fe,2015-06-03
  스키니죠 (Skinnyjoe)  ,#18 (Egolog),grass summertime sadness storm day kind soul burn ground bone fall oblivion part part meadow truth page logbook watch feel hell scatter pearly dark blue crown separate last,Depressed,3BzY2pPUMPhYYyMqLQ0IL5,https://open.spotify.com/track/3BzY2pPUMPhYYyMqLQ0IL5?si=d724240467594b25,https://i.scdn.co/image/ab67616d0000b27336e5f902b17d3adb49f3bb17,2018-01-04
  Moon in Suit  ,Indian Song,life day day darkness memory brighter song everyone indian trouble wind face song life day day darkness memory brighter song everyone indian trouble wind face song pain song wind face song pain song wind face song song song song song submit come see hurt blow sing submit come see hurt blow sing come sing blow sing come sing blow sing sing sing sing sing deceive sad mad gloomy trust fair indian deceive sad mad gloomy trust fair indian indian indian indian indian,Depressed,6jqDbGJs869Yn5y0OANM9E,https://open.spotify.com/track/6jqDbGJs869Yn5y0OANM9E?si=6101fd6af0d342c7,https://i.scdn.co/image/ab67616d0000b2739c930924f6f5c984b42a6e30,2018-05-21
  스탠딩 에그  ,Starry Night,starry night star star star star close close close close,Sad,7qFrkjLoz7rL7mV2aYhVsj,https://open.spotify.com/track/7qFrkjLoz7rL7mV2aYhVsj?si=cc68c04b75644d19,https://i.scdn.co/image/ab67616d0000b27355c26a89500f45625b397c8a,2015-04-03
  바닐라 어쿠스틱  ,고백 (From. 김지수),please mind please mind tell tell,Comfortable,3CDZ3bEIvq8dMYsb1zzhkt,https://open.spotify.com/track/3CDZ3bEIvq8dMYsb1zzhkt?si=7bcfa42a22924293,https://i.scdn.co/image/ab67616d0000b273fca4d1c327c5fe60792c2cec,2015-01-12
  우수한 (OOSU:HAN)  ,너로부터 (Feat. 오왠),sorry mind sorry mind sorry mind see see see,Depressed,4gu8zzZtxd0RlQZRB8nSaj,https://open.spotify.com/track/4gu8zzZtxd0RlQZRB8nSaj?si=9398b0fce8f04c79,https://i.scdn.co/image/ab67616d0000b273a4bbbc0416f26999af39f498,2018-01-23
  가을방학  ,David,love teacher tell month name britain outside london david beckham sheldon glad type lady status relationship please thing look time seoul song grammar thing look time seoul love teacher pay come hit know say tell tell live use anyway say english david little david reliable extraordinary english good please extraordinary english,Comfortable,0ggVJMAqZCxjDJ0F67PoTh,https://open.spotify.com/track/0ggVJMAqZCxjDJ0F67PoTh?si=84af9cf4543d4ab1,https://i.scdn.co/image/ab67616d0000b2737d9db3ed459fb5aea75db2c8,2015-09-01
