artist,title,Clean_lyric,emo,track_id,track_url,album_art,release_date
  Diana Vickers  ,Blame Game,addiction friction sorry feeling thing push make tear floor part door game time game shame shame risk cause game game shot tequila dance floor crowd hand hand stranger music make tear floor part door game time game shame shame risk cause game game game game tear eye part door game time game shame shame risk cause game game risk game risk cause kiss risk cause kiss risk cause kiss risk get tell get feel pull smudge stay play kill lay come play play lose ask smudge stay play kill lay come play play play play stay play kill lay come play play play much good late blame good blame crazy blame blame second wrong loud late blame good blame crazy blame blame blame blame late blame good blame crazy blame blame blame crazy crazy crazy,Chilling,0oLesYIw06xKCCOBU3JZ0r, https://open.spotify.com/track/0oLesYIw06xKCCOBU3JZ0r?si=1d06df2c8da0434c,https://i.scdn.co/image/ab67616d0000b2734647424a1d3ed0be6d93a59f,2013-09-17
  Eddie Benjamin  ,Fuck My Friends,friend anything face brain love party blow nobody cake everybody game stay lane watcher phone friend anything face brain love friend crowd love head stay phone mean phone friend anything face brain love friend crowd love show lose lose turn eat play beat turn show lose lose let wonder read pretend turn show lose lose let wonder candle alone sad true sad true hard alone sad true sad true,Happy,3WsRuvMAGIUGSQ3L5TKetf, https://open.spotify.com/track/3WsRuvMAGIUGSQ3L5TKetf?si=7f0f335418374f0e,https://i.scdn.co/image/ab67616d0000b273750d78ebc5927700a27a1d83,2020-04-03
  N Sync  ,I`ll Never Stop,baby loser sun right end time heart hand heart hand baby kind nightmare yes end time heart hand heart hand till end time heart hand heart hand end time heart hand believe say tell stop wait till stop turn end stop wait till stop stop believe stop stop wait stop wait till stop mine crazy understand mine mine,Energetic,4EAbAlO8QWzIpONNkUkOvC, https://open.spotify.com/track/4EAbAlO8QWzIpONNkUkOvC?si=64783f9f64af4fe3,https://i.scdn.co/image/ab67616d0000b2733cf9722343ca133f1c4df89e,2005-10-25
  Rachael Yamagata  ,Duet,till arm tale anger thing bed home lover road beckens word bed home lover road home cause bed history wear surprise come settle say lay come lose choose fight think say lay come think find return mean say lay growin tired thin patient lover forgive old,Depressed,4G8wt3fUBpgBjI35TBF2eQ, https://open.spotify.com/track/4G8wt3fUBpgBjI35TBF2eQ?si=710ed9923e634f47,https://i.scdn.co/image/ab67616d0000b273cb588b45086aa9865d6b8a2b,2008-10-06
  Shane Filan  ,Better Off A Fool,everything something fool sound truth fool talk back mean crime time matter fool sound truth fool sound fool fool turn sound truth fool truth stay choose give get regret take lose turn cruel see kill commit lose turn turn wish someday good late crazy good good late crazy good late crazy good good late crazy good crazy,Depressed,226B7CMS9PzCzlKOkq0B9E, https://open.spotify.com/track/226B7CMS9PzCzlKOkq0B9E?si=32c381f7b1154aa3,https://i.scdn.co/image/ab67616d0000b2738333e8e76b69eddc805c1e0d,2022-08-05
  Tom Odell  ,Summer Day,winter pitter patter rain window sound head friend face summer day honey year round society hand hand language face summer day honey year cry stop king lying doubt spring thing face summer day honey year round summer day honey year round summer day honey year round lay say get see grow mean understand get see round cry come stop lie get see pretty little quick stop little stop pretty,Happy,5ioqEMrHBIKqERuKXjXTIr, https://open.spotify.com/track/5ioqEMrHBIKqERuKXjXTIr?si=1692dfe712b34060,https://i.scdn.co/image/ab67616d0000b273f3302efce7890652f1a19dcb,2019-04-05
  Jessica Mauboy  ,What Happened To Us (Feat. Jay Sean),hole heart baby baby love thing boy insane bond night song hole heart baby baby baby baby something air love mercy doubt burn burn try way day hole heart baby baby baby baby something someone hole heart baby baby baby baby something hole heart baby baby try boy happen happen happen felt break let use stay kiss tell get know try boy happen happen get get discuss boy happen happen happen work say think try boy happen happen get get discuss boy happen happen happen saw believe try boy happen happen get get discuss boy happen happen happen try boy happen happen happen boy happen happen adjust good favorite wrong adjust true live separate first okay adjust true adjust true adjust,Comfortable,3jYjrXIt3JoSz69rL3iYkF, https://open.spotify.com/track/3jYjrXIt3JoSz69rL3iYkF?si=fc3788bbbe904dd1,https://i.scdn.co/image/ab67616d0000b2733352f78f7d2b03d05432ef0b,2010-11-05
  Madonna  ,Fever (Album Version),care arm fever listen word one way way fever fever morning fever night sun daytime moon light night eye name bless soul heart arm use lip fever morning fever night everybody fever something scene fever fever fever morning fever night romeo arm julie baby flame fever sun daytime moon light night eye name fever fever morning fever night fever kiss everybody fever something scene fever pocahontas affair daddy fever kiss fever miss fever way way way know know bear baby love know love fever light light treat take believe say give fever get know start fever fever love felt put say give light treat fever get know start try kill say win burn burn burn much much hard hear tight right tight new tight juliet juliet tight tight new smith mad daddy tight lovely lovely lovely,Chilling,3UPOaZ64ov0tKaidsTTlc0, https://open.spotify.com/track/3UPOaZ64ov0tKaidsTTlc0?si=f9fd6c5b8cb3460b,https://i.scdn.co/image/ab67616d0000b2734c3c7ca30705947ac207f86a,2022-08-19
  Drake  ,Over My Dead Body,chorus chantal matter cause body drake rybody game year man girl dream strip club shout nigga tax nowadays figure tax guess outcome income shout girl light shot hoe bout hint nigga woman nigga pussy field nigga people career platinum year shit world michael jordan hoop earring man flow mine shit grapevine jealousy love hate time way beginning refrain drake sound man kid crown everything chorus kreviazuk body drake news well star cause bar mitzvah state half money brother case wine time shout nigga time shout bedtime nigga time life boy guy hart boy living year city mac dre album way backpacker bandwagon comeback season day baby mom night picture palm night everything feel year refrain drake sound man kid crown everything chorus kreviazuk body morning kreviazuk feel worry try take kill think find live win let come send take get play discuss ask get hear get dry trippin hear play win fear try take perform use beat make take whoever give break feel love pave meet take drink end lose come get fear try take okay dead last wrong free long asian bad real white seal right chantal dead old new red fed dead start motherfucking funny kevin good numb last bay second last last ten right chantal dead outro,Happy,734PUXqvOiLZScnfeg73JB, https://open.spotify.com/track/734PUXqvOiLZScnfeg73JB?si=179285dbfbc746aa,https://i.scdn.co/image/ab67616d0000b273c7ea04a9b455e3f68ef82550,2011-11-15
  Samantha Jade  ,Hot Stuff,sittin heart waitin waitin lover number phone wall lookin stuff baby evenin stuff baby stuff baby evenin stuff lovin tonight stuff stuff lookin lover night share love warm man home lovin baby evenin stuff baby stuff baby evenin lovin tonight stuff stuff lovin lookin lovin lookin stuff baby evenin stuff baby stuff baby evenin lookin stuff baby lookin lovin baby evenin stuff baby stuff baby evenin lovin lovin tonight call dial ring tonight get get blood bring get tonight get get tonight tonight tonight get get eatin thousand hot hot hot hot hot hot wild hot hot hot lovin hot hot hot hot hot hot hot hot hot hot hot hot,Energetic,10TuozVj6htkOwFrCQcXTz, https://open.spotify.com/track/10TuozVj6htkOwFrCQcXTz?si=87c26c83c14c4c4f,https://i.scdn.co/image/ab67616d0000b27393e8a43be1427b2681d8e805,2018-04-20
  Barry Manilow  ,There`s A Kind Of Hush,kind hush world tonight world sound lover love mean nobody sight nobody dream sound ear kind hush world tonight world sound lover love dream sound ear kind hush world tonight world sound lover love lover love lover love lover love lover love hear hold tight get see hear hear get see hear hear good listen close listen close,Energetic,4bNA3BxzlqwXj8QYY8KBij, https://open.spotify.com/track/4bNA3BxzlqwXj8QYY8KBij?si=7e92499f33e24cf0,https://i.scdn.co/image/ab67616d0000b273616f93bd2c9304c2bfe04960,2006-10-31
