artist,title,Clean_lyric,emo,track_id,track_url,album_art,release_date
  Horace Brown  ,I Like,chorus baby door cause night extacy thing pleasure world baby girl night night keep baby light body allover lover scorpio world girl baby night night baby chorus baby way way way way chorus bridge till wait walk wait come girl give freak take freak freak let cause take take baby freak hold keep bridge keep keep fade much nasty girl early baby nasty nasty girl baby baby,Sad,6waOG574MvoM8NWUf41GuV, https://open.spotify.com/track/6waOG574MvoM8NWUf41GuV?si=c2b94fa294924b86,https://i.scdn.co/image/ab67616d0000b2734ee6bc3b5f1c50214249eb04,1996-01-01
  IN&CHOO (인앤추)  ,스냅백 (Snapback) (With Sfcrew),snapback shoe surgery backpack snapback snapback snapback snapback snapback shoe surgery backpack snapback snapback snapback snapback snapback shoe surgery backpack snapback snapback snapback snapback flat flat flat,Energetic,2RIpXov0XOns0CdMfo3Dv6, https://open.spotify.com/track/2RIpXov0XOns0CdMfo3Dv6?si=b6c6439350f7482c,https://i.scdn.co/image/ab67616d0000b273468b3dc2c1c8ad08c43681ca,2019-01-14
  Ruff Endz  ,You,mind everything baby cry reason way heart life someone someone someone someone someone time baby girl thing man appeal someone someone someone someone man fairy tale man dream reality possibility girl someone someone someone someone someone someone someone someone someone read tell find act tell open wait wait love say wait love see girl make make wait love say wait love wait wait love wait care care care care cold tear good,Energetic,7zk6BpUDrVOTB8xFTj8x7N, https://open.spotify.com/track/7zk6BpUDrVOTB8xFTj8x7N?si=d7aaa92e3eaa4d1a,https://i.scdn.co/image/ab67616d0000b2738ee5c99a337d2e70b306f2a8,2002
  Homemadesoul  ,24／7,pitfall life end trouble friend pleasure sin jesus side show end time friend time friend love nothing faith mustard seed test time side arm time friend time time friend time friend time friend time friend time friend time friend earthly sprinkle get overflow give stay run hide everlasting everlasting everlasting everlasting everlasting everlasting many true good lasting real true lasting real true right lasting real true best best best best best best,Energetic,4pjLWbUDoClvFSNLKW248t, https://open.spotify.com/track/4pjLWbUDoClvFSNLKW248t?si=91fd00d9b5244c41,https://i.scdn.co/image/ab67616d0000b2734ec06ab60ab8e5512feb0ab2,2012-10-23
  Joe  ,Make You My Baby,tonight body baby prisoner body speaking word body time night lady tonight baby baby baby baby baby baby baby baby baby baby voice heart clothes heat baby history night lady tonight baby baby baby baby baby baby baby baby baby tonight part history baby chemistry eternity lady tonight baby baby baby baby baby baby baby baby baby baby baby baby baby baby baby talk happen call ask set hear feel star dream lay make baby whisper tell take control beat take feel get sweat make star star dream lay make baby make make girl free right many special strong many special last special,Comfortable,1tu1HBJ1gH0kXi4fafc6lh, https://open.spotify.com/track/1tu1HBJ1gH0kXi4fafc6lh?si=a89cff162f834290,https://i.scdn.co/image/ab67616d0000b273be7ff5c1f62e3f61fe39426d,2003-12-09
  문사운드  ,winter film (Feat. flowER),baby day day day day day day remember baby remember baby remember baby remember baby remember baby remember,Depressed,3PYl4ZVuyC9GSJElGSHooW, https://open.spotify.com/track/3PYl4ZVuyC9GSJElGSHooW?si=af87c969dfd94fc3,https://i.scdn.co/image/ab67616d0000b27360265266b26940c1e69e425c,2020-01-16
  Thundercat  ,Tenfold,day fear fear name forget thing nothing heart beat guide need care trust one nothing side dare share love see remember win pass promise let mine survive win let love trust leave get fly free strange guide hard heavy learn,Sad,3asVvoMVNg0aCVdfH9FXMd, https://open.spotify.com/track/3asVvoMVNg0aCVdfH9FXMd?si=f4f4d7da227c4b02,https://i.scdn.co/image/ab67616d0000b27375cdf80cc38b918251ffbda1,2013-06-03
  키 (KEY)  ,I Will Fight (Feat. 빈첸 (VINXEN)),light life line sun light rest life life page eternity rest life rest life rest life life fight rest life bye life line sun light life life live live red remind good red,Chilling,0X1bdT5WEYL2wtAvNDsbt9, https://open.spotify.com/track/0X1bdT5WEYL2wtAvNDsbt9?si=8c21935fd00b41f5,https://i.scdn.co/image/ab67616d0000b2733754997a88e6b07908427d48,2018-11-26
"  Chris Brown ,  Kendrick Lamar  ",Autumn Leaves,time leaf fall father song autumn leaf reason thing thing thing thing thing thing reason silence safer violence leaf fall talk forever autumn leaf reason thing thing thing thing thing thing iceberg poke poke man grab chip toe tag hope hope iceberg float grammies granite note note mistake day manner consult camera face provoke cause positivity heart throat man iceberg reflection vision dove ship gift rejoice hood mean autumn leaf reason thing thing thing thing thing thing leave say leave say say stay fall say bleed leave god come confuse fall break poke poke poke poke stay poke write write mma manage damage dammit stand read grant make grow grow god consult cram provoke act plant sow keep keep poke know think sink tell hear love hear love hear abort win let live tell get win redeem lord fall good young safe mad stagnant notepad last grand ten bright manic noose mad titanic critic nigga forgive positive good,Comfortable,7EJ1CjaeHobTNQCJOrFmpZ, https://open.spotify.com/track/7EJ1CjaeHobTNQCJOrFmpZ?si=3a9784bb923b4019,https://i.scdn.co/image/ab67616d0000b273d7a62d8635f92472d57d5f8d,2014-09-16
  에디킴  ,Bet on me,time soul person world shirt everything everything bet bet mercedes year time everything everything bet bet anything anything anything anything bet anything anything bet bet bet time soul take get sexy bet bet bet get bet get lease ride bet bet bet get bet get bet bet get bet get bet get bet get take get white sexy good good sexy right right,Energetic,08QUSxG66grcYI53YX5tHY, https://open.spotify.com/track/08QUSxG66grcYI53YX5tHY?si=2b9ac2f7369c4666,https://i.scdn.co/image/ab67616d0000b273522cc8cbc23c4d7504f96966,2017-11-02
